Item Id,SKU,Brand,Gender,Character Family,Age Level,Recommended Age Range,MPN,Custom Bundle,Year,Bundle Description,Modified Item,Modification Description,California Prop 65 Warning,Country/Region of Manufacture,
"255453103507","CVRC023","Covered in Comfort","","","","","208","","","","","","","",
"265610153846","GTRDY141","Get Ready","","","","","306C","","","","","","","",
"265597107673","SNTY043","Sunny Toys","","","","","GL1201","","","","","","","",
"265611973851","SNTY045","Sunny Toys","","","","","GL1210","","","","","","","",
"265611972945","SNTY663","Sunny Toys","","","","","GL3542","","","","","","","",
"255453101427","SNTY666","Sunny Toys","","","","","GL3608","","","","","","","",
"255453102209","SNTY291","Sunny Toys","","","","","NP8007S","","","","","","","",
"255453103131","SNTY898","Sunny Toys","","","","","NP8144","","","","","","","",
"265611972511","SNTY374","Sunny Toys","","","","","NP8165","","","","","","","",
"255437775326","SNTY916","Sunny Toys","","","","","NP8224B","","","","","","","",
"265611972387","SNTY917","Sunny Toys","","","","","NP8226","","","","","","","",
"265597118065","SNTY408","Sunny Toys","","","","","NP8241","","","","","","","",
"265597117795","SNTY454","Sunny Toys","","","","","WB322","","","","","","","",
"265611973743","SNTY723","Sunny Toys","","","","","WB991A","","","","","","","",
