Item Id,SKU,Type,Brand,Set Includes,Number of Batteries,Number of LEDs,Battery Type,Color,Features,Material,Country/Region of Manufacture,Bundle Description,California Prop 65 Warning,Custom Bundle,Item Height,Item Length,Item Weight,Item Width,MPN,
"265623461448","ZX9SHLTL1649","Outdoors","Go-for-Gold","","6","6","","","","","","","","","","","","","GO125015",
"255464833218","LBMT18024","Outdoors","Cypher","","8","8","","Blue","","","","","","","","","","","441048",
"265623481522","LBMT12752","Outdoors","Cmi","","","","","Red","","","","","","","","","","","434352",
"265623476648","LBMT48176","Outdoors","Cypher","","","","","","","","","","","","","","","","442576",
"265623447123","LBMT13304","Outdoors","Edelweiss","","","","","White","","","","","","","","","","","443422",
"265623454677","LBMT52938","Outdoors","Edelweiss","","","","","","","","","","","","","","","","446423",
"265623455077","LBMT52310","Outdoors","Edelweiss","","","","","Yellow","","","","","","","","","","","446695",
"255464854976","LBMT52311","Outdoors","Edelweiss","","","","","Blue","","","","","","","","","","","446696",
"255464846297","LBMT52316","Outdoors","Edelweiss","","","","","Red","","","","","","","","","","","446793",
"265623464473","LBMT52317","Outdoors","Edelweiss","","","","","Green","","","","","","","","","","","446794",
"255694379264","LBMT52916","Outdoors","Edelweiss","","","","","Orange","","","","","","","","70 cm","","70 cm","446894",
"265623469499","LBMT52918","Outdoors","Edelweiss","","","","","","","","","","","","","","","","446896",
"265623451586","LBMT2424","Outdoors","Equinox","","","","","","","","","","","","","","","","145681",
"255464841603","LBMT2137","Outdoors","Liberty Mountain","","","","","Black","","","","","","","","","","","133409",
"265746932758","SHLTL1649","Outdoors","ShelterLogic","","6","6","","","","","","","","","","","","","70600",
"255464831408","LBMT50122","Outdoors","Singing Rock","","","","","","","","","","","","","","","","448981",
"255464857812","LBMT50121","Outdoors","Singing Rock","","","","","","","","","","","","","","","","448982",
"255464846719","LBMT30715","Outdoors","Singing Rock","","","","","","","Steel","","","","","","","","","497061",
"265623479496","LBMT30674","Outdoors","Singing Rock","","","","","","","","","","","","","","","","497091",
"255672566372","LBMT47838","Outdoors","Singing Rock","","","","","","","","","","","","","","","","497631",
"255464832398","LBMT15298","Outdoors","Singing Rock","","","","","","","","","","","","","","","","449443",
