Item Id,SKU,Brand,Type,Size,Style,Product Line,Color,Performance/Activity,Size Type,Department,Features,Theme,Fabric Type,Leg Style,Compression Area,Fit,Occasion,Character,Pattern,Inseam,Waist Size,Closure,Material,Season,Country/Region of Manufacture,Personalize,Handmade,Garment Care,MPN,California Prop 65 Warning,Personalization Instructions,
"255227943794","307880","Unbranded","Pants",,"Sweatpants","Oversized Streetwear","Army Green","CrossFit,Cross Training,Driving",,"Women","Adjustable Waist,Elastic Waist,Oversized,Pockets","Oversized Streetwear for women","Fleece","Tapered","Abdomen","Relaxed","Activewear,Casual,Travel","Streetwear","Solid","variable","variable","Pull On","Polyester Blend","Fall,Spring,Summer,Winter","","No","No","Machine Washable","","","",
"255227943794","307881",,,"S",,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,,
"255227943794","307882",,,"M",,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,,
"255227943794","307883",,,"L",,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,,
"255227943794","307884",,,"XL",,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,,
"255227943794","307885",,,"2XL",,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,,
"265404643482","307874","Unbranded","Pants",,"Sweatpants","Oversized Streetwear","Gray","CrossFit,Cross Training,Driving",,"Women","baggy","Oversized Streetwear for women","Fleece","Tapered","Abdomen","Relaxed","Activewear,Casual,Travel","Streetwear","Solid","variable","variable","Pull On","Polyester Blend","Fall,Spring,Summer,Winter","China","No","No","Machine Washable","baggy-joggers","","",
"265404643482","307875",,,"S",,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,,
"265404643482","307876",,,"M",,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,,
"265404643482","307877",,,"L",,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,,
"265404643482","307878",,,"XL",,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,,
"265404643482","307879",,,"2XL",,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,,
"265413692291","307874","Unbranded","Pants",,"Jogger","Oversized Streetwear","Gray","CrossFit,Cross Training,Driving",,"Women","baggy joggers","Oversized Streetwear for women","Fleece","Tapered","Abdomen","Relaxed","Activewear,Casual,Travel","Streetwear","","variable","variable","Pull On","Polyester Blend","","","","","","","","",
"265413692291","307875",,,"S",,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,,
"265413692291","307876",,,"M",,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,,
"265413692291","307877",,,"L",,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,,
"265413692291","307878",,,"XL",,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,,
"265413692291","307879",,,"2XL",,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,,
"254768234930","304914","Melange Velboa Sweatpants","Pants",,"Sweatpants","Sweatpants","Mocha","Baseball,Basketball,CrossFit,Cross Training,Cycling,Driving,Running & Jogging","Regular","Women","Adjustable Waist,Breathable,Elastic Waist","Athleisure","Melange Velboa","Straight","Abdomen","Relaxed","Activewear,Casual,Travel,Workwear","Women's joggers sweatpants","Solid","Variable","Variable","Drawstring","Polyester Blend","Fall,Spring,Summer,Winter","","","","","Women's joggers sweatpants","","",
"254768234930","304918",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254768234930","304917",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254768234930","304916",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254768234930","304915",,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264924371516","304927","Plus Size Sweatpants","Pants",,"Sweatpants","Plus Size Sweatpants","Navy Blue","Baseball,Basketball,Bodybuilding,CrossFit,Cross Training,Cycling,Driving","Plus","Women","Adjustable Waist,Elastic Waist","Athleisure","Fleece","Straight","Waist","Relaxed","Activewear,Casual,Travel","Relaxed Fit","Solid","Variants","Variants","Drawstring","Polyester Blend","Fall,Spring,Summer,Winter","","","","","","","",
"264924371516","304930",,,"3XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264924371516","304929",,,"2XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264924371516","304928",,,"1XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254768232888","304923","Plus Size Joggers","Pants",,"Sweatpants","Plus Size Pants","Teal","Everyday Use","Plus","Women","Adjustable Waist","Athleisure","Fleece","","Abdomen","Relaxed","Activewear,Casual,Party/Cocktail,Travel,Workwear","Teal","","Variants","Variants","Drawstring","Blended","","","","","","","","",
"254768232888","304926",,,"3XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254768232888","304925",,,"2XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254768232888","304924",,,"1XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264924360229","304919","Plus Size Pants","Pants",,"Sweatpants","Plus Size Pants","Almond","Everyday use","Plus","Women","Adjustable Waist,Comfort,Elastic Waist","Plus Size Joggers","Melange","","Waist","Relaxed","Activewear,Casual,Travel,Workwear","Almond","","Variants","Variable","Drawstring","Cotton Blend,Polyester Blend","","","","","","","","",
"264924360229","304922",,,"3XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264924360229","304921",,,"2XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264924360229","304920",,,"1XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264923613898","304909","Unbranded","Pants",,"Sweatpants","French Terry Sweatpants","Charcoal","Casual Pants","Regular","Women","Adjustable Waist,Elastic Waist","Women's joggers","French Terry","Tapered","Leg","Regular","Activewear,Casual,Travel,Workwear","women's sweatpants","Solid","Variable","Varies","Drawstring","Polyester Bland","Fall,Spring,Summer,Winter","","","","","","","",
"264923613898","304913",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264923613898","304912",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264923613898","304911",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264923613898","304910",,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255177550635","307807","Unbranded","Pants",,"Sweatpants","Women's Joggers","Almond Brown Orange","Baseball,Basketball,Bodybuilding,CrossFit,Cross Training,Cycling,Dance,Driving",,"Women","Adjustable Waist,Elastic Waist","Relaxed Fit Joggers","Fleece","Tapered","Abdomen","Relaxed","Activewear,Casual,Travel,Workwear","Solid Fleece Pants","Solid","variable","Variable","Drawstring","100% Cotton","Fall,Spring,Summer,Winter","","","","","","","",
"255177550635","307808",,,"S",,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,,
"255177550635","307809",,,"M",,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,,
"255177550635","307810",,,"L",,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,,
"255177550635","307811",,,"XL",,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,,
"264972484415","306882","Interloper Plus Size Activewear","Pants",,"Sweatpants","Plus Size Activewear","Heather Gray","Casual","Plus","Women","Adjustable Waist,Elastic Waist,Pockets","Athleisure","Fleece","Tapered","Abdomen","Relaxed","Activewear,Casual,Travel,Workwear","Heather Gray","Solid","Variants","Variants","Drawstring","Polyester Cotton Blend","Fall,Spring,Summer,Winter","","","","","","","",
"264972484415","306883",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264972484415","306884",,,"2XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264972484415","306885",,,"3XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255177432648","307803","Unbranded","Pants","variants","Joggers","Plus Size Joggers","Navy Blue","Baseball,Basketball,Bodybuilding,CrossFit,Cross Training,Cycling,Driving","Plus","Women","Relaxed Fit","Plus Size Activewear","Fleece","Tapered","Abdomen","Relaxed","Activewear,Casual,Travel,Workwear","Fleece Sweatpants","Solid","variable","variable","Drawstring","100% Cotton","Fall,Spring,Summer,Winter","Vietnam","No","No","Machine Washable","","","",
"254767443033","304904","Thick Fleece Sweatpants","Pants",,"Sweatpants","Thick Fleece Sweatpants","Navy Blue","Daily Use","Regular","Women","Adjustable Waist","Athleisure","Fleece","Tapered","Abdomen","Relaxed","Activewear,Casual,Travel","Fleece Sweatpants Joggers","Solid","29 in","28 in","Drawstring","Cotton Blend","Fall,Spring,Summer,Winter","","","","","Womens Fleece Sweatpants Joggers","","",
"254767443033","304908",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254767443033","304907",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254767443033","304906",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254767443033","304905",,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255177283733","307793","Unbranded","Pants",,"Sweatpants","Women's Joggers","Navy Blue","Baseball,Basketball,Bodybuilding,CrossFit,Cross Training,Cycling,Dance,Driving",,"Women","Adjustable Waist,Elastic Waist","Relaxed Fit Joggers","Fleece","Tapered","Abdomen","Relaxed","Activewear,Casual,Travel,Workwear","Solid Fleece Pants","Solid","variable","Variable","Drawstring","Polyester Cotton Blend","Fall,Spring,Summer,Winter","","","","","","","",
"255177283733","307794",,,"S",,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,,
"255177283733","307795",,,"M",,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,,
"255177283733","307796",,,"L",,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,,
"255177283733","307797",,,"XL",,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,,
