Item Id,SKU,Brand,Style,Size,Product Line,Type,Department,Fabric Type,Color,Features,Performance/Activity,Size Type,Waist Size,Fit,Theme,Country/Region of Manufacture,Leg Style,Material,Character,Closure,Pattern,Compression Area,Inseam,Occasion,Season,Personalize,Vintage,Handmade,Garment Care,Model,MPN,California Prop 65 Warning,Personalization Instructions,
"254808211949","306898","Gildan","Sweatpants",,"Men's Sweatpants","Pants","Men","Fleece","Black","Adjustable Waist,Elastic Waist,Black joggers","Casual,Baseball,Bodybuilding,CrossFit,Cross Training,Cycling,Running & Jogging",,"Variants","Regular","joggers,Sports,sweatpants","","Tapered","Cotton Blend","","Drawstring","","","Variants","Activewear,Casual,Travel","","","No","","","","","","",
"254808211949","306899",,,"S",,,,,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,
"254808211949","306900",,,"M",,,,,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,
"254808211949","306901",,,"L",,,,,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,
"254808211949","306902",,,"XL",,,,,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,
"254808211949","306903",,,"2XL",,,,,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,
"265413578384","307845","Unbranded","Jogger",,"Slim-Fit Pants","Pants","Men","Blended Fabric","Black","Elastic Waist","Daily Use,Cross Training,Dance,Driving","Regular","variable","Slim","Urban Man","","Tapered","Polyester Blend","","Drawstring","Striped","Leg","variable","Activewear,Casual,Formal,Party/Cocktail,Workwear","","","","","","","","","",
"265413578384","307846",,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265413578384","307847",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265413578384","307848",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265413578384","307849",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264850127573","301951","Gildan","Sweatpants",,"Men's Joggers","Pants","Men","Fleece","Gray","light joggers,Adjustable Waist,Elastic Waist,sweatpants","Casual,CrossFit,Cross Training,Cycling","Regular","Variants","Regular","Casual Pants,joggers,Sports","","Tapered","Cotton Blend","","Drawstring","","","Variants","Activewear,Casual,Travel","","","No","","","","","","",
"264850127573","301952",,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264850127573","301955",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264850127573","301954",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264850127573","301953",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264850127573","306904",,,"2XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255222206506","307857","Gildan","Sweatpants",,"Men's Joggers","Pants","Men","Fleece","Blue","Adjustable Waist,Elastic Waist","Casual,CrossFit,Cross Training,Cycling","Regular","Variants","Regular","Casual Pants,joggers,Sports","","Tapered","Cotton Blend","casual pants","Drawstring","","Waist","Variants","Activewear,Casual,Travel","Fall,Spring,Summer,Winter","","No","","","men's joggers","","","",
"255222206506","307858",,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255222206506","307861",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255222206506","307860",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255222206506","307859",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255222206506","307862",,,"2XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255222206506","307863",,,"3XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264977252045","301981","Gildan","Sweatpants",,"Men's Joggers","Pants","Men","Fleece","Gray","Elastic Waist","Casual Wear","Regular","Variants","Regular","Sports","","Tapered","Cotton Blend","","Drawstring","","","Variants","Activewear,Casual,Travel","","","No","","","","","","",
"264977252045","301985",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264977252045","301984",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264977252045","301983",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264977252045","301982",,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264977252045","306905",,,"2XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264977160401","306892","JERZEES","Sweatpants",,"Joggers for men","Lightweight Modern Look","Men","Fleece","Black","Adjustable Waist,Comfort,Easy Care,Elastic Waist,Pockets","Casual",,"Multiple Sizes","Slim","Modern","","Tapered","Cotton Blend","Stitch","Drawstring","","","Multiple Sizes","Activewear,Casual,Formal,Travel,Workwear","","","No","","","","","","",
"264977160401","306893",,,"S",,,,,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,
"264977160401","306894",,,"M",,,,,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,
"264977160401","306895",,,"L",,,,,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,
"264977160401","306896",,,"XL",,,,,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,
"264977160401","306897",,,"2XL",,,,,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,
"255041364170","307491","Unbranded","Jogger",,"Men's Activewear Pants","Pants","Men","Summer Blend","Gray","Adjustable Waist,Elastic Waist,Pockets","Baseball,Basketball,Bodybuilding,CrossFit,Cross Training,Cycling,Driving",,"28 in","Regular","Casual Joggers","Pakistan","Tapered","Cotton Blend","Men's Joggers","Drawstring","","Waist","28 in","Activewear,Casual,Travel","Fall,Spring,Summer,Winter","","No","","","Men's Joggers","","","",
"255041364170","307492",,,"S",,,,,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,
"255041364170","307493",,,"M",,,,,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,
"255041364170","307494",,,"L",,,,,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,
"255041364170","307495",,,"XL",,,,,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,
"255041398565","307541","Unbranded","Jogger","One Size","Urban Streetwear","Pants","Men","Knit","Black","Adjustable Waist,Elastic Waist","Casual Daily Use,Driving","Regular","30 in","Regular","streetwear","Pakistan","Wide-Leg","100% Cotton","hip-hop pants","Drawstring","Solid","Waist","28 in","Activewear,Casual,Travel","Fall,Spring,Summer,Winter","","No","","","Men's Streetwear","","","",
"265412145041","307827","Unbranded","Jogger",,"Men's Joggers","Pants","Men","Blended Fabric","Black","Adjustable Waist,Elastic Waist,Slimming","Daily Use,Baseball,Driving",,"Variable","Slim","Men's Streetwear","","Straight","Polyester Blend","Streetwear","Drawstring","Solid","Waist","Variable","Activewear,Casual,Travel","Fall,Spring,Summer,Winter","","","","","","","","",
"265412145041","307828",,,"S",,,,,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,
"265412145041","307829",,,"M",,,,,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,
"265412145041","307830",,,"L",,,,,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,
"265412145041","307831",,,"XL",,,,,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,
"265412145041","307832",,,"2XL",,,,,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,
"265412137750","307839","Unbranded","Jogger",,"Men's Joggers","Pants","Men","Blended Fabric","Blue","Adjustable Waist,Elastic Waist,Slimming","Daily Use,Baseball,Driving",,"Variable","Slim","Men's Streetwear","","Straight","Polyester Blend","Blue","Drawstring","Solid","Waist","Variable","Activewear,Casual,Travel","Fall,Spring,Summer,Winter","","","","","","","","",
"265412137750","307840",,,"S",,,,,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,
"265412137750","307841",,,"M",,,,,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,
"265412137750","307842",,,"L",,,,,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,
"265412137750","307843",,,"XL",,,,,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,
"265412137750","307844",,,"2XL",,,,,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,
"265412086043","307833","Unbranded","Jogger",,"Men's Joggers","Pants","Men","Blended Fabric","Brown","slim fit","Daily Use,Baseball,Driving,casual pants",,"Variable","Slim","Men's Streetwear","","Straight","Polyester Blend","Streetwear,slim fit joggers","Drawstring","Solid","Waist","Variable","Activewear,Casual,Travel","Fall,Spring,Summer,Winter","","No","","","","","","",
"265412086043","307834",,,"S",,,,,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,
"265412086043","307835",,,"M",,,,,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,
"265412086043","307836",,,"L",,,,,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,
"265412086043","307837",,,"XL",,,,,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,
"265412086043","307838",,,"2XL",,,,,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,
"265412130692","307821","Unbranded","Jogger",,"Men's Joggers","Pants","Men","Blended Fabric","Gray","Adjustable Waist,Elastic Waist,Slimming","Daily Use,Baseball,Driving",,"Variable","Slim","Men's Streetwear","","Straight","Polyester Blend","Streetwear","Drawstring","Solid","Waist","Variable","Activewear,Casual,Travel","Fall,Spring,Summer,Winter","","","","","","","","",
"265412130692","307822",,,"S",,,,,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,
"265412130692","307823",,,"M",,,,,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,
"265412130692","307824",,,"L",,,,,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,
"265412130692","307825",,,"XL",,,,,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,
"265412130692","307826",,,"2XL",,,,,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,
"265124560177","306892","JERZEES","Sweatpants",,"Joggers for men","Streetwear","Men","Fleece","Black","Adjustable Waist,Comfort,Easy Care,Elastic Waist,Pockets","Casual",,"Multiple Sizes","Slim","Hip Hop","","Tapered","Cotton,Cotton Blend","Street Style for men","Drawstring","Solid","Leg","Multiple Sizes","Activewear,Casual,Formal,Travel,Workwear","Fall,Spring,Summer,Winter","","No","","","Streetwear for Men","","","",
"265124560177","306893",,,"S",,,,,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,
"265124560177","306894",,,"M",,,,,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,
"265124560177","306895",,,"L",,,,,,,,"Regular",,,,,,,,,,,,,,,,,,,,,,
