Item Id,SKU,Power Source,Brand,MPN,Model,Pests,Trap Location,Mounting Style,Area Covered,Custom Bundle,Weight,Bulb Quantity,Bundle Description,Bulb Wattage,Modified Item,Modification Description,California Prop 65 Warning,Country/Region of Manufacture,
"255463088075","ZX9TRVAL48651","","MAKEITHAPPEN","MA588443","","","","","","","","","","","","","","",
"265621743443","wets1990","","Wetsel","314687","","","","","","","","","","","","","","",
"255463085122","KOLIM15152","","Bulk Buys","GM057-48","","","","","","","","2","","","","","","",
"255463083748","ORGL95497","","Bur-Cam Pumps","5312434","","","","","","","","","","","","","","",
"265621741243","ZX9BFG1342","","house","HO197220","","","","","","","","","","","","","","",
"265621747040","BFG1342","","Dalen Products Incorporated","DALSRHO4","","","","","","","","","","","","","","",
"265621742054","ACHR147214","","Diamond Visions","9001832","","","Indoor","","","","","","","","","","","",
"255463084157","TRVAL48651","","Ferti-Lome","141489","","","","","","","","","","","","","","",
"255463084337","FLOW015","","Flowtron","BF-130","","","","","","","","","","","","","","",
"255463081726","FLOW011","","Flowtron","FC-7600","","","Indoor","","","","","","","","","","","",
"255463081170","FLOW012","","Flowtron","FC-7800","","","Indoor","","","","","","","","","","","",
"255463071078","RTL27CR033","","Flowtron","GB-440","","","","","","","","","","","","","","",
"255463086749","RTL27CR034","","Flowtron","GB-470","","","","","","","","","","","","","","",
"265621738375","RTL27CR035","","Flowtron","GB-490","","","","","","","","","","","","","","",
"265621743337","INNETT011","","Industrial Netting","OB1100-78x50","","","","","","","","","","","","","","",
"265621731452","INNETT008","","Industrial Netting","OV7822-42x100","","","","","","","","","","","","","","",
"255463096609","ORGL12712","","New York Wire","7278583","","","","","","","","","","","","","","",
"255463080156","JNSN73572","","Nuvue Products, Inc","30109","","","","","","","","","","","","","","",
"255463080067","ZX9INNETT011","","Vortex","VO1078730","","","","","","","","","","","","","","",
"255463091807","ORSNO111244","","Pac-Kit","579-18-350","","","","","","","","","","","","","","",
"265621739273","PRCPS1022","","Paraclipse","83009","","","","","","","","","","","","","","",
"255463096698","ACHR7367","","Patio Essentials","7437510","","","","","","","","","","","","","","",
"265621742171","ACHR127479","","Patio Essentials","7627623","","","","","","","","","","","","","","",
"255463072421","ACHR127480","","Patio Essentials","7627946","","","","","","","","","","","","","","",
"265621739780","ACHR127481","","Patio Essentials","7627953","","","","","","","","1","","","","","","",
"255463089085","WLLCH15873","","PF Harris","WH-16","","","","","","","","","","","","","","",
"265621732206","ORGL176883","","Pic","4303079","","","","","","","","","","","","","","",
"265621745996","ZX9FLOW015","","Dormo","DO70958","","","","","","","","","","","","","","",
"265621739376","ZX9PRCPS1022","","Dormo","DO1123347","","","","","","","","","","","","","","",
"255463081393","ACHR22175","","Rescue","7403736","","","","","","","","","","","","","","",
"265621749704","ACHR139104","","Safer Brand","7627144","","","","","","","","","","","","","","",
"255463072141","HSTZCS11641","","SC Johnson","70261     MAX","","","","","","","","","","","","","","",
"255463089795","HSTZ7088","","SC Johnson","BOGO 15619","","","Outdoor","","","","","","","","","","","",
"265621741947","HMREX31949","","Spectrum Brands","3557096","","","","","","","","2","","","","","","",
"255463086074","BFG1210","","Wire Tek Inc","WTK102892","","","","","","","","","","","","","","",
"255463089009","BCI25891","","Woodstream Havahart","683810","","","","","","","","","","","","","","",
