Item Id,SKU,Brand,Filtration Technology,Model,Number of Cleaning Stages,Application,Features,Type,Color,Number of Speeds,Power Source,Contaminants Captured,Voltage,Room,Control Style,Year Manufactured,Mounting,Filter Life,Smart Home Protocol,Smart Home Compatibility,Coverage,Humidification Method,Country/Region of Manufacture,Power,Material,Item Depth,Clean Air Delivery Rating (CADR),Sensor Technology,Item Width,Manufacturer Warranty,Finish,Item Weight,Item Height,Timer Control,MPN,Custom Bundle,Bundle Description,California Prop 65 Warning,Operating Sound Rating,
"265731463735","ZX9XPRM03301","Exercise Now","","","3","","","Air Quality","","3","","","","","","","","","","","","","","","","","","","","","","","","","EX602958","","","","",
"255576720708","ISTR403027","3M","","","","","","Air Quality","","","","","","","","","","","","","","","","","","","","","","","","","","","FAP-ST02N","","","","",
"255463033224","ACHR145693","AAF Flanders","","","1","","","Air Quality","","1","","","","","","","","","","","","","","","","","","","","","","","","","4595278","","","","",
"255576687081","ACHR145694","AAF Flanders","","","1","","","Air Quality","","1","","","","","","","","","","","","","","","","","","","","","","","","","4595377","","","","",
"265731470811","NFNTM1022","Apesto","","","","","","Air Quality","Black","","","","","","","","","","","","","","","","","","","","","","","","","","DP3EA21CC","","","","",
"265731449190","ACT043","Atlas","Electrostatic","","","","","Air Quality","","","","","","","","","","","","","","","","","","","","","","","","","","","ATL300A","","","","",
"255576666681","ACT062","Atlas","Ozone","","","","","Air Quality","","","","","","","","","","","","","","","","","","","","","","","","","","","ATL300RHO2","","","","",
"265731469324","ACT041","Atlas","","","","","","Air Quality","","","","","","","","","","","","","","","","","","","","","","","","","","","ATL303","","","","",
"255576726268","ACT071","Atlas","Ozone","","","","Timer","Air Quality","","","","","","","","","","","","","","","","","","","","","","","","","","","ATL600B","","","","",
"255576637216","RTL103218","Atlas","Ozone","","","","Remote Control","Air Quality","","","","","","","Remote Control","","","","","","","","","","","","","","","","","","","","ATL303CHO","","","","",
"265621704542","ACHR14551","B & K","","","1","","","Air Quality","","1","","","","","","","","","","","","","","","","","","","","","","","","","4595419","","","","",
"265731452207","ACHR14553","B & K","","","1","","","Air Quality","","1","","","","","","","","","","","","","","","","","","","","","","","","","4595419","","","","",
"255463068400","ACHR14554","B & K","","","1","","","Air Quality","","1","","","","","","","","","","","","","","","","","","","","","","","","","4595419","","","","",
"255576700337","ACHR14555","B & K","","","1","","","Air Quality","","1","","","","","","","","","","","","","","","","","","","","","","","","","4595419","","","","",
"265731463619","ACHR14556","B & K","","","1","","","Air Quality","","1","","","","","","","","","","","","","","","","","","","","","","","","","4595419","","","","",
