Item Id,SKU,Roof Material,Frame Material,Type,Brand,Color,Style,Item Width,Number of Pieces,Item Height,Shape,Finish,Features,Item Depth,Installation,MPN,Assembly Required,Fixings Supplied,Custom Bundle,California Prop 65 Warning,Country/Region of Manufacture,Bundle Description,Item Weight,Manufacturer Warranty,
"265644602145","ZX9BLR036","","","Furniture & Decor","GrillTown","Black","","","3","","","","","","","GR46546","","","","","","","","",
"255476950032","ZX9ACHR151766","Aluminum","Aluminum","Furniture & Decor","PatioPlus","","","","4","","","","","","","PA1679818","","","","","","","","",
"255476966505","ZX9WYBN444","","","Furniture & Decor","GrillsGoneWild","","","","","","","","","","","GR592964","","","","","","","","",
"265644635024","ACHR151766","Aluminum","Aluminum","Furniture & Decor","M-D Building Products","","","","","","","","","","","5020322","","","","","","","","",
"265639664774","SCRNGE1657","","","Furniture & Decor","Screen Gems","","","","","","","","","","","SG-286","","","","","","","","",
"265639633190","SCRNGE1661","","","Furniture & Decor","Screen Gems","","","","","","","","","","","SG-300 Grey","","","","","","","","",
"255483969054","SCRNGE1664","","","Furniture & Decor","Screen Gems","","","","","","","","","","","SG-302","","","","","","","","",
"255488689327","SCRNGE1675","","","Furniture & Decor","Screen Gems","","","","","","","","","","","SG-304","","","","","","","","",
"255476947844","SCRNGE1676","","","Furniture & Decor","Screen Gems","","Country","","","","","","","","","SG-305","","","","","","","","",
"265644483032","SCRNGE1677","","","Furniture & Decor","Screen Gems","","","","","","","","","","","SG-306","","","","","","","","",
"255483698909","SCRNGE1671","","","Furniture & Decor","Screen Gems","","","","","","","","","","","SG-312","","","","","","","","",
"265644473658","SCRNGE1674","","","Furniture & Decor","Screen Gems","","","","","","","","","","","SG-314","","","","","","","","",
"255476958670","ZX9BLR038","Iron","Iron","Furniture & Decor","GrillTown","Black","","","","","","","","","","GR46547","","","","","","","","",
"255488770456","ZX9BLR039","Iron","Iron","Furniture & Decor","GrillTown","","","","","","","","","","","GR707200","","","","","","","","",
"255488792372","ZX9WYBN449","","","Furniture & Decor","GrillsGoneWild","","","","","","","","","","","GR603813","","","","","","","","",
"255483896344","BLR036","","","Furniture & Decor","Uniflame","Black","","","3","","","","","","","S-1043","","","","","","","","",
"265644549050","BLR038","Iron","Iron","Furniture & Decor","Uniflame","Black","","","","","","","","","","S-1064","","","","","","","","",
"265639542436","BLR039","Iron","Iron","Furniture & Decor","Uniflame","","","","","","","","","","","S-1146","","","","","","","","",
"265644535599","WYBN444","","","Furniture & Decor","Wayborn Furniture","","","","","","","","","","","2262","","","","","","","","",
"255483736733","WYBN449","","","Furniture & Decor","Wayborn Furniture","","","","","","","","","","","2273","","","","","","","","",
"255483740123","WYBN590","","","Furniture & Decor","Wayborn Furniture","","","","","","","","","","","4770","","","","","","","","",
"255483808903","WYBN608","","","Furniture & Decor","Wayborn Furniture","","","","","","","","","","","5316","","","","","","","","",
