Item Id,SKU,Medium,Bristle Material,Brush Shape,Brand,Size,Handle Type,Handmade,MPN,Custom Bundle,Bundle Description,Modified Item,Modification Description,Country/Region of Manufacture,California Prop 65 Warning,Model,
"265735814886","GDNBR008","","","","Gordon Brush","","","","0034-00000","","","","","","","",
"255581241485","GDNBR009","","","","Gordon Brush","","","","0034-02000","","","","","","","",
"265735817665","GDNBR010","","","","Gordon Brush","24","","","0034-04000","","","","","","","",
"255581045317","GDNBR011","","","","Gordon Brush","24","","","0034-06000","","","","","","","",
"255581215054","GDNBR012","","","","Gordon Brush","","","","0035-00000","","","","","","","",
"255581274639","GDNBR013","","","","Gordon Brush","","","","0035-00200","","","","","","","",
"255581087312","GDNBR014","","","","Gordon Brush","12","","","0035-00300","","","","","","","",
"255580993192","GDNBR015","","","","Gordon Brush","","","","0035-01000","","","","","","","",
"265735814073","GDNBR016","","","","Gordon Brush","","","","0035-02000","","","","","","","",
"265735717182","GDNBR017","","","","Gordon Brush","","","","0035-04000","","","","","","","",
"265735947264","GDNBR018","","","","Gordon Brush","","","","0035-06000","","","","","","","",
"255581265198","GDNBR024","","","Round","Gordon Brush","","","","0036-00300P","","","","","","","",
"265735821474","GDNBR031","","","","Gordon Brush","","","","0037-00000","","","","","","","",
"265735698665","GDNBR032","","","","Gordon Brush","","","","0037-00200","","","","","","","",
"255581123766","GDNBR033","","","","Gordon Brush","","","","0037-00300","","","","","","","",
"265735836523","GDNBR034","","","","Gordon Brush","","","","0037-01000","","","","","","","",
"265735873270","GDNBR040","","","","Gordon Brush","24","","","0037-12000","","","","","","","",
"255580976577","GDNBR041","","","","Gordon Brush","24","","","0037-14000","","","","","","","",
"265735653382","GDNBR042","","","","Gordon Brush","12","","","0037-16000","","","","","","","",
"255581018263","GDNBR043","","","","Gordon Brush","","","","0040-01000","","","","","","","",
"265735862466","GDNBR044","","","","Gordon Brush","","","","0040-02000","","","","","","","",
"265735672026","GDNBR045","","","","Gordon Brush","24","","","0040-04000","","","","","","","",
"265735812961","GDNBR046","","","","Gordon Brush","24","","","0040-06000","","","","","","","",
"265735694593","GDNBR047","","","","Gordon Brush","24","","","0040-08000","","","","","","","",
"255581143519","GDNBR048","","","","Gordon Brush","","","","0042-00012","","","","","","","",
"255581288310","GDNBR049","","","","Gordon Brush","","","","0042-00025","","","","","","","",
