Item Id,SKU,Brand,Type,Material,Compatible Brand,Color,Compatible Model,Model,Year Manufactured,Item Depth,Country/Region of Manufacture,Item Width,Item Height,Item Diameter,Item Weight,MPN,Custom Bundle,Bundle Description,California Prop 65 Warning,Manufacturer Warranty,
"255453169699","ZX9ACHR153976","PatioPlus","Grilling","Plastic","","","","","","","","","","","","PA2087855","","","","",
"265612063376","ZX9ACHR149919","Calle","Grilling","Plastic","","Black","","","","","","","","","","CA1679495","","","","",
"255453164366","ZX9ZNPT1227","GardenCare","Grilling","","","","","","","","","","","","","GA2056281","","","","",
"255453171764","ZX9ZNPT1224","GardenCare","Grilling","","","","","","","","","","","","","GA2184578","","","","",
"255453151445","ZX9ZNPT1242","GardenCare","Grilling","","","","","","","","","","","","","GA2055499","","","","",
"255453165899","ZX9CGP1399102","LAWNITATOR","Grilling","","","","","","","","","","","","","LA1699519","","","","",
"255453187594","ZX9CGP1394979","BBQPlus","Grilling","","","","","","","","","","","","","BB1702408","","","","",
"265612054082","ZX9CGP1404424","GRANDOLDGARDEN","Grilling","Stainless Steel","","","","","","","","","","","","GR1700051","","","","",
"265612062681","ZX9ZNPT1229","GardenCare","Grilling","","","","","","","","","","","","","GA2079345","","","","",
"265612049797","ZX9CGP1404428","GRANDOLDGARDEN","Grilling","Stainless Steel","","","","","","","","","","","","GR1710217","","","","",
"265612050598","CGP1394850","American Outdoor Grill","Grilling","","","","","","","","","","","","","20-30-SD","","","","",
"265680235788","RAYM1251","American Outdoor Grill","Grilling","","","","","","","","","","","","","20-30-SSD","","","","",
"265612076182","CGP1394806","American Outdoor Grill","Grilling","","","","","","","","","","","","","24-B-05-2","","","","",
"265612060713","CGP1394807","American Outdoor Grill","Grilling","Stainless Steel","","","","","","","","","","","","24-B-06","","","","",
"265612065315","CGP1394811","American Outdoor Grill","Grilling","Stainless Steel","","","","","","","","","","","","24-B-11A","","","","",
"265612053779","CGP1394896","American Outdoor Grill","Grilling","","","","","","","","","","","","","30-B-05-3","","","","",
"255453159875","CGP1394908","American Outdoor Grill","Grilling","","","","","","","","","","","","","30-IL-C","","","","",
"265639707888","CGP1394932","American Outdoor Grill","Grilling","","","","","","","","","","","","","36-B-05-3","","","","",
"255453185138","CGP1394979","American Outdoor Grill","Grilling","","","","","","","","","","","","","AD-24C","","","","",
