Item Id,SKU,Fuel Type,Type,Brand,Features,Griddle Material,Number of Burners,Grill Size,Number of Racks,Material,Color,Items included,Control Panel,Cooking Area Length,Cooking Area Width,Item Depth,Model,Item Width,Item Height,Country/Region of Manufacture,Year Manufactured,Assembly Required,BTU,Item Weight,Finish,Required Tools,Manufacturer Warranty,MPN,Custom Bundle,California Prop 65 Warning,Bundle Description,Maximum Temperature,
"265612047444","ZX9KSAO20718","","Grilling","GrillTown","","Stainless Steel","","","","Stainless Steel","","","","","","","","","","","","","","","","","","GR786440","","","","",
"255453166103","ZX9KSAO20738","Propane","Grilling","GrillTown","","","6","","6","","","","","","","","","","","","","","","","","","","GR24114","","","","",
"265612046683","ZX9RAYM297","","Grilling","GRANDOLDGARDEN","","Steel","","","","Steel","Black","","","","","","","","","","","","","","","","","GR118323","","","","",
"265612046143","MYRD1907141","","Grilling","Blackstone","","Stainless Steel","","","","Stainless Steel","","","","","","","","","","","","","","","","","","BLK1666","","","","",
"255453184824","KSAO693306","","Grilling","Blackstone","","","","","","","","","","","","","","","","","","","","","","","","N6V-1939","","","","",
"265848452327","BNFRP008","","Outdoor Kitchen","Bonfire","Drawer","Steel","","","","Stainless Steel","Silver","","","","","","CBADC","","","","","","","","","","","CBADC","","","","",
"265612076465","RAYM297","","Grilling","Broilmaster","","Steel","","","","Steel","Black","","","","","","","","","","","","","","","","","BL48G","","","","",
"265612069200","RAYM335","","Grilling","Broilmaster","","Stainless Steel","4","","4","Stainless Steel","","","","","","","","","","","","","","","","","","DPA112","","","","",
"265612062411","CUIC492","Charcoal","Grilling","Broilmaster","","Ceramic","","","","","","","","","","","","","","","","","","","","","","DPA301","","","","",
"255453184360","ALMO12056","Gas","Grilling","Cadac","","Stainless Steel","","","","Stainless Steel","","","","","","","","","","","","","","","","","","98251-41G01-US","","","","",
"255453167321","KSAO20718","","Grilling","CAMCO","","Stainless Steel","","","","Stainless Steel","","","","","","","","","","","","","","","","","","C1W-57305","","","","",
"255453178443","KSAO20738","Propane","Grilling","CAMCO","","","6","","6","","","","","","","","","","","","","","","","","","","C1W-57629","","","","",
"265612076722","ZX9CUIC492","Charcoal","Grilling","GRANDOLDGARDEN","","Ceramic","","","","","","","","","","","","","","","","","","","","","","GR2088825","","","","",
"265612070369","ACHR151105","Charcoal","Grilling","Char-Broil","","","","","","","Black","","","","","","","","","","","","","","","","","8023684","","","","",
"265612068192","TRVAL129562","Gas","Grilling","Dansons","Portable","","","","","","","","","","","","","","","","","","","","","","","100441","","","","",
"255453153272","PC-148941627","","Grilling","Kitchenworthy","","Aluminum","","","","Aluminum","Black","","","","","","","","","","","","","","","","","150-CAGP","","","","",
"265612073596","ZX9TRVAL119158","Charcoal","Grilling","Curtilage","","","","","","","","","","","","","","","","","","","","","","","","CU2007798","","","","",
"265612051972","TRDMR61474","","Grilling","Great Northern Popcorn","","","","","","","","Cover","","","","","","","","","","","","","","","","83-DT5392","","","","",
"265612069967","ZX9ACHR151105","Charcoal","Grilling","Heatwave","","","","","","","Black","","","","","","","","","","","","","","","","","HE1678325","","","","",
"265612053498","PMST044","Gas","Grilling","Kenmore","","","3","","3","","","","","","","","","","","","","","","","","","","PG-4030400LD-AZURE","","","","",
"265612068694","PMST038","Gas","Grilling","Kenmore","","","3","","3","","","","","","","","","","","","","","","","","","","PG-4030400LD-BLACK","","","","",
"265612061814","PMST067","","Grilling","Kenmore","Foldable","","3","","3","","","","","","","","","","","","","","","","","","","PG-4030400LD-MOCHA","","","","",
"265612057570","PMST043","Gas","Grilling","Kenmore","","","3","","3","","","","","","","","","","","","","","","","","","","PG-4030400LD-PEARL","","","","",
"265612072200","PMST041","Gas","Grilling","Kenmore","","","3","","3","","Red","","","","","","","","","","","","","","","","","PG-4030400LD-RED","","","","",
"255453170100","PMST042","Gas","Grilling","Kenmore","","","3","","3","","","","","","","","","","","","","","","","","","","PG-4030400LD-TEAL","","","","",
"255453184088","PMST032","","Grilling","Kenmore","","Stainless Steel","4","","4","Stainless Steel","","","","","","","","","","","","","","","","","","PG-40405S0L-SE","","","","",
"265612051837","PMST033","","Grilling","Kenmore","","","4","","4","","","","","","","","","","","","","","","","","","","PG-40406S0L","","","","",
"255453154090","PMST063","","Grilling","Kenmore","","","4","","4","","","","","","","","","","","","","","","","","","","PG-40406S0L-1","","","","",
"265612056494","PMST040","","Grilling","Kenmore","","","4","","4","","","","","","","","","","","","","","","","","","","PG-40406S0L-SE","","","","",
"255453161986","PMST002","Gas","Grilling","Kenmore","","","4","","4","","","","","","","","","","","","","","","","","","","PG-40409S0LB-1","","","","",
