Item Id,SKU,Type,Set Includes,Compatible Plant Type,Material,Size,Color,Features,Indoor/Outdoor,Shape,Number of Items in Set,Brand,Item Height,Capacity,Item Width,Country/Region of Manufacture,Item Length,Personalize,Item Weight,MPN,Custom Bundle,Bundle Description,California Prop 65 Warning,Personalization Instructions,
"265623560705","ZX9TRVAL122051","Lawn & Landscaping","Bowl","","","","","","","","5","GrillsGoneWild","","","","","","","","GR2009239","","","","",
"255464906897","ZX9TRVAL122050","Lawn & Landscaping","","","","","Gray","","","","5","GrillsGoneWild","","","","","","","","GR2009238","","","","",
"255464908717","ZX9TRVAL123200","Lawn & Landscaping","","Flower","Ceramic","","Green","","","","","Balcony Beyond","","","","","","","","BA1634413","","","","",
"255464888271","ZX9TRVAL123249","Lawn & Landscaping","","Flower","Ceramic","","Blue","","","","","Balcony Beyond","","","","","","","","BA1629407","","","","",
"255464862257","ZX9TRVAL123245","Lawn & Landscaping","","Flower","Ceramic","","","","","","","Balcony Beyond","","","","","","","","BA1635331","","","","",
"265639677786","ZX9SMTC018","Lawn & Landscaping","","","","","","","","","","PatioPlus","","","","","","","","PA840455","","","","",
"255483649138","ZX9GRNM004","Lawn & Landscaping","","","","","","","","","","LAWNITATOR","","","","","","","","LA23855","","","","",
"255483678870","RTN30051","Lawn & Landscaping","","","","","Brown","","","","4","AFD Home","","","","","","","","12019315","","","","",
"255483767840","RTN30052","Lawn & Landscaping","","","","","Brown","","","","3","AFD Home","","","","","","","","12019316","","","","",
"255464902886","ZX9CNRY1201","Lawn & Landscaping","Flower Pot","Flower","","","","","","Round","","LAWNITATOR","","","","","","","","LA1708702","","","","",
"265644635911","ZX9CNRY1200","Lawn & Landscaping","Flower Pot","Flower","","","","","","Square","","LAWNITATOR","","","","","","","","LA1702853","","","","",
"265623533496","CNRY1201","Lawn & Landscaping","Flower Pot","Flower","","","","","","Round","","Alpine Corporation","","","","","","","","PL1515GR","","","","",
"255530675778","CNRY1198","Lawn & Landscaping","Flower Pot","Flower","","","Black","","","Square","","Alpine Corporation","","","","","","","","PL2915BK","","","","",
"255483825519","CNRY1200","Lawn & Landscaping","Flower Pot","Flower","","","","","","Square","","Alpine Corporation","","","","","","","","PL2915GR","","","","",
"255464902546","ASPR2060","Lawn & Landscaping","","","","","Gold","","","","2","Aspire","","","","","","","","8019","","","","",
"255483934093","ASPR2066","Lawn & Landscaping","","","","Large","Gold","","","","2","Aspire","","","","","","","","8071","","","","",
"255464861257","TRVAL122830","Lawn & Landscaping","","","","","","","","","4","Avera Home Goods","","","","","","","","185535","","","","",
"265639557590","TRVAL122831","Lawn & Landscaping","","","","","","","","","4","Avera Home Goods","","","","","","","","185542","","","","",
"265634283288","TRVAL122827","Lawn & Landscaping","","","","","","","","","4","Avera Home Goods","","","","","","","","185559","","","","",
"265639584871","TRVAL122832","Lawn & Landscaping","","","","","","","","","4","Avera Home Goods","","","","","","","","185630","","","","",
"255464863847","TRVAL124547","Lawn & Landscaping","","","","","","","","","2","Avera Home Goods","","","","","","","","230828","","","","",
"265623552195","TRVAL122833","Lawn & Landscaping","","","","","","","","","4","Avera Home Goods","","","","","","","","256574","","","","",
"265623529160","TRVAL122834","Lawn & Landscaping","","","","","","","","","2","Avera Home Goods","","","","","","","","256575","","","","",
"255464909053","CNRY1199","Lawn & Landscaping","Flower Pot","Flower","","","Black","","","Round","","Canary Products","","","","","","","","PL1515BK","","","","",
"255464877903","TRVAL123218","Lawn & Landscaping","","","Ceramic","","","","","","","Ceramo","","","","","","","","173721","","","","",
"255464870004","TRVAL123194","Lawn & Landscaping","","","Ceramic","","Black","","","","","Ceramo","","","","","","","","173723","","","","",
"265623511766","TRVAL123245","Lawn & Landscaping","","Flower","Ceramic","","","","","","","Ceramo","","","","","","","","173727","","","","",
"265623537323","TRVAL123206","Lawn & Landscaping","","","Ceramic","","Orange","","","","","Ceramo","","","","","","","","173728","","","","",
"265623516175","TRVAL123212","Lawn & Landscaping","","","Ceramic","","Red","","","","","Ceramo","","","","","","","","173729","","","","",
"265623504610","TRVAL123224","Lawn & Landscaping","","","Ceramic","","Yellow","","","","","Ceramo","","","","","","","","173730","","","","",
"265623544590","TRVAL123232","Lawn & Landscaping","","","Ceramic","","White","","","","","Ceramo","","","","","","","","173731","","","","",
"255464892681","TRVAL123200","Lawn & Landscaping","","Flower","Ceramic","","","","","","","Ceramo","","","","","","","","202241","","","","",
"265623553824","TRVAL123249","Lawn & Landscaping","","Flower","Ceramic","","","","","","","Ceramo","","","","","","","","202242","","","","",
"265623545770","TRVAL123251","Lawn & Landscaping","","Flower","Ceramic","","Gray","","","","","Ceramo","","","","","","","","243289","","","","",
"255488730263","TRVAL123952","Lawn & Landscaping","","","","","","","","","3","Deroma","","","","","","","","225916","","","","",
"265644576905","ZX9GRNM099","Lawn & Landscaping","","","","","","","","","","LAWNITATOR","","","","","","","","LA642944","","","","",
"265639548749","STRGD1389","Lawn & Landscaping","","","Copper","Large","","","","","","Find Your Passage","","","","","","","","XLG-WOK-23-DHDC","","","","",
"265623544155","LYTC1794","Lawn & Landscaping","","Flower","Teak","","","","","","2","Furinno","","","","","","","","2-FG16450","","","","",
"255464903039","QKWY1892","Lawn & Landscaping","","","","","","","","","","Gardenised","","","","","","","","QI003908G","","","","",
"255464893900","QKWY2209","Lawn & Landscaping","","","","","","","","Rectangular","2","Gardenised","","","","","","","","QI004007S.4","","","","",
"255476976639","QKWY2021","Lawn & Landscaping","","","","","","","Outdoor","Rectangular","","Gardenised","","","","","","","","QI004075","","","","",
"265634300802","GRNM113","Lawn & Landscaping","","","","","","","","","","Gronomics","","","","","","","","ECOGW 30-34","","","","",
"265639722640","GRNM114","Lawn & Landscaping","","","","","","","","","","Gronomics","","","","","","","","ECOGW 30-34 EXT","","","","",
"265634249147","GRNM098","Lawn & Landscaping","","","","","","","","","","Gronomics","","","","","","","","ECOGW 30-48","","","","",
"255483807263","GRNM099","Lawn & Landscaping","","","","","","","","","","Gronomics","","","","","","","","ECOGW 30-48 EXT","","","","",
