Item Id,SKU,Type,Suitable For,Material,Number of Compartments,Brand,Size,Mounting,Color,Entrance,Country/Region of Manufacture,MPN,Assembly Required,Item Depth,Item Height,Item Weight,Item Width,Model,Style,Custom Bundle,Bundle Description,California Prop 65 Warning,Features,Manufacturer Warranty,Predator Guard Included,Required Tools,Shape,Treated Timber,Ventilation Holes,Weight Capacity,Year Manufactured,
"265603708682","ZX9WDLNK092","Bird","","","","Fancy Feline","","","","","","FA588929","","","","","","","","","","","","","","","","","","","",
"265603711896","ZX9CVCVP034","Bird","","","","PetPride","","","","","","PE57188","","","","","","","","","","","","","","","","","","","",
"265603708343","CVCVP093","Bird","","","","Coveside","","","","","","01001","","","","","","","","","","","","","","","","","","","",
"255444588013","CVCVP095","Bird","","","","Coveside","","","","","","01002","","","","","","","","","","","","","","","","","","","",
"265603695508","CVCVP011","Bird","","","","Coveside","","","","","","10041","","","","","","","","","","","","","","","","","","","",
"265603663860","CVCVP012","Bird","","","","Coveside","","","","","","10042","","","","","","","","","","","","","","","","","","","",
"265603708584","CVCVP013","Bird","","","","Coveside","","","","","","10043","","","","","","","","","","","","","","","","","","","",
"255444593245","CVCVP016","Bird","","","","Coveside","","","","","","10046","","","","","","","","","","","","","","","","","","","",
"265603681205","CVCVP018","Bird","","","","Coveside","","","","","","10048","","","","","","","","","","","","","","","","","","","",
"265603696079","CVCVP019","Bird","","","","Coveside","","","","","","10049","","","","","","","","","","","","","","","","","","","",
"265603707750","CVCVP022","Bird","","","","Coveside","","","","","","10053","","","","","","","","","","","","","","","","","","","",
"265603652867","CVCVP023","Bird","","","","Coveside","","","","","","10055","","","","","","","","","","","","","","","","","","","",
"255461327638","CVCVP023","Bird","","","","Coveside","","","","","","10055","","","","","","","","","","","","","","","","","","","",
"265603685809","CVCVP024","Bird","","","","Coveside","","","","","","10057","","","","","","","","","","","","","","","","","","","",
"265603663212","CVCVP025","Bird","","","","Coveside","","","","","","10058","","","","","","","","","","","","","","","","","","","",
"265603698787","CVCVP034","Bird","","","","Coveside","","","","","","10097","","","","","","","","","","","","","","","","","","","",
"265603666770","CVCVP038","Bird","","Wood","","Coveside","Small","","","","","10120","","","","","","","","","","","","","","","","","","","",
"265603692524","CVCVP039","Bird","","","","Coveside","","","","","","10130","","","","","","","","","","","","","","","","","","","",
"255444560986","CVCVP040","Bird","","","","Coveside","","","","","","10140","","","","","","","","","","","","","","","","","","","",
"255444539531","CVCVP041","Bird","","","","Coveside","","","","","","10150","","","","","","","","","","","","","","","","","","","",
"255444559906","CVCVP046","Bird","","","","Coveside","Small","","","","","20035","","","","","","","","","","","","","","","","","","","",
"255444548348","CVCVP047","Bird","","","","Coveside","","","","","","20045","","","","","","","","","","","","","","","","","","","",
"265619961683","ZX9WDLNK070","Bird","","","","Fancy Feline","","","","","","FA142305","","","","","","","","","","","","","","","","","","","",
"255444596036","ZX9WDLNK070","Bird","","","","Fancy Feline","","","","","","FA142305","","","","","","","","","","","","","","","","","","","",
"265603656448","ZX9WDLNK071","Bird","","","","Fancy Feline","","","","","","FA142306","","","","","","","","","","","","","","","","","","","",
"255444590608","GC11141","Bird","","","","Hiatt Manufacturing","","","","","","HIATT38078","","","","","","","","","","","","","","","","","","","",
"265603670277","ZX9CVCVP021","Bird","","","","PetPride","","","","","","PE2088852","","","","","","","","","","","","","","","","","","","",
"255444552990","WDLNK071","Bird","","","","Woodlink","","","","","","24315","","","","","","","","","","","","","","","","","","","",
"255461352271","WDLNK085","Bird","","","","Woodlink","","","","","","24338","","","","","","","","","","","","","","","","","","","",
"265603669979","WDLNK085","Bird","","","","Woodlink","","","","","","24338","","","","","","","","","","","","","","","","","","","",
"265603707347","GC21549","Bird","","","","Woodlink","","","","","","WLNA11502S","","","","","","","","","","","","","","","","","","","",
"265603669827","WDLNK145","Bird","","","","Woodlink","","","","","","24350","","","","","","","","","","","","","","","","","","","",
