Item Id,SKU,Dog Size,Type,Dog Breed,Features,Brand,Material,Personalize,Custom Bundle,Model,Bundle Description,MPN,Modified Item,Modification Description,Country/Region of Manufacture,California Prop 65 Warning,Personalization Instructions,
"255576422554","CRNP1483","","Pet Beds & Houses","","","Carolina Pet","","","","","","011200","","","","","",
"265731230758","CRNP1484","","Pet Beds & Houses","","","Carolina Pet","","","","","","011210","","","","","",
"255576421240","CRNP1485","","Pet Beds & Houses","","","Carolina Pet","","","","","","011220","","","","","",
"265731228571","CRNP1486","","Pet Beds & Houses","","","Carolina Pet","","","","","","011230","","","","","",
"265731231781","CRNP1491","","Pet Beds & Houses","","","Carolina Pet","","","","","","011930","","","","","",
"255576419113","CRNP1492","","Pet Beds & Houses","","","Carolina Pet","","","","","","011950","","","","","",
"265731233506","CRNP1507","","Pet Beds & Houses","","","Carolina Pet","Memory Foam","","","","","012040 MF","","","","","",
"265731235968","CRNP1510","","Pet Beds & Houses","","","Carolina Pet","Memory Foam","","","","","012050 MF","","","","","",
"255576417882","CRNP1513","","Pet Beds & Houses","","","Carolina Pet","Memory Foam","","","","","012060 MF","","","","","",
"265731239930","CRNP1516","","Pet Beds & Houses","","","Carolina Pet","Memory Foam","","","","","012070 MF","","","","","",
"265731232093","CRNP1518","","Pet Beds & Houses","","Orthopedic","Carolina Pet","","","","","","012080 F","","","","","",
"255576428104","CRNP1519","","Pet Beds & Houses","","","Carolina Pet","Memory Foam","","","","","012080 MF","","","","","",
"255576426840","CRNP1522","","Pet Beds & Houses","","Orthopedic","Carolina Pet","","","","","","012090 F","","","","","",
"255576428530","CRNP1521","","Pet Beds & Houses","","","Carolina Pet","Memory Foam","","","","","012090 MF","","","","","",
"255576416998","CRNP1524","","Pet Beds & Houses","","Orthopedic","Carolina Pet","","","","","","012100 F","","","","","",
"255576420997","CRNP1525","","Pet Beds & Houses","","","Carolina Pet","Memory Foam","","","","","012100 MF","","","","","",
"265731231629","CRNP1527","","Pet Beds & Houses","","Orthopedic","Carolina Pet","","","","","","012110 F","","","","","",
"265731228657","CRNP1528","","Pet Beds & Houses","","","Carolina Pet","Memory Foam","","","","","012110 MF","","","","","",
"265731229789","CRNP1543","","Pet Beds & Houses","","","Carolina Pet","Canvas","","","","","012160 MF","","","","","",
"255576429367","CRNP1546","","Pet Beds & Houses","","","Carolina Pet","Canvas","","","","","012170 MF","","","","","",
"265731229115","CRNP1549","","Pet Beds & Houses","","","Carolina Pet","Canvas","","","","","012180 MF","","","","","",
"265731238192","CRNP1552","","Pet Beds & Houses","","","Carolina Pet","Canvas","","","","","012190 MF","","","","","",
"265731233925","CRNP1555","","Pet Beds & Houses","","","Carolina Pet","Canvas","","","","","012200 MF","","","","","",
"265731233282","CRNP1558","","Pet Beds & Houses","","","Carolina Pet","Canvas","","","","","012210 MF","","","","","",
"255576429989","CRNP1561","","Pet Beds & Houses","","","Carolina Pet","Canvas","","","","","012220 MF","","","","","",
"255576418451","CRNP1564","","Pet Beds & Houses","","","Carolina Pet","Canvas","","","","","012230 MF","","","","","",
"255576419653","CRNP1568","","Pet Beds & Houses","","Orthopedic","Carolina Pet","","","","","","012390","","","","","",
"265731228369","CRNP1569","","Pet Beds & Houses","","Orthopedic","Carolina Pet","","","","","","012400","","","","","",
"265731229305","CRNP1570","","Pet Beds & Houses","","Orthopedic","Carolina Pet","","","","","","012410","","","","","",
"255576421689","CRNP1579","","Pet Beds & Houses","","","Carolina Pet","","","","","","013480","","","","","",
"265731234641","CRNP1580","","Pet Beds & Houses","","","Carolina Pet","","","","","","013490","","","","","",
"265731232495","CRNP1615","","Pet Beds & Houses","","","Carolina Pet","Memory Foam","","","","","014550 MF","","","","","",
"255576421097","CRNP1618","","Pet Beds & Houses","","","Carolina Pet","Memory Foam","","","","","014560 MF","","","","","",
"255576418734","CRNP1621","","Pet Beds & Houses","","","Carolina Pet","Memory Foam","","","","","014570 MF","","","","","",
"265731240712","CRNP1623","","Pet Beds & Houses","","Orthopedic","Carolina Pet","Suede","","","","","014700 F","","","","","",
"255576419480","CRNP1624","","Pet Beds & Houses","","","Carolina Pet","Memory Foam","","","","","014700 MF","","","","","",
"265731231427","CRNP1632","","Pet Beds & Houses","","Orthopedic","Carolina Pet","Suede","","","","","014730 F","","","","","",
"255576419890","CRNP1633","","Pet Beds & Houses","","","Carolina Pet","Memory Foam","","","","","014730 MF","","","","","",
"255576416495","CRNP1639","","Pet Beds & Houses","","","Carolina Pet","","","","","","015330","","","","","",
"255576419223","CRNP1640","","Pet Beds & Houses","","","Carolina Pet","","","","","","015340","","","","","",
"265731231218","CRNP1641","","Pet Beds & Houses","","","Carolina Pet","","","","","","015350","","","","","",
"255576421491","CRNP1642","","Pet Beds & Houses","","","Carolina Pet","","","","","","015360","","","","","",
"265731229048","CRNP1643","","Pet Beds & Houses","","","Carolina Pet","","","","","","015370","","","","","",
"265731237128","CRNP1644","","Pet Beds & Houses","","","Carolina Pet","","","","","","015380","","","","","",
"255576429149","CRNP1451","","Pet Beds & Houses","","","Carolina Pet","Microfiber","","","","","019410","","","","","",
"265731228843","CRNP1454","","Pet Beds & Houses","","","Carolina Pet","Microfiber","","","","","019420","","","","","",
"265731233618","CRNP1457","M","Pet Beds & Houses","Any","Machine Washable","Carolina Pet","Microfiber","","","Saddle","","019430","","","","","",
"255576420305","CRNP1462","","Pet Beds & Houses","","","Carolina Pet","Canvas","","","","","019440 MF","","","","","",
"255576430145","CRNP1469","","Pet Beds & Houses","","","Carolina Pet","Canvas","","","","","019470","","","","","",
"265731231879","CRNP1472","","Pet Beds & Houses","","","Carolina Pet","Canvas","","","","","019480","","","","","",
"255576429260","CRNP1475","","Pet Beds & Houses","","","Carolina Pet","Canvas","","","","","019490","","","","","",
"265731228292","CRNP1978","","Pet Beds & Houses","","","Carolina Pet","","","","","","0PP0303-CHR","","","","","",
"255576423460","CRNP1971","","Pet Beds & Houses","","","Carolina Pet","","","","","","0PP0303-GST","","","","","",
"255576420403","CRNP1902","","Pet Beds & Houses","","","Carolina Pet","","","","","","0PP0303-HAR","","","","","",
"265731230081","CRNP1979","","Pet Beds & Houses","","","Carolina Pet","","","","","","0PP0304-CHR","","","","","",
"265731230917","CRNP1903","","Pet Beds & Houses","","","Carolina Pet","","","","","","0PP0304-HAR","","","","","",
"265731228104","CRNP1965","","Pet Beds & Houses","","","Carolina Pet","","","","","","0PP0304-RED","","","","","",
"265620566402","PRNC5510","","Pet Beds & Houses","","","Dog Gone Smart","","","","","","855128","","","","","",
"255576416786","ENGL1019","","Pet Beds & Houses","","","Englacha","","","","","","06012019-d","","","","","",
"265620565417","GPTC1447","","Pet Beds & Houses","","Waterproof","Go Pet Club","Memory Foam","","","","","KK-36","","","","","",
"255461976156","MAJPT517","","Pet Beds & Houses","","","Majestic Pet","","","","","","78899550062","","","","","",
"255811364823","MAJPT524","","Pet Beds & Houses","","","Majestic Pet","","","","","","78899550069","","","","","",
"255461995770","MAJPT525","","Pet Beds & Houses","","","Majestic Pet","","","","","","78899550070","","","","","",
"255461961656","MAJPT526","","Pet Beds & Houses","","","Majestic Pet","","","","","","78899550071","","","","","",
"265620562261","MAJPT532","","Pet Beds & Houses","","","Majestic Pet","","","","","","78899550101","","","","","",
"255461975587","MAJPT536","","Pet Beds & Houses","","","Majestic Pet","","","","","","78899550105","","","","","",
"265620537442","MAJPT537","","Pet Beds & Houses","","","Majestic Pet","","","","","","78899550106","","","","","",
"255461994722","MAJPT539","","Pet Beds & Houses","","","Majestic Pet","","","","","","78899550108","","","","","",
"265620569786","MAJPT595","","Pet Beds & Houses","","","Majestic Pet","","","","","","78899550664","","","","","",
"255461962680","MAJPT597","","Pet Beds & Houses","","","Majestic Pet","","","","","","78899550666","","","","","",
"265620547656","MAJPT598","","Pet Beds & Houses","","","Majestic Pet","","","","","","78899550667","","","","","",
"255461986642","MAJPT599","","Pet Beds & Houses","","","Majestic Pet","","","","","","78899550668","","","","","",
"265973650706","MAJPT600","","Pet Beds & Houses","","","Majestic Pet","","","","","","78899550669","","","","","",
"265620555390","MAJPT609","","Pet Beds & Houses","","","Majestic Pet","","","","","","78899550700","","","","","",
"265620552176","MAJPT611","","Pet Beds & Houses","","","Majestic Pet","","","","","","78899550702","","","","","",
"265620552376","MAJPT613","","Pet Beds & Houses","","","Majestic Pet","","","","","","78899550704","","","","","",
"265620555468","MAJPT614","","Pet Beds & Houses","","","Majestic Pet","","","","","","78899550705","","","","","",
"255461962976","MAJPT666","","Pet Beds & Houses","","Orthopedic","Majestic Pet","Memory Foam","","","","","78899551201","","","","","",
"255461989402","MAJPT671","","Pet Beds & Houses","","Orthopedic","Majestic Pet","Memory Foam","","","","","78899551212","","","","","",
"255461985726","MAJPT674","","Pet Beds & Houses","","Orthopedic","Majestic Pet","Memory Foam","","","","","78899551215","","","","","",
"265620556933","MAJPT681","","Pet Beds & Houses","","Orthopedic","Majestic Pet","Memory Foam","","","","","78899551224","","","","","",
"265620555812","MAJPT682","","Pet Beds & Houses","","Orthopedic","Majestic Pet","Memory Foam","","","","","78899551225","","","","","",
"265620564979","MAJPT685","","Pet Beds & Houses","","Orthopedic","Majestic Pet","Memory Foam","","","","","78899551228","","","","","",
"265620573884","MAJPT687","","Pet Beds & Houses","","Orthopedic","Majestic Pet","Memory Foam","","","","","78899551230","","","","","",
"255461974251","MAJPT691","","Pet Beds & Houses","","Orthopedic","Majestic Pet","Memory Foam","","","","","78899551234","","","","","",
"255461972112","MAJPT692","","Pet Beds & Houses","","Orthopedic","Majestic Pet","Memory Foam","","","","","78899551235","","","","","",
"265620551472","MAJPT693","","Pet Beds & Houses","","Orthopedic","Majestic Pet","Memory Foam","","","","","78899551236","","","","","",
"255461985446","MAJPT696","","Pet Beds & Houses","","Orthopedic","Majestic Pet","Memory Foam","","","","","78899551239","","","","","",
"255461965304","MAJPT698","","Pet Beds & Houses","","Orthopedic","Majestic Pet","Memory Foam","","","","","78899551241","","","Aruba","","",
