Item Id,SKU,Brand,Theme,Material,Features,Type,Color,Item Height,Mounting,Power Source,Style,Model,Country/Region of Manufacture,Item Width,Year Manufactured,Assembly Required,Pump Included,MPN,Item Depth,Item Weight,Custom Bundle,California Prop 65 Warning,Bundle Description,Manufacturer Warranty,Power,
"265603690494","ZX9STRGD1412","Agreeableagradable","Bird","Copper","","Bird","","","","","","","","","","","","AG1926724","","","","","","","",
"255444568144","ZX9ACHR154276","Charmingencantador","Bird","Glass","","Bird","","","","","","","","","","","","CH1651020","","","","","","","",
"255444586843","GC093","ALLIED PRECISION","Bird","","","Bird","","","","","","","","","","","","ALLIEDPR4WW","","","","","","","",
"265603662373","GC317","Ancient Graffiti","Bird","","","Bird","","","","","","","","","","","","ANCIENT950","","","","","","","",
"255444568061","GC12051","Ancient Graffiti","Bird","","","Bird","","","Hanging","","","","","","","","","ANCIENTAG17027","","","","","","","",
"265603708423","CCRP2724","ALLIED PRECISION","Bird","","","Bird","","","","","","","","","","","","API250D","","","","","","","",
"255444603155","ZX9CCRP2724","Beloved","Bird","","","Bird","","","","","","","","","","","","BE50831","","","","","","","",
"255444590737","ZX9CCRP4521","PetPurifiers","Bird","","","Bird","","","","Solar","","","","","","","","PE1703602","","","","","","","",
"265603672939","ZX9EXTR1434","Wooerpretendiente","Bird","","","Bird","Green","","","","","","","","","","","WO1662476","","","","","","","",
"265603710689","GC17762","Couronne Co.","Bird","","","Bird","Red","","","","","","","","","","","COURM33720006","","","","","","","",
"255461396531","SSCH120","Esschert Design USA","Bird","Ceramic","","Bird","White","","","","","","","","","","","FB423","","","","","","","",
"265603682489","STRGD1412","Find Your Passage","Bird","Copper","","Bird","","","","","","","","","","","","LOW-MT-BB-17-DHDC","","","","","","","",
"265603703430","BFG4132","Gardener Select","Bird","","","Bird","","","","","Mosaic","","","","","","","GSA14BFG01A","","","","","","","",
"265603709458","BFG4212","Gardener Select","Bird","","","Bird","","","","","Mosaic","","","","","","","GSA14BFG01B","","","","","","","",
"265603688616","WSPR026","Harbor Gardens","Bird","Ceramic","","Bird","Yellow","","","","","","","","","","","HQ77682357","","","","","","","",
"255576389108","WSPR021","Harbor Gardens","Bird","","","Bird","Blue","","","","","","","","","","","ZT17140405","","","","","","","",
"265731206012","WSPR022","Harbor Gardens","Bird","","","Bird","","","","","","","","","","","","ZT17140607","","","","","","","",
"255576390417","WSPR023","Harbor Gardens","Bird","","","Bird","","","","","","","","","","","","ZT17144041","","","","","","","",
"265603677296","ACHR153797","Infinity","Bird","Glass","","Bird","","","","Solar","","","","","","","","8048418","","","","","","","",
"265603667603","IVHH020","Innova Hearth & Home","Bird","Iron","","Bird","","","","","","","","","","","","C874-27","","","","","","","",
"255576392332","JECO5918","Jeco","Bird","","","Bird","","","","","","","","","","","","ODBB005","","","","","","","",
"265603711566","ACHR154276","MEADOWCREEK","Bird","Glass","","Bird","","","","","","","","","","","","8050441","","","","","","","",
"265603686347","ZX9BFG4064","Fasten Gear","Bird","Glass","","Bird","","","","","Mosaic","","","","","","","FA713169","","","","","","","",
"265603704945","TRDMR58024","Pure Garden","Bird","","","Bird","","","","","","","","","","","","50-LG1073","","","","","","","",
"255444551296","REDC1877","Red Carpet Studios","Bird","","","Bird","Red","","","","","","","","","","","40272","","","","","","","",
"265603666121","GC23668","Songbird Essentials","Bird","","","Bird","","","","","","","","","","","","SE5006","","","","","","","",
"265603709966","GC23675","Songbird Essentials","Bird","","","Bird","","","","","","","","","","","","SE5013","","","","","","","",
"265619964032","GC23675","Songbird Essentials","Bird","","","Bird","","","","","","","","","","","","SE5013","","","","","","","",
"255444577066","GC29982","Songbird Essentials","Bird","","","Bird","","","","","","","","","","","","SE5026","","","","","","","",
"265603706929","GC29983","Songbird Essentials","Bird","","","Bird","","","","","","","","","","","","SE5027","","","","","","","",
"265603665987","GC29999","Songbird Essentials","Bird","","","Bird","","","","","","","","","","","","SE5043","","","","","","","",
"265603660427","GC30002","Songbird Essentials","Bird","","","Bird","Blue","","","","","","","","","","","SE5046","","","","","","","",
"265619969562","GC30003","Songbird Essentials","Bird","","","Bird","Blue","","","","","","","","","","","SE5047","","","","","","","",
"255444597709","GC30003","Songbird Essentials","Bird","","","Bird","Blue","","","","","","","","","","","SE5047","","","","","","","",
"265603676922","GC38746","Songbird Essentials","Bird","","","Bird","","","","","","","","","","","","SE5064","","","","","","","",
"265603705328","GC13698","Songbird Essentials","Bird","","","Bird","Green","","","","","","","","","","","SE507","","","","","","","",
"265603706498","GC42529","Songbird Essentials","Bird","Glass","","Bird","Green","","","","","","","","","","","SE5075","","","","","","","",
"265603650625","GC23691","Songbird Essentials","Bird","","","Bird","","","","","","","","","","","","SE994","","","","","","","",
"265603671208","GC37099","STI Smart Solar","Bird","","","Bird","","","","Solar","","","","","","","","STI21300R01","","","","","","","",
"265603681549","CNRY1208","X-Brand","Bird","Plastic","","Bird","","","","","","","","","","","","BB3387GN","","","","","","","",
"265603682150","CNRY1268","XBrand","Bird","","","Bird","","","","","","","","","","","","GE2406BBGN-2","","","","","","","",
"255576390837","CNRY1269","XBrand","Bird","","","Bird","Black","","","","","","","","","","","GE2418BBGR-2","","","","","","","",
