Item Id,SKU,Type,Material,Brand,Style,Theme,Color,Character Family,Character,Room,Country/Region of Manufacture,Number in Pack,Features,Item Height,Item Length,MPN,Model,Item Width,Item Weight,Finish,Custom Bundle,Customized,Care Instructions,Personalize,California Prop 65 Warning,Bundle Description,Personalization Instructions,Antique,Handmade,
"265697923916","UTRMST4040","Decor","","212 Main","","","Gray","","","","","2","","","","17864","","","","","","","","","","","","","",
"255737796264","ZX9SPIHM3403","Decor","","Ricki&apos;s Rugs","","","","","","","","4","","","","RI2488210","","","","","","","","","","","","","",
"255509813330","CCL132","Decor","","Convenience Concepts","","","White","","","","","","","","","111085W","","","","","","","","","","","","","",
"265674058965","PVTD1594","Decor","","Donco Kids","","","White","","","","","","","","","PD_795DW","","","","","","","","","","","","","",
"265695248641","PVTD1593","Decor","","Donco Kids","","","White","","","","","","","","","PD_795EW","","","","","","","","","","","","","",
"255724990360","ZX9CCL132","Decor","","EyeCatcher","","","White","","","","","","","","","EY2540579","","","","","","","","","","","","","",
"255541689844","ZX9PVTD1465","Decor","","H2H","","","","","","","","","","","","H2469492","","","","","","","","","","","","","",
"265674153952","ZX9PVTD1468","Decor","","H2H","","","White","","","","","","","","","H2480560","","","","","","","","","","","","","",
"265679938987","SPIHM3403","Decor","","SPI Home","","","","","","","","4","","","","41049","","","","","","","","","","","","","",
"265669360026","PVTD1465","Decor","","Supplier","","","","","","","","","","","","PD_780D_TCP","","","","","","","","","","","","","",
"265680185507","PVTD1468","Decor","","Supplier","","","White","","","","","","","","","PD_780D_TW","","","","","","","","","","","","","",
"255509838570","PVTD1471","Decor","","Supplier","Antique","","","","","","","","","","","PD_790D_AG","","","","Antique","","","","","","","","","",
"255513499542","PVTD1472","Decor","","Supplier","Antique","","","","","","","","","","","PD_790E_AG","","","","Antique","","","","","","","","","",
