Item Id,SKU,Brand,Color,Theme,Gender,MPN,Character Family,Custom Bundle,Model,Bundle Description,Modified Item,Modification Description,Country/Region of Manufacture,California Prop 65 Warning,
"265620525035","CTTD2009","Danica LLC dba Cotton Tale","Pink","","","SWHP","","","","","","","","",
"265620525215","ZX9CTTD1841","SweetSensations","","","","SW888874","","","","","","","","",
"265620505704","DAHD31494","Honey-Can-Do","Blue","","","STO-06689","","","","","","","","",
"255461904257","ZX9CTTD371","SweetSensations","","","","SW734765","","","","","","","","",
"255461931639","REDN1360","Redmon","","","","5453","","","","","","","","",
"265620496504","ZX9CTTD1529","SweetSensations","","","","SW262918","","","","","","","","",
"255461947150","ZX9CTTD1942","SweetSensations","","","","SW262928","","","","","","","","",
"265620530927","ZX9CTTD1961","SweetSensations","","","","SW265843","","","","","","","","",
"255461957866","ZX9CTTD1568","SweetSensations","","","","SW721598","","","","","","","","",
"255461950848","ZX9DAHD31494","BabyBeyond","Blue","","","BA57987","","","","","","","","",
