Item Id,SKU,Type,Brand,Socket Compatibility,Power Connection,Fan Light Color,Material,Voltage,Fan Diameter,Color,Compatible Brand,Bearing Type,Maximum Airflow Volume,To Fit,Maximum Fan Speed,Country/Region of Manufacture,Manufacturer Warranty,Packaging,MPN,Form Factor,Custom Bundle,Bundle Description,California Prop 65 Warning,Item Height,Item Length,Item Width,
"254093296863","107701","Heatsink","Generic","Socket 7","","Black","Aluminum","","50 mm","Black","Universal","","","","","","","","50mm-heatsink","","","","","","","",
"265270848056","107701","Heatsink","Generic","Socket 5,Socket 7","","Black","Aluminum","","50 mm","Black","Universal","","","Multiple Applications","","","","","50mm-heatsink","","","","","","","",
"264161258718","106357","Heatsink","Compaq","","","","","","","","","","","","","","","","Does Not Apply","","","","","","","",
"254559304621","103830","CPU Fan with Heatsink","Dynatron","","","","Copper","","","","","","","","","","","","Does Not Apply","","","","","","","",
"254324543256","103674","CPU Fan with Heatsink","Generic","Socket 370","3-Pin","Black","Aluminum","12 V","","Black","Universal","Ball","","","","China","1 Month","","Does Not Apply","","No","","","","","",
"265993008303","103674","CPU Fan with Heatsink","Generic","Socket 462/A","3-Pin","Black","Aluminum","12 V","","Black","Universal","Ball","","","","","1 Month","","Does Not Apply","","No","","","","","",
"264663439888","108928","CPU Fan with Heatsink","IBM","","","","","","","","","","","","","","","","04P3295","","","","","","","",
"254093306902","110478","Heatsink","Intel","","","","","","","","","","","","","","","","C91249-001","","","","","","","",
"255009716364","126709","CPU Fan with Heatsink","Noctua","LGA 1366/Socket B,LGA 2011/Socket R,LGA 1156/Socket H,LGA 1150/Socket H3,LGA 1155/Socket H2,LGA 1151","4-Pin","","Aluminum,Copper","12V","120 mm","","","Sleeve","50 CFM","","1500 RPM","","","","NHU12S","","","","Yes","","","",
"264161241307","101687","Heatsink","Generic","Slot 1","3-Pin","Black","","","","Black","","Ball","","","","","","","Slot-1-Celeron","","","","","","","",
"254093276215","101895","Heatsink","Generic","Socket 7","4-Pin","","Aluminum","","","","","Ball","","","","","","","Socket-7-cooler","","No","","","","","",
"254093280365","103320","Heatsink and Fan","Generic","Socket 7","3-Pin","Black","Aluminum","12 V","","Black","Universal","Ball","","","","","","","Does Not Apply","","","","","","","",
"254561944444","192562","Does Not Apply","Supermicro","","","","","","","","","","","","","","","","SNK-P0064AP4","","","","","","","",
"254266861528","119942","Fan","Supermicro","","","","","","","","","","","","","","","","SNK-P0070APS4","","","","","","","",
"264161292434","113842","Fan","Taisol","LGA 775/Socket T","","Black","Aluminum","12 V","95 mm","Black","Universal","Ball","","","","","","","Socket-775-Cooler","","","","","","","",
"265876408407","307659","CPU Fan with Heatsink","Unbranded","Socket 462/A,Socket 370","3-Pin","Black","","","","Black","","","","","","","","","","","","","","","","",
