Item Id,SKU,Processor Type,Brand,Processor Model,Socket Type,Number of Cores,Clock Speed,Bus Speed,L2 Cache,L3 Cache,Country/Region of Manufacture,MPN,Custom Bundle,Bundle Description,California Prop 65 Warning,Item Height,Item Length,Item Width,Manufacturer Warranty,
"254528489587","106937","","AMD","Does Not Apply","","","","","","","","AMD486DX2-66/70","","","","","","","",
"254536742184","103199","","AMD","AMD Athlon 950","","","","","","","","Thunderbird-FSB-200","","","","","","","",
"264663439698","108747","Athlon XP","AMD","Does Not Apply","","","","","","","","Does Not Apply","","","","","","","",
"264662519777","103171","Opteron","AMD","Does Not Apply","Socket 940","","","","","","","OSA250FAA5BL","","","","","","","",
"254528492913","115449","Opteron","AMD","Does Not Apply","","","","","","","","OSA28OFAA6CB","","","","","","","",
"264663439737","108752","","IBM","Does Not Apply","","","","","","","","Does Not Apply","","","","","","","",
"264161243801","102479","Pentium","Intel","Intel Pentium II 266","Slot 1","1","","266 MHz","","","","Does Not Apply","","","","","","","",
"255117769304","239674","Core i7 2nd Gen.","Intel","CORE I7-2600","LGA 1155/Socket H2","4","3.4GHz","Dmi SPEED-5 Gt/S","256KB","8 MB","","BX80623I72600,CM8062300834302,BXC80623I72600","","","","","","","",
"254093276798","102468","Pentium","Intel","Does Not Apply","","","","","","","","Does Not Apply","","","","","","","",
"254093276690","102465","Pentium","Intel","Intel Pentium 133","Socket 5","1","133 MHz","133 MHz","","","","Does Not Apply","","","","","","","",
"254093276727","102467","Pentium","Intel","Does Not Apply","Socket 7","1","","66 MHz","","","","Does Not Apply","","","","","","","",
"264161243758","102478","Pentium","Intel","Intel Pentium II","Slot 1","1","","","","","","Does Not Apply","","","","","","","",
"264161244137","102486","Pentium","Intel","Intel Pentium III 500","Slot 1","1","","500 MHz","","","","FSB100-SL35E","","","","","","","",
"254769487675","304937","Pentium III","Intel","Does Not Apply","Slot 1","1","","100 MHz","512 KB","512 KB","","FSB100-SL37D","","","","","","","",
"264662519120","102498","Pentium","Intel","Intel Pentium III","","","","","","","","FSB133","","","","","","","",
"254093277181","102487","Pentium","Intel","Does Not Apply","Slot 1","1","","","","","","FSB100","","","","","","","",
"254537549580","110710","Pentium","Intel","Does Not Apply","","","","","","","","Does Not Apply","","","","","","","",
"254537550434","114791","Celeron","Intel","Does Not Apply","","","","","","","","SL37X","","","","","","","",
"254344509000","102497","","Intel","Does Not Apply","Slot 1","1","","","","","","SL3JU","","","","","","","",
"264922432027","115723","Pentium III","Intel","","Socket 370","","","","256 KB","","","RB80526PZ667256","","","","","","","",
"264161244310","102501","Pentium","Intel","Intel Pentium III","","","","","","","","Does Not Apply","","","","","","","",
"264161244441","102535","Pentium","Intel","Intel Pentium III","","","","","","","","Does Not Apply","","","","","","","",
"254636167454","102533","Pentium","Intel","Intel Pentium III","Slot 1","1","","","","","","Does Not Apply","","","","","","","",
"254537549558","110709","Pentium","Intel","Does Not Apply","","3","","","","","","Does Not Apply","","","","","","","",
"254093304841","109610","Pentium","Intel","Intel Pentium III","","","","","","","","Does Not Apply","","","","","","","",
"254093311515","110725","Pentium","Intel","Does Not Apply","","","","","","","","Does Not Apply","","","","","","","",
"264662519453","102982","Celeron","Intel","Intel Celeron 700","Socket 370","","","","","","","Does Not Apply","","","","","","","",
"264161245063","102646","Pentium","Intel","Intel Pentium 4","","","","","","","","Does Not Apply","","","","","","","",
"264161284542","111132","Pentium","Intel","Does Not Apply","","1","","","","","","Does Not Apply","","","","","","","",
"254537550412","114790","Pentium","Intel","Does Not Apply","","1","","","","","","SL5UW","","","","","","","",
"264663534936","110717","Celeron","Intel","Does Not Apply","","","","","","","","Does Not Apply","","","","","","","",
"254093279579","102996","Celeron","Intel","Intel Celeron 1200","","","","","","","","Does Not Apply","","","","","","","",
"254536741698","102586","Pentium","Intel","Intel Pentium 4","","4","","","","","","SL5Z9","","","","","","","",
"264902832608","102994","Celeron","Intel","","Socket 370","","1 GHz","100 MHz","256 KB","","","BX80530F1000256","","","","","","","",
"254537550621","115408","Pentium","Intel","Does Not Apply","","4","","","","","","SL5ZT","","","","","","","",
"264161245254","102667","Pentium","Intel","Intel Pentium 4","","","2.26 GHz","","","","","SL67Y","","","","","","","",
"254536741752","102609","Pentium","Intel","Intel Pentium 4","","4","","","","","","Does Not Apply","","","","","","","",
"254537471072","110505","Celeron","Intel","Does Not Apply","","","","","","","","Does Not Apply","","","","","","","",
"264662519291","102616","Xeon","Intel","Intel Xeon Processor SL6RR","","","","533 MHz","","","","SL6RR","","","","","","","",
"264662519234","102598","Pentium","Intel","Intel Pentium 4","","4","","","","","","Does Not Apply","","","","","","","",
"264663391796","115696","Xeon","Intel","Does Not Apply","Socket 604","","","","","","","SL6VN","","","","","","","",
"264663536319","115573","Celeron","Intel","Does Not Apply","478","26","","400 MHz","","","","SL6W5","","","","","","","",
"264662519208","102597","Pentium","Intel","Intel Pentium 4","","4","","","","","","Does Not Apply","","","","","","","",
"264161280728","110668","Pentium","Intel","Does Not Apply","","4","","","","","","Does Not Apply","","","","","","","",
"264663536030","115410","Pentium","Intel","Does Not Apply","","4","","","","","","SL7E8","","","","","","","",
"254537470964","110370","Pentium","Intel","Does Not Apply","","4","","","","","","SL7JK","","","","","","","",
"264662519637","103024","Celeron","Intel","Intel Celeron D 315","","","","","","","","SL7KX","","","","","","","",
"264662519686","103026","Celeron","Intel","Intel Celeron D","","","","","","","","SL7VW","","","","","","","",
"264653294390","110671","Pentium","Intel","Does Not Apply","","4","","","","","","SL7Z9","","","","","","","",
"254528492839","115404","Pentium","Intel","Does Not Apply","","4","","","","","","SL8H7","","","","","","","",
"264161246741","103029","Celeron","Intel","Intel Celeron D 330","","","","","","","","SL8HL","","","","","","","",
"264663535210","111048","","Intel","Does Not Apply","","","","","","","","SL8HX","","","","","","","",
"254537551321","115660","","Intel","Does Not Apply","","","","","","","","SL8HX-Processors","","","","","","","",
"254093310939","110706","Pentium","Intel","Does Not Apply","","4","","","","","","SL8HZ","","","","","","","",
"254086549247","100011","Pentium","Intel","Intel Pentium SL8PP","","4","","","","","","SL8PP","","","","","","","",
"264663535860","115051","Pentium","Intel","Does Not Apply","","4","","","","","","SL8PQ","","","","","","","",
"264161295042","115327","Pentium","Intel","Does Not Apply","","4","","800 MHz","","","","SL9C6","","","","","","","",
"264653292050","107520","Pentium","Intel","Does Not Apply","","4","","","","","","SL9CG","","","","","","","",
"254093282254","103629","Core 2 Duo","Intel","Intel Core 2 Duo 6300","","2","","","","","","SL9SA","","","","","","","",
"264161296676","115439","Core 2 Duo","Intel","Does Not Apply","","2","","","","","","SL9TA","","","","","","","",
"264161301940","115523","Core 2 Duo","Intel","Does Not Apply","","2","","","","","","SLA4T","","","","","","","",
"264161294863","115272","Core 2 Duo","Intel","Does Not Apply","","2","","","","","","SLA4U","","","","","","","",
"264653295037","115536","Pentium","Intel","Does Not Apply","","","","","","","","SLA8X","","","","","","","",
"264161287707","112356","Xeon","Intel","Does Not Apply","","","2.33 GHz","1333 MHz","","","","SLAC5","","","","","","","",
"254629015686","111126","Xeon","Intel","Does Not Apply","","","2.33 GHz","1333 MHz","","","","SLAEJ","","","","","","","",
"264161302007","115525","Pentium","Intel","Intel Pentium E6500","","","","","","","","SLGUH","","","","","","","",
"254093317227","112567","Pentium","Generic","Does Not Apply","Slot 1","1","","","","","","Does Not Apply","","","","","","","",
"264161269953","108751","","Via","Does Not Apply","","","","","","","","Does Not Apply","","","","","","","",
"264662519714","103098","","Via","Does Not Apply","Socket 370","","","","","","","Does Not Apply","","","","","","","",
