Item Id,SKU,Type,Material,Brand,Color,Number in Pack,Item Length,Finish,Style,Center-to-Center Measurement,Item Diameter,Country/Region of Manufacture,Extension Length,Door Handing,Fixings Supplied,Suitable For,MPN,California Prop 65 Warning,Custom Bundle,Bundle Description,Manufacturer Warranty,
"265644582981","ZX9STRGB285","Furniture & Decor","Bronze","PerfectPatio","","","","","","","","","","","","","PE2154699","","","","",
"255488802214","ZX9STRGB169","Furniture & Decor","Nickel","PerfectPatio","","","","Polished","","","","","","","","","PE1623786","","","","",
"265639661482","ZX9STRGB298","Furniture & Decor","Brass","PerfectPatio","","","","Satin","","","","","","","","","PE1897643","","","","",
"255483826901","ZX9STRGB299","Furniture & Decor","Brass","PerfectPatio","","","","Satin","","","","","","","","","PE1926723","","","","",
"265634279031","ZX9TRVAL129088","Furniture & Decor","","OpenSkies","Black","2","","","Classic","","","","","","","","OP2179097","","","","",
"265639794766","TPNTD242427","Furniture & Decor","Brass","Emtek","Black","","","","","","","","","","","","86441US19","","","","",
"255488676809","TPNTD243696","Furniture & Decor","","Emtek","","","","","","","","","","","","","86443US4","","","","",
"265639643461","TPNTD242488","Furniture & Decor","Brass","Emtek","","","","Satin","","","","","","","","","86693US4","","","","",
"265639789586","TPNTD242489","Furniture & Decor","","Emtek","","","","","Modern","","","","","","","","86694US14","","","","",
"255649359173","TPNTD237513","Furniture & Decor","","Falcon","","","","","","","","","","","","","1792NLOP2836","","","","",
"255483676444","GDHW150","Furniture & Decor","","Gado Gado Hardware","","","","","","","","","","","","","HPU7029R","","","","",
"265644479160","GDHW162","Furniture & Decor","","Gado Gado Hardware","","","","","","","","","","","","","HPU8040","","","","",
"255483801433","GDHW164","Furniture & Decor","","Gado Gado Hardware","","","","","","","","","","","","","HPU8044","","","","",
"265639810273","ZX9TPNTD238894","Furniture & Decor","Chrome","OpenSkies","","1","","Satin","","","","","","","","","OP2063957","","","","",
"255488680626","SPRCH91394","Furniture & Decor","","Hon","","5","","","","","","","","","","","HONARMPULL5P8V","","","","",
"265639636019","TPNTD238344","Furniture & Decor","","LCN","","","","","","","","","","","","","4011LH","","","","",
"265634258383","TPNTD238345","Furniture & Decor","","LCN","","","","","","","","","","","","","4011RH","","","","",
"255483644908","TRVAL129088","Furniture & Decor","","National Hardware","","2","","","Classic","","","","","","","","275499","","","","",
"255857762124","TRVAL129089","Furniture & Decor","","National Hardware","","","","","","","","","","","","","275500","","","","",
"255483808217","TPNTD238733","Furniture & Decor","","Omnia","","","","","Modern","","","","","","","","9025P/457.5","","","","",
"255476965181","ZX9GDHW164","Furniture & Decor","","PatioPlus","","","","","","","","","","","","","PA1763691","","","","",
"255476907147","TPNTD238894","Furniture & Decor","Chrome","Sargent","","1","","Satin","","","","","","","","","10U93LB26D","","","","",
"265639785859","TPNTD238898","Furniture & Decor","","Sargent","","1","","","","","","","","","","","10U93LL26D","","","","",
"265639561759","ZX9TPNTD238898","Furniture & Decor","Chrome","OpenSkies","","1","","Satin","","","","","","","","","OP2005164","","","","",
"265634273937","STRGB285","Furniture & Decor","Bronze","Strategic Brands","","","","","","","","","","","","","20013BB","","","","",
"265644536471","STRGB288","Furniture & Decor","Bronze","Strategic Brands","","","","","","","","","","","","","20113-BB","","","","",
"265634312583","STRGB291","Furniture & Decor","","Strategic Brands","","","","Satin","","","","","","","","","20311-18","","","","",
"255483860631","STRGB295","Furniture & Decor","","Strategic Brands","","","","","","","","","","","","","20313-18","","","","",
"255483674588","STRGB296","Furniture & Decor","","Strategic Brands","","","","","","","","","","","","","20313-24","","","","",
"255476928872","STRGB298","Furniture & Decor","Brass","Strategic Brands","","","","Satin","","","","","","","","","20320-18","","","","",
"265639536861","STRGB299","Furniture & Decor","Brass","Strategic Brands","","","","Satin","","","","","","","","","20320-24","","","","",
"255483800153","STRGB168","Furniture & Decor","Bronze","Strategic Brands","","","","","","","","","","","","","20413","","","","",
"265639641417","STRGB169","Furniture & Decor","Nickel","Strategic Brands","","","","Polished","","","","","","","","","20414","","","","",
"265639683239","STRGB170","Furniture & Decor","Nickel","Strategic Brands","","","","","","","","","","","","","20421","","","","",
"265639712558","STRGB080","Furniture & Decor","","Strategic Brands","Gold","","","","","","","","","","","","96008","","","","",
"255483863661","TPNTD236797","Furniture & Decor","","Trimco","","","","Satin","","","","","","","","","1069A4630","","","","",
"265639812572","TPNTD236801","Furniture & Decor","","Trimco","","","","","","","","","","","","","1069FP630L","","","","",
"255488848476","TPNTD236888","Furniture & Decor","","Trimco","","","","","","","","","","","","","1562ALH552710","","","","",
"265639642518","TPNTD236889","Furniture & Decor","","Trimco","","","","","","","","","","","","","1562ARH552710","","","","",
