Item Id,SKU,Type,Brand,Scent,Features,Shape,Size,Theme,Color,Material,Number in Pack,Style,Power Source,Room,Country/Region of Manufacture,Personalize,Item Length,Battery Type,Item Width,Item Height,Item Weight,Handmade,MPN,Model,Burning Time,Custom Bundle,Customized,Bundle Description,California Prop 65 Warning,Personalization Instructions,
"255444354408","ZX9BDRMN1440","Decor","Homeric","Amber","","Glass","","","","Glass","","","","","","","","","","","","","HO1917992","","","","","","","",
"255439560405","BDRMNHM1913","Decor","Biedermann & Sons","","","","","","","","5","","","","","","","","","","","","C1225MT","","","","","","","",
"265598920666","BDRMN1440","Decor","Biedermann & Sons","Amber","","Glass","","","","Glass","","","","","","","","","","","","","HJ20AM","","","","","","","",
"255725106523","ZX9JECO4403","Decor","Vaser Designs","","","","","","Silver","","","","","","","","","","","","","","VA2419514","","","","","","","",
"265897252766","ZX9JECO4769","Decor","Vaser Designs","","","","","","Red","","2","","","","","","","","","","","","VA2436908","","","","","","","",
"255738014484","ZX9JECO4765","Decor","Vaser Designs","","","","","","","","2","","","","","","","","","","","","VA2442178","","","","","","","",
"265883953579","ZX9JECO4764","Decor","Vaser Designs","","","","","","Blue","","2","","","","","","","","","","","","VA2419536","","","","","","","",
"265887701440","ZX9JECO4761","Decor","Vaser Designs","","","","","","Green","","2","","","","","","","","","","","","VA2434099","","","","","","","",
"255725237489","ZX9JECO4760","Decor","Vaser Designs","Lavender","","","","","","","2","","","","","","","","","","","","VA2435673","","","","","","","",
"265887616234","ZX9JECO4759","Decor","Vaser Designs","","","","","","Purple","","2","","","","","","","","","","","","VA2435672","","","","","","","",
"265887865377","ZX9JECO4758","Decor","Vaser Designs","","","","","","Brown","","2","","","","","","","","","","","","VA2434098","","","","","","","",
"255725011994","ZX9JECO4757","Decor","Vaser Designs","","","","","","Black","","2","","","","","","","","","","","","VA2436907","","","","","","","",
"265883899643","ZX9JECO4485","Decor","Vaser Designs","","","","","","","","3","","","","","","","","","","","","VA2436889","","","","","","","",
"265887610104","ZX9JECO4488","Decor","Vaser Designs","Rose","","Rose","","","","","3","","","","","","","","","","","","VA2438990","","","","","","","",
"255737916567","ZX9JECO4491","Decor","Vaser Designs","","","","","","Pink","","3","","","","","","","","","","","","VA2440120","","","","","","","",
"265897117066","ZX9JECO4494","Decor","Vaser Designs","","","","","","","","3","","","","","","","","","","","","VA2435648","","","","","","","",
"265887717825","ZX9JECO4497","Decor","Vaser Designs","Orange","","","","","Orange","","3","","","","","","","","","","","","VA2438585","","","","","","","",
"265897051422","ZX9JECO4500","Decor","Vaser Designs","","","","","","Red","","3","","","","","","","","","","","","VA2419517","","","","","","","",
"255725167098","ZX9JECO4509","Decor","Vaser Designs","","","","","","","","3","","","","","","","","","","","","VA2438587","","","","","","","",
"265896982780","ZX9JECO4512","Decor","Vaser Designs","","","","","","Blue","","3","","","","","","","","","","","","VA2438588","","","","","","","",
"265887756500","ZX9JECO4515","Decor","Vaser Designs","","","","","","","","3","","","","","","","","","","","","VA2440122","","","","","","","",
"265884216754","ZX9JECO4521","Decor","Vaser Designs","","","","","","Blue","","3","","","","","","","","","","","","VA2440124","","","","","","","",
"255737793742","ZX9JECO4524","Decor","Vaser Designs","","","","","","Green","","3","","","","","","","","","","","","VA2438590","","","","","","","",
"255728848454","ZX9JECO4527","Decor","Vaser Designs","","","","","","Green","","3","","","","","","","","","","","","VA2435651","","","","","","","",
"265887712550","ZX9JECO4530","Decor","Vaser Designs","Lavender","","","","","","","3","","","","","","","","","","","","VA2438592","","","","","","","",
"255728621144","ZX9JECO4533","Decor","Vaser Designs","","","","","","Purple","","3","","","","","","","","","","","","VA2442165","","","","","","","",
"255725204725","ZX9JECO4536","Decor","Vaser Designs","","","","","","Brown","","3","","","","","","","","","","","","VA2436893","","","","","","","",
"255737894154","ZX9JECO4539","Decor","Vaser Designs","","","","","","Black","","3","","","","","","","","","","","","VA2430136","","","","","","","",
"255725293653","ZX9JECO4545","Decor","Vaser Designs","","","","","","Silver","","3","","","","","","","","","","","","VA2438995","","","","","","","",
"265884187100","ZX9JECO4548","Decor","Vaser Designs","Rose","","Rose","","","White","","3","","","","","","","","","","","","VA2435654","","","","","","","",
"265897147252","ZX9JECO4552","Decor","Vaser Designs","Rose","","Rose","","","","","3","","","","","","","","","","","","VA2442166","","","","","","","",
