Item Id,SKU,Type,Sensor Type,Style,Brand,Room,Lighting Technology,Material,Number of Settings,Finish,Color,Cord Color,Light Color,Shade Shape,Power Source,Features,Installation Area,Manufacturer,Voltage,IP Rating,Theme,Pattern,Item Diameter,Energy Star,Number of Lights,Year Manufactured,Occasion,Country/Region of Manufacture,Amperage,Light Direction,Output Voltage,Department,Personalized,LED Chip Code,Color Temperature,Assembly Required,Era,Labels & Certifications,Lumens,Manufacturer Warranty,Power Consumption,Control Style,LED String/Strip Type,MPN,EC Range,Bundle Description,California Prop 65 Warning,Custom Bundle,Item Height,Item Length,Item Weight,Item Width,Model,Number of Speeds,Product Line,
"265621872254","ZX9ORE2554","Ceiling Lights","","","YhiOr","","","Crystal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YH666802","","","","","","","","","","","",
"255463201326","ZX9ORE2750","Ceiling Lights","","","YhiOr","","","Crystal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YH1601851","","","","","","","","","","","",
"265621876716","ZX9ORE2752","Ceiling Lights","","","YhiOr","","","Crystal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YH1838363","","","","","","","","","","","",
"255476809644","ZX9ORE2529","Ceiling Lights","","","YhiOr","","","Crystal","","","Silver","Silver","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YH666800","","","","","","","","","","","",
"255463211799","ZX9ZLD3598","Ceiling Lights","","","Lucent","","","Bronze","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LU592039","","","","","","","","","","","",
"265621874261","ZX9ZLD3612","Ceiling Lights","","","Lucent","","","Nickel","","Brushed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LU592040","","","","","","","","","","","",
"255463232144","ZX9ZLD3905","Ceiling Lights","","","Lucent","","","Nickel","","Brushed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LU594985","","","","","","","","","","","",
"255463208916","ZX9LGF3094","Ceiling Lights","","Antique","YhiOr","","","","","Rust","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YH373999","","","","","","","","","","","",
"265621859609","ZX9ZLD3561","Ceiling Lights","","","Lucent","","","Nickel","","Brushed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LU592037","","","","","","","","","","","",
"265632718501","ZX9JESC10484","Ceiling Lights","Light","","GorgeousGlow","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GO1642047","","","","","","","","","","","",
"255474869751","ZX9JESC10455","Ceiling Lights","","","GorgeousGlow","","LED","Silver","","","Silver","Silver","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GO1568755","","","","","","","","","","","",
"255463242307","ZX9DAIN2821","Ceiling Lights","Light","","StarBright","","Incandescent","Chrome","4","Matte","Black","Black","Black","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ST889903","","","","","","","","","","","",
"255474859655","ZX9JESC10425","Ceiling Lights","Light","","GorgeousGlow","","LED","Silver","","","Silver","Silver","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GO1583357","","","","","","","","","","","",
"255463186708","ZX9RTL95867","Ceiling Lights","Light","","Lucent","","","Glass","5","Brushed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LU681208","","","","","","","","","","","",
"265621883922","ZX9WTNGL4803","Ceiling Lights","Light","","SuperShine","","","","6","","","","","","","","Indoor","","","","","","","","","","","","","","","","","","","","","","","","","","","SU602864","","","","","","","","","","","",
"255463240044","ZX9WTNGL4825","Ceiling Lights","Light","","SuperShine","","","Bronze","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SU1648224","","","","","","","","","","","",
"255463226847","ZX9ZLD1681","Ceiling Lights","Light","","Lucent","","","Bronze","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LU704521","","","","","","","","","","","",
"265621853511","ZX9ZLD1682","Ceiling Lights","Light","","Lucent","","","Chrome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LU611157","","","","","","","","","","","",
"255474879192","ALMO11820","Ceiling Lights","","","AF Lighting","","","Bronze","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5195-5HM","","","","","","","","","","","",
"265629934458","ALMO11822","Ceiling Lights","","","AF Lighting","","","Chrome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5693-6HM","","","","","","","","","","","",
"265634204831","AFL020","Ceiling Lights","","","AF Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5695-12H","","","","","","","","","","","",
"255471770995","ALMO11824","Ceiling Lights","","","AF Lighting","","","Chrome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5695-12HM","","","","","","","","","","","",
"255646138648","ALMO12296","Ceiling Lights","","","AF Lighting","","","","","","","","","","","3-Light","","","","","","","","","","","","","","","","","","","","","","","","","","","","7044-3HM","","","","","","","","","","","",
"265956623564","AFL015","Ceiling Lights","","","AF Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7045-5H","","","","","","","","","","","",
"265956623465","ALMO12297","Ceiling Lights","","","AF Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7045-5HM","","","","","","","","","","","",
"255646138046","ALMO12298","Ceiling Lights","","","AF Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7046-5HM","","","","","","","","","","","",
"255647456682","AFL348","Ceiling Lights","Light","","AF Lighting","","","","6","","","","","Rose","","","","","","","","Floral","","","","","","","","","","","","","","","","","","","","","","7050-6H","","","","","","","","","","","",
"255647456747","ALMO12218","Ceiling Lights","Light","","AF Lighting","","","","","","","","","Rose","","","","","","","","","","F","","","","","","","","","","","","","","","","","","","","7050-6HM","","","","","","","","","","","",
