Item Id,SKU,Sensor Type,Type,Mounting,Material,Brand,Blade Color,Cord Color,Light Color,Manufacturer,Color,Design,Shade Shape,Number of Lights,Number of Blades,Number of Settings,Style,Number of Speeds,Finish,Era,Power Source,Pattern,Year Manufactured,Lighting Technology,Room,Size,Control Style,Occasion,Country/Region of Manufacture,Item Diameter,Installation Area,Features,Bulb Shape Code,Character,Theme,Franchise,Vintage,Personalized,Handmade,Signed by,Signed,Original/Reproduction,Amperage,Assembly Required,Antique,Required Tools,Department,Voltage,Power Consumption,LED Chip Code,MPN,LED String/Strip Type,Fan Width,Time Period Manufactured,Model,California Prop 65 Warning,Item Height,IP Rating,Item Length,Item Width,Labels & Certifications,Light Direction,Lumens,Color Temperature,Item Weight,Manufacturer Warranty,Bulb Life Hours,Custom Bundle,Autograph Authentication,Autograph Authentication Number,Autograph Format,Bundle Description,Convention/Event,Output Voltage,Product Line,
"255471728591","ZX9ACHR128339","Light","Bulbs","Recessed","","SuperShine","","","","","","","","4","4","4","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SU1676029","","","","","","","","","","","","","","","","","","","","","","","","",
"255476799261","ACHR128339","Light","Bulbs","Recessed","","Cooper Lighting","","","","","","","","4","4","4","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3037348","","","","","","","","","","","","","","","","","","","","","","","","",
"255471767118","TRVAL63363","","Bulbs","","","Cooper Lighting","","","","","","","","4","4","4","","4","","","","","","","","","","","","","","","T5","","","","","","","","","","","","","","","","","","176915","","","","","","","","","","","","","","","","","","","","","","","","",
"265689115429","KSAO174111","","Bulbs","","","Crown Auto","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","C1Y-231MASKIT","","","","","","","","","","","","","","","","","","","","","","","","",
"255474955798","ZX9JESC5583","","Bulbs","","","GorgeousGlow","","","","","","","","","","","","","","","","Linear","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","GO1581652","","","","","","","","","","","","","","","","","","","","","","","","",
"255474962154","ZX9JESC5580","","Bulbs","","","GorgeousGlow","","","","","","","","","","","","","","","","Linear","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","GO1578842","","","","","","","","","","","","","","","","","","","","","","","","",
"265632718794","ZX9JESC5547","","Bulbs","","","GorgeousGlow","","","","","","","","","","","","","","","","Linear","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","GO1584811","","","","","","","","","","","","","","","","","","","","","","","","",
"255476817589","ZX9JESC5585","","Bulbs","","","GorgeousGlow","","","","","","","","","","","","","","","","Linear","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","GO1578843","","","","","","","","","","","","","","","","","","","","","","","","",
"255474965759","ACHR158251","Light","Bulbs","","","Feit Electric","","","","Feit Electric","","","","","","","","","","","Electric","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3009483","","","","","","","","","","","","","","","","","","","","","","","","",
"255543064814","TRVAL107028","Light","Bulbs","","Bronze","Globe Electric","","","","Globe Electric","","","Globe","5","5","5","","5","","","Electric","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","222282","","","","","","","","","","","","","","","","","","","","","","","","",
"265634146585","ACHR147730","","Bulbs","Recessed","Aluminum","Globe Electric","White","White","White","Globe Electric","White","","Globe","6","6","6","","6","","","Electric","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","3001861","","","","","","","","","","","","","","","","","","","","","","","","",
"255471754066","ZX9TRVAL63363","","Bulbs","","","SuperShine","","","","","","","","4","4","4","","4","","","","","","","","","","","","","","","T5","","","","","","","","","","","","","","","","","","SU137673","","","","","","","","","","","","","","","","","","","","","","","","",
"255471748606","JESC5547","","Bulbs","","","Jesco Lighting","","","","","","","","","","","","","","","","Linear","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","DL-RS-36-RGB-C","","","","","","","","","","","","","","","","","","","","","","","","",
"255476758275","JESC5580","","Bulbs","","","Jesco Lighting","","","","","","","","","","","","","","","","Linear","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","DL-RS-48-27-C","","","","","","","","","","","","","","","","","","","","","","","","",
"255476792276","JESC5583","","Bulbs","","","Jesco Lighting","","","","","","","","","","","","","","","","Linear","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","DL-RS-48-60-C","","","","","","","","","","","","","","","","","","","","","","","","",
"255476837894","JESC5585","","Bulbs","","","Jesco Lighting","","","","","","","","","","","","","","","","Linear","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","DL-RS-48-G-C","","","","","","","","","","","","","","","","","","","","","","","","",
"255476836555","JESC9193","","Bulbs","","Silver","Jesco Lighting","Black","Black","Black","","Black","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MG1650-5LESB","","","","","","","","","","","","","","","","","","","","","","","","",
"265629945756","JESC9196","","Bulbs","Recessed","Metal","Jesco Lighting","","","","","","","","","","","","","","","","Linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MGMH2020-2EWB","","","","","","","","","","","","","","","","","","","","","","","","",
"265632708877","ACHR157662","","Bulbs","","","Satco Nuvo","","","","","","","","","","","","","","","","","","LED","","","","","","","","","T8","","","","","","","","","","","","","","","","","","3008609","","","","","","","","","","","","","","","","","","","","","","","","",
"265629953510","ACHR157661","","Bulbs","","","Satco Nuvo","","","","","","","","","","","","","","","","","","LED","","","","","","","","","T8","","","","","","","","","","","","","","","","","","3008626","","","","","","","","","","","","","","","","","","","","","","","","",
