Item Id,SKU,For,Brand,Type,Form,Number in Pack,Features,Scent,Item Weight,Capacity,Personalize,Country/Region of Manufacture,MPN,Bundle Description,California Prop 65 Warning,Custom Bundle,Item Height,Item Length,Item Width,Labels & Certifications,Theme,Volume,Personalization Instructions,
"254726244135","302028","Kitchen","Generic","Does Not Apply","Liquid","2","","Fresh Scent","","","","","Boulder-Clean-Sanitizer-Disinfectant-Cl","","","","","","","","","","",
"264873500371","302027","Kitchen","Generic","Does Not Apply","Liquid","1","","Fresh Scent","","","","","Boulder-Clean-Sanitizer-Disinfectant-Cl","","","No","","","","","","","",
"264926083143","304936","","Clorox","All-Purpose","Spray","2","","","","","","","Cleaner-+-Bleach-Original","","","","","","","","","","",
"254750336069","304811","","Clorox","All-Purpose","Spray","","","","","","","","Clean-Up-Cleaner-+-Bleach-Original","","","","","","","","","","",
"264842991110","301947","Bathroom","Clorox","Bleach","Concentrate","2","","Scent Free","11 oz","","","","Clorox Disinfecting Bleach","","","No","","","","","","","",
"254698884225","301948","Bathroom","Clorox","Bleach","Concentrate","1","","Scent Free","11 oz","11 oz","","","Clorox Disinfecting Bleach","","","No","","","","","","","",
"264901190356","304812","","Comet","All-Purpose","Spray","2","","","","","","","Classic-Antibacterial-Spray-Cleaner","","","","","","","","","","",
"264819788511","299043","Bathroom","LA's Totally Awesome","All-Purpose","Concentrate","2","","","32 oz","","","","AX-AY-ABHI-43146","","","","","","","","","","",
"254739704563","304499","","LA's Totally Awesome","All-Purpose","","","","","","","","","Cleaner-with-Bleach","","","","","","","","","","",
"264843066481","301950","Bathroom,Cook Top","LA's Totally Awesome","Bleach","Liquid","2","Spray","Fresh Scent","","","","","Cleaner-with-Bleach","","","","","","","","","","",
"264887900998","304498","","LA's Totally Awesome","All-Purpose","","","","","","","","","Cleaner-with-Bleach","","","","","","","","","","",
"254698981135","301949","","LA's Totally Awesome","All-Purpose","","40","","","","","","","Cleaner-with-Bleach","","","","","","","","","","",
"264819788626","299044","","Pine Glo","All-Purpose","","2","","Pine","","","","","Anti-Bacterial-Disinfectant","","","","","","","","","","",
"254677436539","299045","","Pine Glo","All-Purpose","","2","","Pine","","","","","Anti-Bacterial-Disinfectant","","","","","","","","","","",
