Item Id,SKU,Dog Size,Type,Dog Breed,Brand,Theme,Features,Material,Color,Personalize,Custom Bundle,Model,Bundle Description,MPN,Modified Item,Modification Description,Country/Region of Manufacture,California Prop 65 Warning,Personalization Instructions,
"255461965489","PTLF1337","","Pet Clothing & Accessories","","Command","","","","","","","","","JKHL8BKXS","","","","","",
"265620557116","PTLF2997","","Pet Clothing & Accessories","","Dog Helios","","","","","","","","","HA18LBMD","","","","","",
"265620549886","PTLF2889","","Pet Clothing & Accessories","","Dog Helios","","","","","","","","","HA18LBXL","","","","","",
"265620560983","PTLF2994","","Pet Clothing & Accessories","","Dog Helios","","","","","","","","","HA18ORLG","","","","","",
"255461974733","PTLF2993","","Pet Clothing & Accessories","","Dog Helios","","","","","","","","","HA18ORMD","","","","","",
"265620561909","PTLF2990","","Pet Clothing & Accessories","","Dog Helios","","","","","","","","","HA18PKLG","","","","","",
"255461985236","PTLF2499","","Pet Clothing & Accessories","","Dog Helios","","","","Black","","","","","JKHL10BKLG","","","","","",
"255461960079","PTLF2498","","Pet Clothing & Accessories","","Dog Helios","","","","Black","","","","","JKHL10BKMD","","","","","",
"265620571684","PTLF2500","","Pet Clothing & Accessories","","Dog Helios","","","","Black","","","","","JKHL10BKXL","","","","","",
"265620538042","PTLF3584","","Pet Clothing & Accessories","","Dog Helios","","Waterproof","","","","","","","JKHL12BLSM","","","","","",
"265620562413","PTLF2858","","Pet Clothing & Accessories","","Dog Helios","","Waterproof","","","","","","","JKHL12GYSM","","","","","",
"255461972238","PTLF2861","","Pet Clothing & Accessories","","Dog Helios","","Waterproof","","","","","","","JKHL12GYXL","","","","","",
"265620565054","PTLF2857","","Pet Clothing & Accessories","","Dog Helios","","Waterproof","","","","","","","JKHL12GYXS","","","","","",
"255461983703","PTLF2854","","Pet Clothing & Accessories","","Dog Helios","","Waterproof","","","","","","","JKHL12RDMD","","","","","",
"255461985595","PTLF2853","","Pet Clothing & Accessories","","Dog Helios","","Waterproof","","","","","","","JKHL12RDSM","","","","","",
"255461995527","PTLF2856","","Pet Clothing & Accessories","","Dog Helios","","Waterproof","","","","","","","JKHL12RDXL","","","","","",
"265620569199","PTLF3589","","Pet Clothing & Accessories","","Dog Helios","","Waterproof","","","","","","","JKHL12TNSM","","","","","",
"255461997343","PTLF3646","","Pet Clothing & Accessories","","Dog Helios","","","","","","","","","JKHL14BLLG","","","","","",
"265620566723","PTLF3647","","Pet Clothing & Accessories","","Dog Helios","","","","","","","","","JKHL14BLXL","","","","","",
"255461997308","PTLF3641","","Pet Clothing & Accessories","","Dog Helios","","","","","","","","","JKHL14RDLG","","","","","",
"265620566952","PTLF3640","","Pet Clothing & Accessories","","Dog Helios","","","","","","","","","JKHL14RDMD","","","","","",
"265620559590","PTLF3626","","Pet Clothing & Accessories","","Dog Helios","","","","","","","","","JKHL16BKLG","","","","","",
"265620539501","PTLF3627","","Pet Clothing & Accessories","","Dog Helios","","","","","","","","","JKHL16BKXL","","","","","",
"255461984429","PTLF3631","","Pet Clothing & Accessories","","Dog Helios","","","","","","","","","JKHL16BLLG","","","","","",
"255461987438","PTLF3632","","Pet Clothing & Accessories","","Dog Helios","","","","","","","","","JKHL16BLXL","","","","","",
"255461995634","PTLF3621","","Pet Clothing & Accessories","","Dog Helios","","","","","","","","","JKHL16ORLG","","","","","",
"255461977330","GVDS470","","Pet Clothing & Accessories","","Garmin","","","","","","","","","GarLRAnt","","","","","",
"265620557022","SWDMR393","","Pet Clothing & Accessories","","Onyx Outdoors","","","","","","","","","ONX1004002416","","","","","",
"264712114910","250019-7","","","","Unbranded","","","Cotton","","","","","","","","","","","",
"255461975853","PTLF2902","","Pet Clothing & Accessories","","Touchdog","","","","","","","","","JB1NVLG","","","","","",
"255461976618","PTLF2890","","Pet Clothing & Accessories","","Touchdog","","","","","","","","","JB1RDXS","","","","","",
"265620556495","PTLF2907","","Pet Clothing & Accessories","","Touchdog","","","","","","","","","JB2GYBLG","","","","","",
"255461977885","PTLF2912","","Pet Clothing & Accessories","","Touchdog","","","","","","","","","JB4DGLG","","","","","",
"255461976288","PTLF2911","","Pet Clothing & Accessories","","Touchdog","","","","","","","","","JB4DGMD","","","","","",
"255461977111","PTLF2910","","Pet Clothing & Accessories","","Touchdog","","","","","","","","","JB4DGSM","","","","","",
"265620565750","PTLF2909","","Pet Clothing & Accessories","","Touchdog","","","","","","","","","JB4DGXS","","","","","",
"265620543420","PTLF2922","","Pet Clothing & Accessories","","Touchdog","","","","","","","","","JB4GNLG","","","","","",
"255461973726","PTLF2921","","Pet Clothing & Accessories","","Touchdog","","","","","","","","","JB4GNMD","","","","","",
"255461978141","PTLF2919","","Pet Clothing & Accessories","","Touchdog","","","","","","","","","JB4GNXS","","","","","",
