Item Id,SKU,Material,Mounting,Style,Features,Color,Brand,Type,Hook Style,Number of Shelves,Number of Hooks,Finish,Country/Region of Manufacture,Department,Year Manufactured,Assembly Required,Personalized,Required Tools,Original/Reproduction,Item Height,Item Length,Item Width,Item Weight,MPN,Model,Bundle Description,California Prop 65 Warning,Care Instructions,Custom Bundle,Manufacturer Warranty,
"265884222687","ZX9TRPR087","Metal","","","","Black","BluePrints","Storage","","2","","","","","","","","","","","","","","BL2501201","","","","","","",
"265897076462","ZX9ORE2704","","","","","","ComfyCushions","Storage","","3","","","","","","","","","","","","","","CO2629466","","","","","","",
"255513433314","ZX9AZRQRT20404","Steel","","","Standalone","Black","StandAlone","Storage","","","","Powder Coat","","","","","","","","","","","","ST40983","","","","","","",
"265665348573","ZX9WYBN751","","","","","","Work-of-Art","Storage","","","","","","","","","","","","","","","","WO874392","","","","","","",
"265897060365","ZX9OCNTR27723","Metal","","","","Black","PalaceDesigns","Storage","","","","","","","","","","","","","","","","PA2627140","","","","","","",
"255728826988","ZX9OCNTR52894","","","","","Gold","PalaceDesigns","Storage","","","","","","","","","","","","","","","","PA2627719","","","","","","",
"255524192049","Alba039","Beech","","","","","Alba","Storage","","","","","","","","","","","","","","","","PMCAFEC","","","","","","",
"255725237849","Alba026","","","","","Black","Alba","Storage","","5","","","","","","","","","","","","","","PMFESTYN","","","","","","",
"265887824963","ZX9BORM33703","","","","","","PerfectPillows","Storage","","","","","","","","","","","","","","","","PE1694072","","","","","","",
"265897108023","ZX9SPIHM266","","","","","","Ricki&apos;s Rugs","Storage","","","","","","","","","","","","","","","","RI2488200","","","","","","",
"265690537453","BORM33702","","","","","","Boraam","Storage","","","","","","","","","","","","","","","","19016","","","","","","",
"265887865471","BORM33703","","","","","","Boraam","Storage","","","","","","","","","","","","","","","","19017","","","","","","",
"255534550302","BORM33704","","","","","","Boraam","Storage","","","","","","","","","","","","","","","","19018","","","","","","",
"255737989484","ZX9Alba039","Beech","","","","","Homeric","Storage","","","","","","","","","","","","","","","","HO2190801","","","","","","",
"265684680460","ZX9Alba038","","","","","Brown","Homeric","Storage","","","","","","","","","","","","","","","","HO3878","","","","","","",
"265674185706","ZX9BORM33704","","","","","","PerfectPillows","Storage","","","","","","","","","","","","","","","","PE1700728","","","","","","",
"265897242864","ZX9BORM33702","","","","","","PerfectPillows","Storage","","","","","","","","","","","","","","","","PE2192257","","","","","","",
"255737896207","ZX9IFD903","","","","Standalone","","StandAlone","Storage","","","","","","","","","","","","","","","","ST2589357","","","","","","",
"255725235187","ZX9Alba026","","","","","Black","Homeric","Storage","","5","","","","","","","","","","","","","","HO2518782","","","","","","",
"255725084341","ZX9MBRLL304","","","","","Black","Micasa","Storage","","","","","","","","","","","","","","","","MI1596966","","","","","","",
"255737848666","ZX9MBRLL648","","","","","","Micasa","Storage","","","","","","","","","","","","","","","","MI2611219","","","","","","",
"255737882848","OCNTR27702","Wood","","Traditional","","","HomeRoots","Storage","","","","","","","","","","","","","","","","332675","","","","","","",
"265896960427","OCNTR27703","Oak","","Traditional","","","HomeRoots","Storage","","","","","","","","","","","","","","","","332676","","","","","","",
"265887712026","OCNTR27704","Wood","","Antique","","White","HomeRoots","Storage","","","","","","","","","","","","","","","","332677","","","","","","",
"265883894086","OCNTR27723","Metal","","","","Black","HomeRoots","Storage","","","","","","","","","","","","","","","","332696","","","","","","",
"255725219851","OCNTR35045","","","","","","HomeRoots","Storage","","","","","","","","","","","","","","","","372950","","","","","","",
"255737664667","OCNTR35020","","","","","","HomeRoots","Storage","","","","","","","","","","","","","","","","372978","","","","","","",
"255728667840","OCNTR35019","","","","","","HomeRoots","Storage","","","","","","","","","","","","","","","","372979","","","","","","",
"255728648219","OCNTR52885","","","","","","HomeRoots","Storage","","","","","","","","","","","","","","","","389238","","","","","","",
"255725290152","OCNTR52894","","","","","Gold","HomeRoots","Storage","","","","","","","","","","","","","","","","389248","","","","","","",
"265887819536","OCNTR52897","","","","","Black","HomeRoots","Storage","","","","","","","","","","","","","","","","389251","","","","","","",
"265884028087","OCNTR52898","Wood","","","","Black","HomeRoots","Storage","","","","","","","","","","","","","","","","389252","","","","","","",
"265896860934","OCNTR52900","","","","","Silver","HomeRoots","Storage","","","","","","","","","","","","","","","","389254","","","","","","",
"265887527044","OCNTR56225","","Hanging","","","White","HomeRoots","Storage","","","","","","","","","","","","","","","","397661","","","","","","",
"265897138018","OCNTR58024","","Hanging","","","Green","HomeRoots","Storage","","","","","","","","","","","","","","","","397674","","","","","","",
"265896992575","OCNTR58025","Wood","","","","Black","HomeRoots","Storage","","","","","","","","","","","","","","","","397675","","","","","","",
"255728557394","OCNTR58026","","","","","Black","HomeRoots","Storage","","","","","","","","","","","","","","","","397676","","","","","","",
"255737946278","OCNTR58027","Wood","","","","Yellow","HomeRoots","Storage","","","","","","","","","","","","","","","","397677","","","","","","",
"255737771174","OCNTR58028","","","","","Black","HomeRoots","Storage","","","","","","","","","","","","","","","","397678","","","","","","",
"255725082807","OCNTR58029","Mahogany","","","","Brown","HomeRoots","Storage","","","","","","","","","","","","","","","","397679","","","","","","",
"265896950926","OCNTR58032","Wood","Hanging","","","White","HomeRoots","Storage","","","","","","","","","","","","","","","","397682","","","","","","",
"265887769433","OCNTR58038","Wood","","","","","HomeRoots","Storage","","","","","","","","","","","","","","","","397688","","","","","","",
"265887592551","OCNTR58039","","","","","Green","HomeRoots","Storage","","","","","","","","","","","","","","","","397689","","","","","","",
"265897059275","OCNTR58040","Wood","","","","Black","HomeRoots","Storage","","","","","","","","","","","","","","","","397690","","","","","","",
"265887760730","OCNTR58041","","","","","Black","HomeRoots","Storage","","","","","","","","","","","","","","","","397691","","","","","","",
"265887519345","OCNTR58042","","","","","Black","HomeRoots","Storage","","","","","","","","","","","","","","","","397692","","","","","","",
"265887630418","OCNTR58043","Mahogany","","","","Brown","HomeRoots","Storage","","","","","","","","","","","","","","","","397693","","","","","","",
"255737947828","OCNTR58044","","Hanging","","","Gray","HomeRoots","Storage","","","","","","","","","","","","","","","","397694","","","","","","",
"255728714030","OCNTR58046","Wood","","Traditional","","White","HomeRoots","Storage","","","","","","","","","","","","","","","","397696","","","","","","",
"265887607801","OCNTR58047","Wood","","","","","HomeRoots","Storage","","","","","","","","","","","","","","","","397697","","","","","","",
"255728937614","OCNTR58062","Wood","","","","Brown","HomeRoots","Storage","","","","","","","","","","","","","","","","397712","","","","","","",
"265897222642","OCNTR58063","Teak","Hanging","","","Brown","HomeRoots","Storage","","","","","","","","","","","","","","","","397713","","","","","","",
"265887840841","OCNTR58078","Wood","","","","White","HomeRoots","Storage","","","","","","","","","","","","","","","","397776","","","","","","",
"255728726350","OCNTR58079","","Hanging","","","Green","HomeRoots","Storage","","","","","","","","","","","","","","","","397777","","","","","","",
"265897074659","OCNTR58080","Wood","Hanging","","","Black","HomeRoots","Storage","","","","","","","","","","","","","","","","397778","","","","","","",
"265897237772","OCNTR58081","","","","","Black","HomeRoots","Storage","","","","","","","","","","","","","","","","397779","","","","","","",
"255728877899","IFD903","","","","","","Inroom Furniture Design","Storage","","","","","","","","","","","","","","","","CR1432","","","","","","",
"255518128462","KLKL426","Metal","","","","","Kalalou","Storage","","","","","","","","","","","","","","","","CQ7151","","","","","","",
"255513382537","ORE2704","","","","","","Ore Furniture","Storage","","3","","","","","","","","","","","","","","FW1275W","","","","","","",
"255513574439","AZRQRT20404","Steel","","","","Black","Quartet","Storage","","","","Powder Coat","","","","","","","","","","","","20404","","","","","","",
"265695189709","TRPR1252","Metal","","","","Black","Tripar","Storage","","","","","","","","","","","","","","","","20544","","","","","","",
"265673923460","TRPR087","Metal","","","","Black","Tripar","Storage","","2","","","","","","","","","","","","","","35995","","","","","","",
"255528760367","TRPR1264","Metal","","","","White","Tripar International","Storage","","","","","","","","","","","","","","","","20584","","","","","","",
"265884163402","MBRLL1063","","","","","White","Umbra","Storage","","","","","","","","","","","","","","","","1014257-668","","","","","","",
"265896973267","MBRLL304","","","","","Black","Umbra","Storage","","","","","","","","","","","","","","","","320361-048","","","","","","",
"265887764151","MBRLL224","Wood","","","","White","Umbra","Storage","","","","","","","","","","","","","","","","320361-668","","","","","","",
"255737945315","MBRLL648","","","","","","Umbra","Storage","","","","","","","","","","","","","","","","320361-918","","","","","","",
"265684851999","WYBN751","","","","","","Wayborn Furniture","Storage","","","","","","","","","","","","","","","","9019","","","","","","",
