Item Id,SKU,Brand,Type,Outer Shell Material,Size,Style,Size Type,Fabric Type,Theme,Color,Accents,Features,Lining Material,Pattern,Department,Insulation Material,Jacket/Coat Length,Season,Character,Closure,Model,Occasion,Country/Region of Manufacture,Sleeve Length,Fit,Vintage,Personalize,Handmade,Garment Care,California Prop 65 Warning,MPN,Personalization Instructions,
"255843788536","308255","Unbranded","Coat","Faux Fur","S,M,L,XL,","Teddy Jacket","Regular","Sherpa","winter teddy","Brown","No zip teddy","Hooded,Lightweight,Open,Pockets","Polyester","Solid","Women","Polyester","Short","Winter","Urban Fashion","Open","Teddy Coat","Casual","Unknown","Long Sleeve","Regular","No","No","No","Machine Washable","","Does not apply","",
"265979881538","308620","Unbranded","Coat","Polyester","Variants","Overcoat","Regular","faux fur","cow","Black","Fur Trim","Pockets","Polyester","cow animal print","Women","Polyester","Short","Autumn","Cowgirl","Zip","animal print jackets","Business,Casual,Formal,Party/Cocktail,Travel","China","Long Sleeve","Classic","No","No","No","Hand Wash","","cow-print-jacket-black","",
"255796731299","308437","Unbranded","Coat","Polyester","Variants","Overcoat","Regular","faux fur","cow","white brown","Fur Trim","Pockets","Polyester","cow animal print","Women","Polyester","Short","Autumn","Cowgirl","Zip","animal print jackets","Other,Travel,Back To The Basics","","Long Sleeve","Classic","No","No","No","Hand Wash","","cow-print-jacket-brown","",
"255874344163","308620","Unbranded","Jacket","Polyester","Variants","Basic Jacket","Regular","faux fur","cow","Black","Fur Trim","Pockets","Polyester","Cow Print","Women","Polyester","Short","Spring","Cowgirl","Zip","animal print jackets","Business,Casual,Formal,Party/Cocktail,Travel","China","Long Sleeve","Classic","No","No","No","Hand Wash","","cow-print-jacket-black","",
"264681473601","117022","Giovanni Navarre","Jacket","Faux Leather",,"Night Out Jacket","Regular","Faux Leather","studded","Black","Studded,Zipper","Collared,Lined,Pockets","Polyester","Solid","Women","Polyester","26.5","Fall,Spring,Winter","Ladies Jacket","Zip","Studded Jacket","Party/Cocktail","","","Regular","No","","","","","","",
"264681473601","116045",,,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264681473601","116044",,,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264681473601","116043",,,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264681473601","116042",,,,"2X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254553412292","118131","Giovanni Navarre","Vest","Faux Leather",,"Fashion Jacket","Regular","Faux Leather","Studded Vest","Black","Studded","All Seasons,Pockets,Full Zip","Polyester","Solid","Women","Polyester","Short","Fall,Spring,Winter","Fashion Jacket","Zip","","Casual","","","Regular","","","","","","","",
"254553412292","116293",,,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254553412292","116292",,,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254553412292","116291",,,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,
