Item Id,SKU,Brand,Type,Suitable For,Features,Items included,Number of Batteries,Number of User Codes,Number in Pack,Material,Shape,Color,Mounting,Battery Size,Finish,Extension Length,Closing Type,Item Width,Center-to-Center Measurement,Battery Required,Fixings Supplied,Item Height,Item Length,Item Depth,Country/Region of Manufacture,Item Diameter,Door Handing,Smart Home Compatibility,Smart Home Protocol,Load Capacity,Core Type,MPN,Model,ANSI Grade,Bundle Description,California Prop 65 Warning,Custom Bundle,Item Weight,Manufacturer Warranty,
"265634273346","HMREX28004","HardwareExpress","Furniture & Decor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101529","","","","","","","",
"255488716513","ZX9TPNTD239752","OpenSkies","Furniture & Decor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","OP1633664","","","","","","","",
"255483893918","ZX9TPNTD229537","GrillsGoneWild","Furniture & Decor","","","","","","","Stainless Steel","","","","","Satin","","","","","","","","","","","","","","","","","GR2177957","","","","","","","",
"265639679476","ZX9TPNTD229555","GrillsGoneWild","Furniture & Decor","","","","","","","Stainless Steel","","","","","Satin","","","","","","","","","","","","","","","","","GR2062668","","","","","","","",
"255483785150","ZX9TPNTD229532","GrillsGoneWild","Furniture & Decor","","","","","","","Bronze","","","","","Bronze","","","","","","","","","","","","","","","","","GR2046357","","","","","","","",
"255483659220","ZX9TPNTD229534","GrillsGoneWild","Furniture & Decor","","","","","","","Stainless Steel","","","","","Satin","","","","","","","","","","","","","","","","","GR2001616","","","","","","","",
"265639516202","ZX9TPNTD229531","GrillsGoneWild","Furniture & Decor","","","","","","","Stainless Steel","","","","","Satin","","","","","","","","","","","","","","","","","GR2177956","","","","","","","",
"265644528721","ZX9TPNTD229529","GrillsGoneWild","Furniture & Decor","","","","","","","Stainless Steel","","","","","Satin","","","","","","","","","","","","","","","","","GR1631434","","","","","","","",
"255488846390","ZX9TPNTD229502","GrillsGoneWild","Furniture & Decor","","","","","","","Stainless Steel","","","","","Satin","","","","","","","","","","","","","","","","","GR1635096","","","","","","","",
"265639781463","ZX9TPNTD237043","Parche","Furniture & Decor","","","","","","","","","","","D","Satin","","","","","","","","","","","","","","","","","PA2063924","","","","","","","",
"255488762880","ZX9TPNTD237060","Parche","Furniture & Decor","","","","7","7","7","","","","","D","","","","","","","","","","","","","","","","","","PA2054395","","","","","","","",
"265634283386","ZX9TPNTD237162","Parche","Furniture & Decor","","","","7","7","7","","","","","D","","","","","","","","","","","","","","","","","","PA2046436","","","","","","","",
"255488797770","ZX9TPNTD237068","Parche","Furniture & Decor","","","","7","7","7","","","","","C","","","","","","","","","","","","","","","","","","PA2155509","","","","","","","",
"265634284754","ZX9TPNTD237088","Parche","Furniture & Decor","","","","7","7","7","","","","","D","","","","","","","","","","","","","","","","","","PA2063926","","","","","","","",
"265634280496","ZX9TPNTD237163","Parche","Furniture & Decor","","","","7","7","7","","","","","D","","","","","","","","","","","","","","","","","","PA2155510","","","","","","","",
"265644629899","ZX9TPNTD237069","Parche","Furniture & Decor","","","","","","","","","","","D","Satin","","","","","","","","","","","","","","","","","PA2063925","","","","","","","",
"255488716735","ZX9TPNTD237083","Parche","Furniture & Decor","","","","7","7","7","","","","","C","","","","","","","","","","","","","","","","","","PA2178013","","","","","","","",
