Item Id,SKU,Sink Type,Installation Type,Number of Compartments,Number of Drainboards,Brand,Bowl Depth,Gauge,Length,Features,Width,Model,MPN,Custom Bundle,Bundle Description,Modified Item,Modification Description,Drainboard Length,Bowl Front to Back,Bowl Left to Right,California Prop 65 Warning,Country/Region of Manufacture,
"255463132064","RTL106549","","","","","Premier Copper Products","","","","","","","BS15EN2","","","","","","","","","",
"265621773512","MYRD1888653","","","","","American Brass","","","","","","","AMBAB9000RK-A","","","","","","","","","",
"255463124585","MCMG10560","","","","","American Imaginations","","","","","","","AI-34440","","","","","","","","","",
"255463161203","MCMG10894","","","","","American Imaginations","","","","","","","AI-34617","","","","","","","","","",
"265621794513","MCMG10896","","","","","American Imaginations","","","","","","","AI-34619","","","","","","","","","",
"265621784093","MCMG10905","","","","","American Imaginations","","","","","","","AI-34628","","","","","","","","","",
"265621759134","MCMG10909","","","","","American Imaginations","","","","","","","AI-34632","","","","","","","","","",
"265621781614","MCMG10919","","","","","American Imaginations","","","","","","","AI-34642","","","","","","","","","",
"255463151290","MCMG10921","","","","","American Imaginations","","","","","","","AI-34644","","","","","","","","","",
"255463153320","MCMG10922","","","","","American Imaginations","","","","","","","AI-34645","","","","","","","","","",
"255463129957","MCMG10926","","","","","American Imaginations","","","","","","","AI-34649","","","","","","","","","",
"255463132355","MCMG10934","","","","","American Imaginations","","","","","","","AI-34657","","","","","","","","","",
"265621769197","MCMG10935","","","","","American Imaginations","","","","","","","AI-34658","","","","","","","","","",
"265621754931","MCMG10936","","","","","American Imaginations","","","","","","","AI-34659","","","","","","","","","",
"265621767847","MCMG10940","","","","","American Imaginations","","","","","","","AI-34663","","","","","","","","","",
"265621768096","MCMG10942","","","","","American Imaginations","","","","","","","AI-34665","","","","","","","","","",
"255463128491","MCMG10944","","","","","American Imaginations","","","","","","","AI-34667","","","","","","","","","",
"255463121727","MCMG10945","","","","","American Imaginations","","","","","","","AI-34668","","","","","","","","","",
"255463134465","MCMG10946","","","","","American Imaginations","","","","","","","AI-34669","","","","","","","","","",
"255463130108","MCMG10952","","","","","American Imaginations","","","","","","","AI-34675","","","","","","","","","",
"265621754746","MCMG10953","","","","","American Imaginations","","","","","","","AI-34676","","","","","","","","","",
"255463115210","MCMG10956","","","","","American Imaginations","","","","","","","AI-34679","","","","","","","","","",
"265621759672","MCMG10961","","","","","American Imaginations","","","","","","","AI-34684","","","","","","","","","",
"255463114358","MCMG10964","","","","","American Imaginations","","","","","","","AI-34687","","","","","","","","","",
"255463161287","MCMG10971","","","","","American Imaginations","","","","","","","AI-34694","","","","","","","","","",
"265621778001","MCMG10972","","","","","American Imaginations","","","","","","","AI-34695","","","","","","","","","",
"255463120344","MCMG10974","","","","","American Imaginations","","","","","","","AI-34697","","","","","","","","","",
"255463144814","MCMG10977","","","","","American Imaginations","","","","","","","AI-34700","","","","","","","","","",
"255463102553","MCMG10978","","","","","American Imaginations","","","","","","","AI-34701","","","","","","","","","",
"265621819665","MCMG10979","","","","","American Imaginations","","","","","","","AI-34702","","","","","","","","","",
"255463137398","MCMG10985","","","","","American Imaginations","","","","","","","AI-34708","","","","","","","","","",
"265621787689","MCMG10987","","","","","American Imaginations","","","","","","","AI-34710","","","","","","","","","",
"265621769905","MCMG10988","","","","","American Imaginations","","","","","","","AI-34711","","","","","","","","","",
"265621775460","MCMG10993","","","","","American Imaginations","","","","","","","AI-34716","","","","","","","","","",
"265621786422","MCMG10994","","","","","American Imaginations","","","","","","","AI-34717","","","","","","","","","",
"265621817882","MCMG10997","","","","","American Imaginations","","","","","","","AI-34720","","","","","","","","","",
"265621760884","MCMG10998","","","","","American Imaginations","","","","","","","AI-34721","","","","","","","","","",
"255463131864","MCMG10999","","","","","American Imaginations","","","","","","","AI-34722","","","","","","","","","",
"255463121443","MCMG11004","","","","","American Imaginations","","","","","","","AI-34727","","","","","","","","","",
"265621791094","MCMG11011","","","","","American Imaginations","","","","","","","AI-34734","","","","","","","","","",
"265621756398","MCMG11012","","","","","American Imaginations","","","","","","","AI-34735","","","","","","","","","",
"255463160323","MCMG11013","","","","","American Imaginations","","","","","","","AI-34736","","","","","","","","","",
"255463103690","MCMG11018","","","","","American Imaginations","","","","","","","AI-34741","","","","","","","","","",
"265621767019","MCMG11019","","","","","American Imaginations","","","","","","","AI-34742","","","","","","","","","",
"255463117667","MCMG11026","","","","","American Imaginations","","","","","","","AI-34749","","","","","","","","","",
"265621807606","MCMG11029","","","","","American Imaginations","","","","","","","AI-34752","","","","","","","","","",
"255463160102","MCMG11033","","","","","American Imaginations","","","","","","","AI-34756","","","","","","","","","",
"255463137476","MCMG11036","","","","","American Imaginations","","","","","","","AI-34759","","","","","","","","","",
"265621776170","MCMG11041","","","","","American Imaginations","","","","","","","AI-34764","","","","","","","","","",
"255463147914","MCMG11046","","","","","American Imaginations","","","","","","","AI-34769","","","","","","","","","",
"255463152541","MCMG10640","","","","","American Imaginations","","","","","","","AI-34771","","","","","","","","","",
"265621778673","MCMG10642","","","","","American Imaginations","","","","","","","AI-34773","","","","","","","","","",
"255463107022","MCMG10644","","","","","American Imaginations","","","","","","","AI-34775","","","","","","","","","",
"255463116234","MCMG10646","","","","","American Imaginations","","","","","","","AI-34777","","","","","","","","","",
"265621772835","MCMG10648","","","","","American Imaginations","","","","","","","AI-34779","","","","","","","","","",
"265621792674","MCMG10649","","","","","American Imaginations","","","","","","","AI-34780","","","","","","","","","",
"255463102404","MCMG10650","","","","","American Imaginations","","","","","","","AI-34781","","","","","","","","","",
"255463137844","MCMG10651","","","","","American Imaginations","","","","","","","AI-34782","","","","","","","","","",
"265621767557","MCMG10652","","","","","American Imaginations","","","","","","","AI-34783","","","","","","","","","",
"265621790179","MCMG10655","","","","","American Imaginations","","","","","","","AI-34786","","","","","","","","","",
"255463120404","MCMG10656","","","","","American Imaginations","","","","","","","AI-34787","","","","","","","","","",
"255463101555","MCMG10662","","","","","American Imaginations","","","","","","","AI-34793","","","","","","","","","",
"265621819867","MCMG10663","","","","","American Imaginations","","","","","","","AI-34794","","","","","","","","","",
"255463161852","MCMG10670","","","","","American Imaginations","","","","","","","AI-34801","","","","","","","","","",
"255463151214","MCMG10672","","","","","American Imaginations","","","","","","","AI-34803","","","","","","","","","",
"265621769050","MCMG10676","","","","","American Imaginations","","","","","","","AI-34807","","","","","","","","","",
"265621763321","MCMG10680","","","","","American Imaginations","","","","","","","AI-34811","","","","","","","","","",
"265621778597","MCMG10687","","","","","American Imaginations","","","","","","","AI-34818","","","","","","","","","",
"265621782273","MCMG10688","","","","","American Imaginations","","","","","","","AI-34819","","","","","","","","","",
"255463138838","MCMG10694","","","","","American Imaginations","","","","","","","AI-34825","","","","","","","","","",
"265621753572","MCMG10695","","","","","American Imaginations","","","","","","","AI-34826","","","","","","","","","",
"255463153124","MCMG10696","","","","","American Imaginations","","","","","","","AI-34827","","","","","","","","","",
"265621771224","MCMG10739","","","","","American Imaginations","","","","","","","AI-34834","","","","","","","","","",
"265621773606","MCMG10741","","","","","American Imaginations","","","","","","","AI-34836","","","","","","","","","",
"255463103617","MCMG10742","","","","","American Imaginations","","","","","","","AI-34837","","","","","","","","","",
"265621766484","MCMG10745","","","","","American Imaginations","","","","","","","AI-34840","","","","","","","","","",
"255463119222","MCMG10746","","","","","American Imaginations","","","","","","","AI-34841","","","","","","","","","",
"255463160526","MCMG10747","","","","","American Imaginations","","","","","","","AI-34842","","","","","","","","","",
"265621795704","MCMG10748","","","","","American Imaginations","","","","","","","AI-34843","","","","","","","","","",
"255463121871","MCMG10752","","","","","American Imaginations","","","","","","","AI-34847","","","","","","","","","",
"265621761006","MCMG10758","","","","","American Imaginations","","","","","","","AI-34853","","","","","","","","","",
"265621771121","MCMG10759","","","","","American Imaginations","","","","","","","AI-34854","","","","","","","","","",
"265621774087","MCMG10761","","","","","American Imaginations","","","","","","","AI-34856","","","","","","","","","",
"265621786689","MCMG10762","","","","","American Imaginations","","","","","","","AI-34857","","","","","","","","","",
"255463118288","MCMG10764","","","","","American Imaginations","","","","","","","AI-34859","","","","","","","","","",
"265621786789","MCMG10767","","","","","American Imaginations","","","","","","","AI-34862","","","","","","","","","",
"255463137782","MCMG10777","","","","","American Imaginations","","","","","","","AI-34872","","","","","","","","","",
"255463145798","MCMG10779","","","","","American Imaginations","","","","","","","AI-34874","","","","","","","","","",
"265621757555","MCMG6998","","","","","American Imaginations","","","","","","","AI-542","","","","","","","","","",
"265621760468","ZX9AFSP22161","","","","","FoodFirst","","","","","","","FO1497501","","","","","","","","","",
"255463132255","HMW617904","","","","","Elkay","","18 gauge","","","","","ECTSRAD25226TBG1","","","","","","","","","",
"255463152131","HMW617919","","","","","Elkay","","16 gauge","","","","","EFRU311610TC","","","","","","","","","",
"255463137023","AFSP13010","","","","","Elkay","","","","","","","LK1141A","","","","","","","","","",
"255471169897","HMW616952","","","","","Geberit","","","","","","","111.902.00.5","","","","","","","","","",
"265597098297","AFSP26267","","","","","Geberit","","","","","","","115.770.11.5","","","","","","","","","",
"255463121099","HMW607622","","","","","Miseno","","","","","","","MNO163020F","","","","","","","","","",
"255463110918","HMW607699","","","","","Miseno","","","","","","","MNO3322SRTM","","","","","","","","","",
"265621762965","RTL106625","","","","","Premier Copper Products","","","","","","","VO18SKEN","","","","","","","","","",
"255463147983","ACHR151108","","","","","Watts","","","","","","","4003593","","","","","","","","","",
