Item Id,SKU,Suitable For,Number of Outlets,Type,Brand,Set Includes,Material,Male Thread Size,Female Thread Size,Features,Item Height,Item Width,Item Length,Item Diameter,Maximum Water Temperature,Country/Region of Manufacture,Maximum Working Pressure,Finish,MPN,Custom Bundle,Bundle Description,California Prop 65 Warning,Item Weight,Manufacturer,Number of Items in Set,
"255463245197","ZX9VXCL3012","","13","Wall Lamps","PerfectTwinkle","","Bronze","","","","","","","","","","","","PE933158","","","","","","",
"265621894199","ZX9ACSL7356","","13","Wall Lamps","Or","","Bronze","","","","","","","","","","","","OR1801699","","","","","","",
"265621903907","ZX9ACSL7357","","13","Wall Lamps","Or","","","","","","","","","","","","","","OR1682876","","","","","","",
"255463245010","ZX9ZLD1992","","3","Wall Lamps","Lucent","","Bronze","","","","","","","","","","","","LU704525","","","","","","",
"265996153102","SLCTS5613","","","Wall Lamps","HADCO","","","","","","","","","","","","","","HL BL5016-AS7LED7W","","","","","","",
"265996153407","SLCTS5890","","","Wall Lamps","HADCO","","","","","","","","","","","","","","HL MSL18-AS7","","","","","","",
"255833974480","SLCTS5614","","","Wall Lamps","HADCO","","","","","","","","","","","","","","HL MSL18-HS7","","","","","","",
"265621902530","VXCL3012","","13","Wall Lamps","Vaxcel International","","","","","","","","","","","","","","T0258","","","","","","",
"265621895961","VXCL3588","","","Wall Lamps","Vaxcel International","","","","","","","","","","","","","","T0468","","","","","","",
"255463248571","VXCL3609","","10","Wall Lamps","Vaxcel International","","","","","","","","","","","","","","T0475","","","","","","",
