Item Id,SKU,Type,Set Includes,Material,Brand,Color,Handle Material,Number of Items in Set,Features,Country/Region of Manufacture,Theme,Pattern,Making Method,Personalize,MPN,Bundle Description,Model,California Prop 65 Warning,Custom Bundle,Personalization Instructions,
"265611942541","MYR14445","Cookware","","","Rachael Ray","Gray","","2","","","Sea","","","","46885","","","","","",
"265611945706","MYR14960","Cookware","","","Rachael Ray","","","","","","Tools","","","","47648","","","","","",
"265611936963","MYR14961","Cookware","","","Rachael Ray","Red","","","","","Tools","","","","47649","","","","","",
"265611939378","MYR14686","Cookware","Turner","","Rachael Ray","","","","","","Tools","","","","47650","","","","","",
"265611941561","MYR14687","Cookware","Turner","","Rachael Ray","","","","","","Tools","","","","47651","","","","","",
"265611945033","MYR14688","Cookware","Turner","","Rachael Ray","","","","","","Tools","","","","47652","","","","","",
"265611941748","MYR14689","Cookware","Turner","","Rachael Ray","","","","","","Tools","","","","47653","","","","","",
"255453058580","MYR14690","Cookware","Turner","","Rachael Ray","","","","","","Tools","","","","47654","","","","","",
"265611935615","MYR14971","Cookware","Turner","","Rachael Ray","","","","","","Tools","","","","47778","","","","","",
"255453067297","MYR14972","Cookware","Turner","","Rachael Ray","","","","","","Tools","","","","47779","","","","","",
"255453057469","MYR14974","Cookware","Turner","","Rachael Ray","","","","","","Tools","","","","47781","","","","","",
"255453057677","MYR14975","Cookware","Turner","","Rachael Ray","","","","","","Tools","","","","47782","","","","","",
"265611943600","MYR14909","Cookware","Turner","","Rachael Ray","","","3","","","Tools","","","","47913","","","","","",
"265611945904","MYR14910","Cookware","Turner","","Rachael Ray","","","3","","","Tools","","","","47914","","","","","",
"255453056809","MYR14911","Cookware","Turner","","Rachael Ray","","","","","","Tools","","","","47915","","","","","",
"265611935383","MYR14912","Cookware","Turner","","Rachael Ray","","","","","","Tools","","","","47916","","","","","",
"255453066425","FFF771","Cookware","Turner","","Rachael Ray","Blue","","2","","","","","","","51210","","","","","",
"255453057890","MYR412","Cookware","Turner","","Rachael Ray","Orange","","","","","","","","","51211","","","","","",
"265611942333","MYR1939","Cookware","","","Rachael Ray","Red","","","","","Tools","Solid","","","56996","","","","","",
"265613582463","MYR1032","Cookware","","","Rachael Ray","Purple","","","","","","","","","58107","","","","","",
"255453064878","MYR1033","Cookware","","","Rachael Ray","Blue","","","","","","","","","58182","","","","","",
"255461412470","MYR1033","Cookware","","","Rachael Ray","Blue","","","","","","","","","58182","","","","","",
"265611940875","MYR14473","Cookware","","","Rachael Ray","Blue","","","","","","","","","58240","","","","","",
