Item Id,SKU,Brand,Room,Recommended Room Size,Tank Capacity,Features,Color,Voltage,Application,Coverage,Number of Speeds,Control Style,Type,Power Source,Smart Home Protocol,Year Manufactured,Item Depth,Item Height,Smart Home Compatibility,Material,Item Width,Manufacturer Warranty,Dehumidification Method,Finish,Power,Country/Region of Manufacture,Operating Sound Rating,Timer Control,Model,Daily Moisture Removal Capacity,Item Weight,MPN,Custom Bundle,California Prop 65 Warning,Bundle Description,
"255463064668","ZX9ACHR154745","Doctor D","","","","","","","","","","","Air Quality","","","","","","","","","","","","","","","","","","","DO1680778","","","",
"255576669789","ZX9ACHR151594","Doctor D","","","","","","","","","","","Air Quality","","","","","","","","","","","","","","","","","","","DO1680390","","","",
"265731522772","ZX9ACHR151595","Doctor D","","","","","","","","","","","Air Quality","","","","","","","","","","","","","","","","","","","DO1678343","","","",
"255463056593","ALMO15394","Arctic Wind","","","","","White","","","","","","Air Quality","","","","","","","","","","","","","","","","","","","2AD22A","","","",
"255576644569","ALMO15395","Arctic Wind","","","","","White","","","","","","Air Quality","","","","","","","","","","","","","","","","","","","2AD50A","","","",
"265731492013","ALMO15396","Arctic Wind","","","","","","","","","","","Air Quality","","","","","","","","","","","","","","","","","","","2ADP50A","","","",
"265621720304","DNBB067","Danby","","","","","","","","","2","","Air Quality","","","","","","","","","","","","","","","","","","","DDR020BJWDB-ME","","","",
"255576720271","DNBB068","Danby","","","","","","","","","","","Air Quality","","","","","","","","","","","","","","","","","","","DDR030BJWDB-ME","","","",
"265731450093","DNBB069","Danby","","","","","","","","","","","Air Quality","","","","","","","","","","","","","","","","","","","DDR040BJWDB-ME","","","",
"265731448264","DNBB070","Danby","Conservatory,Any Room,Garage,Bathroom,Basement,Closet,Bedroom,Guestroom,Hallway,Dining Room","","","Digital Display,Full Tank Indicator,Adjustable Humidistat,Caster Wheels,Automatic Shut Off,LED Display,Dust Filter,Carry Handle,Filter Cleaning Indicator","White","115 V","","More Than 215 sq ft","2","Digital","Tower","","","","","24.25""","","","","","","","","","","","Danby DDR050BJWDB-ME","50 pt (23.7 L)","","DDR050BJWDB-ME","","","",
"255576704587","DNBB071","Danby","","","","","Black","","","","","","Air Quality","","","","","","","","","","","","","","","","","","","DDR050BLBDB-ME","","","",
"265621698065","ALMO15384","Emerson","","","","","White","","","","","","Air Quality","","","","","","","","","","","","","","","","","","","EAD25E1H","","","",
"255463068231","ALMO15385","Emerson","","","","","White","","","","","","Air Quality","","","","","","","","","","","","","","","","","","","EAD35E1H","","","",
"255576664963","ACHR155381","Perfect Aire","","","","","Silver","","","","","","Air Quality","","","","","","","","","","","","","","","","","","","4000904","","","",
"255576649053","ACHR151594","Perfect Aire","","","","","","","","","","","Air Quality","","","","","","","","","","","","","","","","","","","4000908","","","",
"255576695350","ACHR151595","Perfect Aire","","","","","","","","","","","Air Quality","","","","","","","","","","","","","","","","","","","4000909","","","",
"265621702180","ACHR154745","Perfect Aire","","","","","","","","","","","Air Quality","","","","","","","","","","","","","","","","","","","4005656","","","",
"265621700487","ALMO14434","Soleus","","","","","","","","","","","Air Quality","","","","","","","","","","","","","","","","","","","DSJ-25EW-01","","","",
"255576702696","ALMO14435","Soleus","","","","","","","","","","","Air Quality","","","","","","","","","","","","","","","","","","","DSJ-35EW-01","","","",
"255576696385","ALMO14437","Soleus","","","","","","","","","","","Air Quality","","","","","","","","","","","","","","","","","","","DSJ-50EIPW-01","","","",
"255576688210","ALMO14436","Soleus","","","","","","","","","","","Air Quality","","","","","","","","","","","","","","","","","","","DSJ-50EW-01","","","",
"255463069159","SUPN1666","SPT","","","","","","","","","","","Air Quality","","","","","","","","","","","","","","","","","","","SD-33E","","","",
"265731468854","SUPN1855","SPT","","","","","","","","","","","Air Quality","","","","","","","","","","","","","","","","","","","SD-53E","","","",
"265731450973","SUPN1856","SPT","","","","Pump","","","","","","","Air Quality","","","","","","","","","","","","","","","","","","","SD-54PE","","","",
"265621699666","XPRM4314","Xpower","","","","","","","","","1","","Air Quality","","","","","","","","","","","","","","","","","","","BR-35","","","",
