Item Id,SKU,Brand,Type,Material,Movement,Color,Style,Display Type,Features,Power Source,Frame Material,Finish,Theme,Character,Shape,Room,Character Family,Country/Region of Manufacture,Chime Sequence,Year Manufactured,Department,Engraved,Original/Reproduction,Smart Home Protocol,Era,MPN,Model,Bundle Description,California Prop 65 Warning,Custom Bundle,Item Height,Item Length,Item Weight,Item Width,Manufacturer Warranty,Number Type,Product Line,Protection Plan,Smart Home Compatibility,
"265735874570","ZX9AZBUSHWC8065A-03","FixturesFirst","Office","Pewter","","","","","","","Pewter","Pewter","","","","","","","","","","","","","","FI187187","","","","","","","","","","","","","",
"255581121497","ZX9ESSEN13892","FineFabrics","Office","Mahogany","","","","","","","Mahogany","Mahogany","","","","","","","","","","","","","","FI1546160","","","","","","","","","","","","","",
"255581052273","ESSEN13890","Alera","Office","","","","","","","","","","","","","","","","","","","","","","","VA204224ES","","","","","","","","","","","","","",
"255580935802","ESSEN13891","Alera","Office","","","","","","","","","","","","","","","","","","","","","","","VA204224MC","","","","","","","","","","","","","",
"265735916392","ESSEN13892","Alera","Office","","","","","","","","","","","","","","","","","","","","","","","VA204224MY","","","","","","","","","","","","","",
"255581216074","SSN36486","Alera","Office","","","","","","","","","","","","","","","","","","","","","","","VA354224WA","","","","","","","","","","","","","",
"265735844016","AZALERVA30-1730","Alera","Office","Glass","","Silver","","","","","Glass","Silver","","","","","","","","","","","","","","VA30-1730","","","","","","","","","","","","","",
"255580994304","ZX9SPRCH24992","HighBoy","Office","","","","","","","","","Cherry","","","","","","","","","","","","","","HI875258","","","","","","","","","","","","","",
"265735742980","ZX9AZBUSHAC99801-03","FixturesFirst","Office","","","","","","","","","","","","","","","","","","","","","","","FI619678","","","","","","","","","","","","","",
"265735613180","AZBUSHAC99801-03","Bush","Office","","","","","","","","","","","","","","","","","","","","","","","AC99801-03","","","","","","","","","","","","","",
"265735845327","AZBUSHAC99850","Bush","Office","","","Black","","","","","","Black","","","","","","","","","","","","","","AC99850","","","","","","","","","","","","","",
"255580979792","AZBUSHWC24424","Bush","Office","","","","","","","","","Cherry","","","","","","","","","","","","","","WC24424","","","","","","","","","","","","","",
"255581241208","AZBUSHWC8065A-03","Bush","Office","","","","","","","","","","","","","","","","","","","","","","","WC8065C-03","","","","","","","","","","","","","",
"255581177039","ZX9SPRCH49838","NewestEdition","Office","","","","","","","","","","","","","","","","","","","","","","","NE875353","","","","","","","","","","","","","",
"265735944507","ZX9SPRCH65578","FineFabrics","Office","","","Gray","","","","","","","","Steel","","","","","","","","","","","","FI521629","","","","","","","","","","","","","",
"265735852205","ZX9SPRCH39780","NewestEdition","Office","","","","","","","","","Cherry","","","","","","","","","","","","","","NE517907","","","","","","","","","","","","","",
"265735747016","ZX9AZALERVA30-1730","FineFabrics","Office","Glass","","Silver","","","","","Glass","Silver","","","","","","","","","","","","","","FI195179","","","","","","","","","","","","","",
"255581200517","AZHON10570CC","Hon","Office","","","","","","","","","","","","","","","","","","","","","","","10570CC","","","","","","","","","","","","","",
"265735666101","AZRHON1522N","Hon","Office","Mahogany","","","","","","","Mahogany","Mahogany","","","","","","","","","","","","","","1522N","","","","","","","","","","","","","",
"265735713052","AZRHON1526N","Hon","Office","Mahogany","","","","","","","Mahogany","Mahogany","","","","","","","","","","","","","","1526N","","","","","","","","","","","","","",
"265735727527","SPRCH24740","Hon Company","Office","","","","","","","","","","","","","","","","","","","","","","","1522C","","","","","","","","","","","","","",
"255581053484","SPRCH24742","Hon Company","Office","","","","","","","","","","","","","","","","","","","","","","","HON1522H","","","","","","","","","","","","","",
"265735862372","SPRCH24992","Hon Company","Office","","","","","","","","","","","","","","","","","","","","","","","HON1526H","","","","","","","","","","","","","",
"255581193778","SSN43331","Hon","Office","","","Silver","","","","","","Silver","","","","","","","","","","","","","","CT29LXPR8","","","","","","","","","","","","","",
"265735910781","ZX9AZRHON1522N","SeatSolutions","Office","Mahogany","","","","","","","Mahogany","Mahogany","","","","","","","","","","","","","","SE619977","","","","","","","","","","","","","",
"265735842740","ZX9AZRHON1526N","SeatSolutions","Office","Mahogany","","","","","","","Mahogany","Mahogany","","","","","","","","","","","","","","SE184019","","","","","","","","","","","","","",
"265735836589","SPRCH86904","Lorell","Office","Oak","","Black","","","","","Oak","Black","","","","","","","","","","","","","","LLR00076","","","","","","","","","","","","","",
"265735696630","SPRCH49699","Lorell","Office","Walnut","","","","","","","Walnut","Walnut","","","","","","","","","","","","","","LLR34325","","","","","","","","","","","","","",
"255581282009","SPRCH39780","Lorell","Office","","","","","","","","","Cherry","","","","","","","","","","","","","","LLR69411","","","","","","","","","","","","","",
"255581094230","SPRCH49832","Lorell","Office","Mahogany","","","","","","","Mahogany","Mahogany","","","","","","","","","","","","","","LLR79166","","","","","","","","","","","","","",
"255581137037","SPRCH49835","Lorell","Office","","","Black","","","","","","Black","","","","","","","","","","","","","","LLR79173","","","","","","","","","","","","","",
"255581108155","SPRCH49836","Lorell","Office","","","","","","","","","","","","","","","","","","","","","","","LLR79174","","","","","","","","","","","","","",
"255581190831","SPRCH49837","Lorell","Office","","","Black","","","","","","Black","","","","","","","","","","","","","","LLR79175","","","","","","","","","","","","","",
"265735612476","SPRCH49838","Lorell","Office","","","","","","","","","","","","","","","","","","","","","","","LLR79176","","","","","","","","","","","","","",
"265735684336","SPRCH49839","Lorell","Office","","","Black","","","","","","Black","","Steel","","","","","","","","","","","","LLR79177","","","","","","","","","","","","","",
"255581244797","SPRCH49840","Lorell","Office","","","","","","","","","","","Steel","","","","","","","","","","","","LLR79178","","","","","","","","","","","","","",
"265735952975","SPRCH25920","Mayline Group","Office","","","","","","","","","","","","","","","","","","","","","","","MLN950ANT","","","","","","","","","","","","","",
"265735920129","SPRCH25921","Mayline Group","Office","","","","","","","","","","","","","","","","","","","","","","","MLN950MEC","","","","","","","","","","","","","",
"255581010109","SPRCH65578","Mayline","Office","","","Gray","","","","","","","","Steel","","","","","","","","","","","","MLNMNDBLGS","","","","","","","","","","","","","",
"265735844117","ZX9SFC165","BetterBeds","Office","","","","","","","","","Cherry","","","","","","","","","","","","","","BE124588","","","","","","","","","","","","","",
"265735814770","SPRCH89263","Philips","Office","","","","","Digital","Digital","","","","","","","","","","","","","","","","","PSPDPM600002","","","","","","","","","","","","","",
"255581182094","SFC141","Safco","Office","Mahogany","","","","","","","Mahogany","Mahogany","","","","","","","","","","","","","","1850MH","","","","","","","","","","","","","",
"255580946916","SFC165","Safco","Office","","","","","","","","","Cherry","","","","","","","","","","","","","","1881CY","","","","","","","","","","","","","",
"265735615855","ZX9AZBUSHWC24424","FixturesFirst","Office","","","Gray","","","","","","Cherry","","","","","","","","","","","","","","FI192636","","","","","","","","","","","","","",
"265735670144","ZX9SPRCH49839","NewestEdition","Office","","","Black","","","","","","Black","","Steel","","","","","","","","","","","","NE960692","","","","","","","","","","","","","",
"265735875392","ZX9AZBUSHAC99850","FixturesFirst","Office","","","Black","","","","","","Black","","","","","","","","","","","","","","FI734295","","","","","","","","","","","","","",
