Item Id,SKU,Type,Brand,Width,Shape,MPN,Model,Custom Bundle,Bundle Description,Modified Item,Modification Description,California Prop 65 Warning,Country/Region of Manufacture,
"255581034803","ZX9SPRCH64518","Office","SeatSolutions","","","SE513364","","","","","","","",
"255581144075","ZX9SPRCH65180","Office","NewestEdition","","","NE513387","","","","","","","",
"265735798409","ZX9SPRCH65839","Office","Cubiculum USA","","","CU513415","","","","","","","",
"265735715579","ZX9SPRCH65122","Office","NewestEdition","","","NE687089","","","","","","","",
"255581088104","ZX9SPRCH49122","Office","Juki Furniture","","","JU529741","","","","","","","",
"265735849213","ZX9SPRCH49120","Office","Juki Furniture","","","JU811736","","","","","","","",
"255581114798","ZX9SPRCH49121","Office","Juki Furniture","","","JU811737","","","","","","","",
"265735609068","ZX9SPRCH65448","Office","NewestEdition","","","NE525367","","","","","","","",
"265735820560","ZX9SSN36491","Office","FineFabrics","","","FI1628959","","","","","","","",
"265735607476","ZX9ESSEN11094","Office","FineFabrics","","","FI292040","","","","","","","",
"255581030700","ZX9ESSEN11095","Office","FineFabrics","","","FI288361","","","","","","","",
"255580994587","ZX9ESSEN11096","Office","FineFabrics","","","FI288362","","","","","","","",
"255581178565","ZX9ESSEN11093","Office","FineFabrics","","","FI639485","","","","","","","",
"265735695013","ZX9ESSEN11089","Office","FineFabrics","","","FI639484","","","","","","","",
"255581098506","ZX9ESSEN11090","Office","FineFabrics","","","FI288360","","","","","","","",
"265735736187","ZX9ESSEN11091","Office","FineFabrics","","","FI285628","","","","","","","",
"255581136163","ZX9SSN36489","Office","FineFabrics","","","FI1625868","","","","","","","",
"255580938014","ZX9ESSEN11144","Office","FineFabrics","","","FI284491","","","","","","","",
"255581213863","ESSEN13880","Office","Alera","","","LS593020ES","","","","","","","",
"265735927764","ESSEN13881","Office","Alera","","","LS593020MC","","","","","","","",
"255581019361","ESSEN13882","Office","Alera","","","LS593020MY","","","","","","","",
"265735748505","ESSEN13883","Office","Alera","","","LS593020WA","","","","","","","",
"255581106451","ESSEN13888","Office","Alera","","","LSTB24GR","","","","","","","",
"255581270560","ESSEN13889","Office","Alera","","","LSTB30GR","","","","","","","",
"255581057406","ESSEN11089","Office","Alera","","","PABFBL","","","","","","","",
"265735841202","ESSEN11090","Office","Alera","","","PABFCH","","","","","","","",
"265735738330","ESSEN11091","Office","Alera","","","PABFLG","","","","","","","",
"255581258719","ESSEN11092","Office","Alera","","","PABFPY","","","","","","","",
"265735714756","ESSEN11093","Office","Alera","","","PBBFBL","","","","","","","",
"265735930812","ESSEN11094","Office","Alera","","","PBBFCH","","","","","","","",
"265735824916","ESSEN11095","Office","Alera","","","PBBFLG","","","","","","","",
"255581046301","ESSEN11096","Office","Alera","","","PBBFPY","","","","","","","",
"265735661986","SSN36460","Office","Alera","","","VA204224WA","","","","","","","",
"255580994225","SSN36489","Office","Alera","","","VA552222WA","","","","","","","",
"265735688588","TGRDC117530","Office","Alera","","","YYAZ-ALEVA572816MC","","","","","","","",
"265735603138","TGRDC117531","Office","Alera","","","YYAZ-ALEVA572816MY","","","","","","","",
"265735750122","SSN36490","Office","Alera","","","VA572816WA","","","","","","","",
"265735844457","SSN36491","Office","Alera","","","VA613622WA","","","","","","","",
"265735743258","ESSEN11142","Office","Alera","","","VABFMC","","","","","","","",
"255580950924","ESSEN11144","Office","Alera","","","VABFWA","","","","","","","",
"265735915313","ESSEN0103","Office","ESSN","","","VA582816WA","","","","","","","",
"265735843667","ESSEN0145","Office","ESSN","","","VA572816ES","","","","","","","",
"265735805315","QKWY1184","Office","Basicwise","","","QI003675B.2","","","","","","","",
"255581175916","QKWY1266","Office","Basicwise","","","QI003994.CR","","","","","","","",
"255580980073","QKWY2188","Office","Basicwise","","","QI003994.NC","","","","","","","",
"255581086016","SPRCH63342","Office","basyx by HON","","","HVLPERCH.ASF10.X","","","","","","","",
"265735730901","ZX9SPRCH39783","Office","NewestEdition","","","NE127750","","","","","","","",
"265735602294","BLUES045","Office","Bluestone Designs","","","G255","","","","","","","",
"265735669191","BLUES185","Office","Bluestone Designs","","","Z247B","","","","","","","",
"265735815761","ZX9SPRCH24914","Office","HighBoy","","","HI824333","","","","","","","",
"255581158860","DLMP5182","Office","Familymaid","","","26364","","","","","","","",
"255581217588","DLMP5198","Office","Familymaid","","","26463","","","","","","","",
"255581180962","ZX9SPRCH39784","Office","NewestEdition","","","NE524485","","","","","","","",
"255581217986","ZX9SPRCH39786","Office","NewestEdition","","","NE518884","","","","","","","",
"265735665020","ZX9SPRCH39785","Office","NewestEdition","","","NE524486","","","","","","","",
"265735601403","ZX9SPRCH83535","Office","BetterBeds","","","BE1620609","","","","","","","",
"265735928205","SPRCH68274","Office","Hon","","","BSXHBMP2BL","","","","","","","",
"255581113058","SPRCH68265","Office","Hon","","","BSXHBMP2FL","","","","","","","",
"255581137134","SPRCH25212","Office","Hon Company","","","HD2.S","","","","","","","",
"255581104300","SPRCH24914","Office","Hon Company","","","D8S","","","","","","","",
"255581219836","SSN45310","Office","Hon","","","CT29MXPR8","","","","","","","",
"255580961380","SSN44445","Office","Hon","","","CT42LXPR8","","","","","","","",
"255581009300","SSN42402","Office","Hon","","","CT42MXPR8","","","","","","","",
"255581136478","SPRCH64518","Office","Hon","","","H384815.L.L","","","","","","","",
"265735872959","SPRCH64689","Office","Hon","","","H386560N.S","","","","","","","",
"265735820219","SPRCH93289","Office","Hon","","","HONHLCR2442LD1","","","","","","","",
"265735845818","SPRCH92284","Office","Hon","","","HONLCL3020SLT1","","","","","","","",
"255581073361","SPRCH92250","Office","Hon","","","HONLCS6024LS1","","","","","","","",
"265735814417","SPRCH92251","Office","Hon","","","HONLCS6024LT1","","","","","","","",
"255580943104","SPRCH92301","Office","Hon","","","HONPLPHBFLT1","","","","","","","",
"255581240095","SPRCH92295","Office","Hon","","","HONPLPMBFLP1","","","","","","","",
"265735654025","SPRCH92296","Office","Hon","","","HONPLPMBFLS1","","","","","","","",
"255581218232","SPRCH92302","Office","Hon","","","HONPLPSBBFLS1","","","","","","","",
"255581240790","SPRCH92303","Office","Hon","","","HONPLPSBBFLT1","","","","","","","",
"265735916013","SPRCH92304","Office","Hon","","","HONPLPSFFLS1","","","","","","","",
"255581239976","SPRCH92305","Office","Hon","","","HONPLPSFFLT1","","","","","","","",
"265735876633","SSN16672","Office","Hon","","","UTM1872MOPCH","","","","","","","",
"265735804357","SSN16673","Office","Hon","","","UTM2060MOPCH","","","","","","","",
"255581290914","RTL41352","Office","Linea Italia","","","TR752MOC","","","","","","","",
"265735808157","SSN43608","Office","Linea Italia","","","TR752CH","","","","","","","",
"255581268151","SPRCH86884","Office","Lorell","","","LLR00045","","","","","","","",
"255581248661","SPRCH86885","Office","Lorell","","","LLR00046","","","","","","","",
"255581176235","SPRCH86886","Office","Lorell","","","LLR00047","","","","","","","",
"255581124733","SPRCH86887","Office","Lorell","","","LLR00048","","","","","","","",
"255581154615","SPRCH86888","Office","Lorell","","","LLR00049","","","","","","","",
"265735726244","SPRCH86889","Office","Lorell","","","LLR00050","","","","","","","",
"265735952587","SPRCH86890","Office","Lorell","","","LLR00051","","","","","","","",
"255581290763","SPRCH86891","Office","Lorell","","","LLR00052","","","","","","","",
"255581277501","SPRCH86892","Office","Lorell","","","LLR00053","","","","","","","",
"255581215884","SPRCH86893","Office","Lorell","","","LLR00054","","","","","","","",
"265735599354","SPRCH86894","Office","Lorell","","","LLR00055","","","","","","","",
"265735915516","SPRCH84104","Office","Lorell","","","LLR16224","","","","","","","",
"265735714273","SPRCH84112","Office","Lorell","","","LLR16232","","","","","","","",
"265735820386","SPRCH84118","Office","Lorell","","","LLR16241","","","","","","","",
"265735820637","SPRCH86020","Office","Lorell","","","LLR16244","","","","","","","",
"255581000467","SPRCH86730","Office","Lorell","","","LLR18240","","","","","","","",
"265735835102","SPRCH101897","Office","Lorell","","","LLR18308","","","","","","","",
"265735785718","SPRCH101898","Office","Lorell","","","LLR18309","","","","","","","",
"265735616579","SPRCH86025","Office","Lorell","","","LLR59489","","","","","","","",
"265735825522","SPRCH65194","Office","Lorell","","","LLR59504","","","","","","","",
"255580966282","SPRCH65237","Office","Lorell","","","LLR59507","","","","","","","",
"265735824790","SPRCH49741","Office","Lorell","","","LLR59518","","","","","","","",
"255581245327","SPRCH49742","Office","Lorell","","","LLR59519","","","","","","","",
"255581138495","SPRCH65122","Office","Lorell","","","LLR60722","","","","","","","",
"265735816911","SPRCH49801","Office","Lorell","","","LLR60729","","","","","","","",
"255580939001","SPRCH49802","Office","Lorell","","","LLR60732","","","","","","","",
"255581253969","SPRCH91279","Office","Lorell","","","LLR60738","","","","","","","",
"255580995640","SPRCH91280","Office","Lorell","","","LLR60739","","","","","","","",
"265735950785","SPRCH92048","Office","Lorell","","","LLR60745","","","","","","","",
"255581241587","SPRCH83402","Office","Lorell","","","LLR61627","","","","","","","",
"265735756105","SPRCH83403","Office","Lorell","","","LLR61628","","","","","","","",
"265735819911","SPRCH83025","Office","Lorell","","","LLR66958","","","","","","","",
"265735702878","SPRCH25190","Office","Lorell","","","LLR69432","","","","","","","",
"255581143625","SPRCH86924","Office","Lorell","","","LLR69585","","","","","","","",
"265735853006","SPRCH39783","Office","Lorell","","","LLR69603","","","","","","","",
"255581200713","SPRCH39784","Office","Lorell","","","LLR69604","","","","","","","",
"265735732509","SPRCH39785","Office","Lorell","","","LLR69605","","","","","","","",
"255581194343","SPRCH39786","Office","Lorell","","","LLR69606","","","","","","","",
"255580948997","SPRCH65434","Office","Lorell","","","LLR69954","","","","","","","",
"265735729091","SPRCH49827","Office","Lorell","","","LLR79133","","","","","","","",
"265735851255","SPRCH49828","Office","Lorell","","","LLR79134","","","","","","","",
"265735662518","SPRCH65180","Office","Lorell","","","LLR79135","","","","","","","",
"265735941116","SPRCH65448","Office","Lorell","","","LLR84838","","","","","","","",
"265735623627","SPRCH84302","Office","Lorell","","Round","LLR86924","","","","","","","",
"265735880103","SPRCH84303","Office","Lorell","","Round","LLR86925","","","","","","","",
"265735926634","SPRCH84304","Office","Lorell","","Round","LLR86926","","","","","","","",
"255581289813","SPRCH84305","Office","Lorell","","","LLR86927","","","","","","","",
"265735693909","SPRCH84306","Office","Lorell","","","LLR86928","","","","","","","",
"255581071477","SPRCH65590","Office","Lorell","","","LLR99894","","","","","","","",
"255580994508","SPRCH104516","Office","Lorell","","","LLRPB2448GE","","","","","","","",
"265735731797","SSN52196","Office","Mayline","","","2460TLDCM","","","","","","","",
"265735825274","SPRCH65493","Office","Mayline","","","MLNMNBBFLGS","","","","","","","",
"255581286414","ZX9SPRCH65493","Office","FineFabrics","","","FI521625","","","","","","","",
"265735856326","ZX9SPRCH68265","Office","SeatSolutions","","","SE1190526","","","","","","","",
"255581288634","ZX9SPRCH65194","Office","NewestEdition","","","NE2115764","","","","","","","",
"265735740748","ZX9SPRCH26565","Office","NewestEdition","","","NE517119","","","","","","","",
"255581228761","ZX9SPRCH25190","Office","NewestEdition","","","NE509914","","","","","","","",
"255580957275","ZX9SPRCH25189","Office","NewestEdition","","","NE528816","","","","","","","",
"265735877761","ZX9SPRCH68224","Office","Juki Furniture","","","JU1190507","","","","","","","",
"265735799865","ZX9SPRCH27269","Office","NewestEdition","","","NE1189971","","","","","","","",
"255580998523","SPRCH27269","Office","Premier/Martin Yale","","","PRE1628","","","","","","","",
"265735689121","ZX9SPRCH49827","Office","NewestEdition","","","NE861632","","","","","","","",
"265735838372","ZX9SPRCH49828","Office","NewestEdition","","","NE824414","","","","","","","",
"265735683218","ZX9SPRCH68274","Office","SeatSolutions","","","SE1190530","","","","","","","",
"265735787091","ZX9SPRCH65590","Office","NewestEdition","","","NE513406","","","","","","","",
"265735735173","RGCS1289","Office","Regency","","","MFTT4824GY","","","","","","","",
"265735751039","RGCS1290","Office","Regency","","","MFTT4824MH","","","","","","","",
"265735914416","RGCS1880","Office","Regency","","","MKFT4824CH","","","","","","","",
"265735619123","RGCS1883","Office","Regency","","","MKFT4824MH","","","","","","","",
"265735851310","RNCY4833","Office","Regency","","","MKFT4830WH","","","","","","","",
"255581016943","RNCY4846","Office","Regency","","","MKFTM4830AG","","","","","","","",
"265735677930","RNCY4847","Office","Regency","","","MKFTM4830WH","","","","","","","",
"265735703340","RNCY4898","Office","Regency","","","MT4224AGBPBK","","","","","","","",
"265735893554","RNCY4899","Office","Regency","","","MT4224AGBPCM","","","","","","","",
"265735950906","RNCY1165","Office","Regency","","","MT4224CHAPCBK","","","","","","","",
"265735737481","RGCS1762","Office","Regency","","","MT4224CHBPBK","","","","","","","",
"265735835361","RGCS1770","Office","Regency","","","MT4224CHBPCM","","","","","","","",
"265735843055","RNCY1166","Office","Regency","","","MT4224GYAPCBK","","","","","","","",
"265735791836","RNCY1167","Office","Regency","","","MT4224MHAPCBK","","","","","","","",
"255581068833","RGCS1765","Office","Regency","","","MT4224MHBPBK","","","","","","","",
"265735709961","RGCS1773","Office","Regency","","","MT4224MHBPCM","","","","","","","",
"265735727004","RNCY1169","Office","Regency","","","MT4224PLAPCBK","","","","","","","",
"265735667140","RNCY4391","Office","Regency","","","MT482418GYBPBK","","","","","","","",
"265735850530","RNCY4393","Office","Regency","","","MT482418GYBPCM","","","","","","","",
"255581019218","RNCY4398","Office","Regency","","","MT482418MHBPBK","","","","","","","",
"265735745209","RNCY2645","Office","Regency","","","MT482418MHBPCM","","","","","","","",
"265735690568","RNCY1171","Office","Regency","","","MT4824GYAPCBK","","","","","","","",
"265735737160","RNCY1172","Office","Regency","","","MT4824MHAPCBK","","","","","","","",
"265735846553","RNCY1185","Office","Regency","","","MT6024PLAPCBK","","","","","","","",
"265735753440","RNCY1189","Office","Regency","","","MT6030MHAPCBK","","","","","","","",
"255581233194","RNCY1194","Office","Regency","","","MT6624GYAPCBK","","","","","","","",
"265735846793","RNCY1197","Office","Regency","","","MT6624PLAPCBK","","","","","","","",
"265735819192","RNCY1198","Office","Regency","","","MT6630BEAPCBK","","","","","","","",
"265735728776","RNCY1200","Office","Regency","","","MT6630GYAPCBK","","","","","","","",
"265735951795","RNCY1201","Office","Regency","","","MT6630MHAPCBK","","","","","","","",
"265735869010","RNCY215","Office","Regency","","","MT7224CHAPBK","","","","","","","",
"265735842416","RNCY1205","Office","Regency","","","MT7224CHAPCBK","","","","","","","",
"265735730805","RNCY1207","Office","Regency","","","MT7224MHAPCBK","","","","","","","",
"265735862192","RNCY216","Office","Regency","","","MT7224PLAPBK","","","","","","","",
"265735828637","RNCY1209","Office","Regency","","","MT7224PLAPCBK","","","","","","","",
"255581009447","RNCY451","Office","Regency","","","MT7230CHAPBK","","","","","","","",
"265735952678","RNCY1210","Office","Regency","","","MT7230CHAPCBK","","","","","","","",
"265735696865","RNCY452","Office","Regency","","","MT7230PLAPBK","","","","","","","",
"265735936145","RNCY1211","Office","Regency","","","MT7230PLAPCBK","","","","","","","",
"265735751631","RNCY4944","Office","Regency","","","MTPL4224WHBK","","","","","","","",
"255581124257","RNCY380","Office","Regency","","Rectangle","RSD18526CH","","","","","","","",
"255581135192","RNCY381","Office","Regency","","Rectangle","RSD18526PL","","","","","","","",
"265735927104","RNCY393","Office","Regency","","Rectangle","RSDBX18526PL","","","","","","","",
"255581167641","RNCY2663","Office","Regency","","","TB303018CHBPBK","","","","","","","",
"255581030117","RNCY2664","Office","Regency","","","TB303018PLBPBK","","","","","","","",
"255581050832","RNCY3036","Office","Regency","","","TB3030CHAPCBK","","","","","","","",
"255581131897","RNCY1060","Office","Regency","","","TB3030MHAPBK","","","","","","","",
"265735825162","RNCY1214","Office","Regency","","","TB3030MHAPCBK","","","","","","","",
"265735835998","RNCY4575","Office","Regency","","","TB3030PLAPBK","","","","","","","",
"255581073182","RNCY3037","Office","Regency","","","TB3030PLAPCBK","","","","","","","",
"265735864916","RNCY3351","Office","Regency","","Round","TB30RNDCHAPBK","","","","","","","",
"255581036314","RNCY3355","Office","Regency","","Round","TB30RNDCHAPCBK","","","","","","","",
"255580965972","RNCY3352","Office","Regency","","Round","TB30RNDMHAPBK","","","","","","","",
"265735735305","RNCY3356","Office","Regency","","Round","TB30RNDMHAPCBK","","","","","","","",
"255581138667","RNCY3354","Office","Regency","","Round","TB30RNDPLAPBK","","","","","","","",
"265735868108","RNCY3358","Office","Regency","","Round","TB30RNDPLAPCBK","","","","","","","",
"265735751554","RNCY220","Office","Regency","","","TB3636CHAPBK","","","","","","","",
"265735900667","RNCY3335","Office","Regency","","","TB3636CHAPCBK","","","","","","","",
"265735667404","RNCY3336","Office","Regency","","","TB3636PLAPCBK","","","","","","","",
"255581005102","RNCY3338","Office","Regency","","Round","TB36RNDMHAPCBK","","","","","","","",
"265735740449","RNCY831","Office","Regency","","Round","TB42RNDMHAPCBK","","","","","","","",
"265735699591","RNCY950","Office","Regency","","","TKB3030MH","","","","","","","",
"265735853536","RNCY2898","Office","Regency","","Round","TKB30RNDMH","","","","","","","",
"265735622146","RNCY384","Office","Regency","","","TSD362319CH","","","","","","","",
"265735914349","RNCY385","Office","Regency","","","TSD362319PL","","","","","","","",
"265735645207","RNCY396","Office","Regency","","","TSDBX362319CH","","","","","","","",
"265735940353","RNCY397","Office","Regency","","","TSDBX362319PL","","","","","","","",
"265735822328","TRVAL114316","Office","Retail First","","","234941","","","","","","","",
"265735845503","SPRCH83513","Office","Safco","","","SAF1906GR","","","","","","","",
"265735928851","SPRCH83538","Office","Safco","","","SAF2448TFLK4","","","","","","","",
"265735844179","SPRCH83536","Office","Safco","","","SAF2448TRMH","","","","","","","",
"265735865471","SPRCH83535","Office","Safco","","","SAF2460TRMH","","","","","","","",
"255581244619","SPRCH83059","Office","Safco","","","SAFLF48SLV","","","","","","","",
"255581217640","SPRCH86061","Office","Safco","","","SAFMRCRBBB20SDD","","","","","","","",
"255581271234","SPRCH86062","Office","Safco","","","SAFMRCRBF20SDD","","","","","","","",
"255581044760","SPRCH86081","Office","Safco","","","SAFMRHTHSBLK","","","","","","","",
"255580976753","ZX9SPRCH63342","Office","ComfortCorrect","","","CO524688","","","","","","","",
"255580993542","SPRCH65839","Office","Skilcraft","","","MNCBLGS","","","","","","","",
"255581076792","ESSEN4218","Office","ESSN","","","51531-1073","","","","","","","",
"255580960132","SPRCH83547","Office","Special-T","","","SCTSP2460GR","","","","","","","",
"255581050767","SPRCH83061","Office","Special-T","","","SCTSP2460MHG","","","","","","","",
"265735814237","SPRCH83549","Office","Special-T","","","SCTSP2460WHT","","","","","","","",
"255580979318","SPRCH83065","Office","Special-T","","","SCTSPAP1048","","","","","","","",
"255581034552","SPRCH83066","Office","Special-T","","","SCTSPAP1060","","","","","","","",
"255581228085","SPRCH83063","Office","Special-T","","","SCTSPLINKFT2460","","","","","","","",
"265735651149","SPRCH83064","Office","Special-T","","","SCTSPLINKFT2472","","","","","","","",
