Item Id,SKU,Department,Brand,Features,Color,Material,Type,Room,Character Family,Number of Drawers,Theme,Year Manufactured,Item Height,Item Length,Item Width,Model,Additional Parts Required,Assembly Required,Item Weight,Mounting,Product Line,MPN,Custom Bundle,Country/Region of Manufacture,California Prop 65 Warning,Bundle Description,Care Instructions,Character,Distance from Floor to Bottom,Door Mechanism,Finish,Handle Finish,Handle Material,Handle Type,Item Diameter,Item Diameter (Interior),Item Height (Interior),Item Length (Interior),Item Width (Interior),Manufacturer Warranty,Maximum Height,Maximum Width,Minimum Height,Minimum Width,Number of Doors,Number of Shelves,Original/Reproduction,Packaging,Pattern,Personalized,Required Tools,Shape,Style,Tabletop Thickness,Time Period Manufactured,
"265735666508","CCI3159","","Convenience Concepts","","Brown","Particle Board","Desk","","","","","1975","","","","","","","","","","131524BDW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Modern","","",
"255580996328","CCI2765","","Convenience Concepts","","Clear","Glass","Desk","Living Room","","","","","36 in","36 in","36 in","","","","","","","131526WM","","","","","","","36 in","","","","","","36 in","","","","","","","","","","","","","","","","","","Contemporary","","",
"255580975698","SPRCH100699","","Cosco","Folding","Gray","Steel","Desk","","","","","","","","","","","","","","","CSC66720DKG1E","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"255581242169","SPRCH90345","","Deflecto","","Clear","","Desk","","","","","","","","","","","","","","","DEFPSB221624H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"265735704831","HDSNC1948","","Coleman","","Gray","Oak","Desk","","","","","","","","","","","","","","","OF0943","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Modern","","",
"255581145527","HDSNC1950","","Coleman","","Brown","Oak","Desk","","","","","","","","","","","","","","","OF0945","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Modern","","",
"265735860962","SPRCH91978","","Lorell","","Black","Steel","Desk","","","","","","","","","","","","","","","LLR03700","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid","","","","Modern","","",
"265735729204","RNCY376","","Regency","","Black","Cherry","Desk","","","","","","34 in","34 in","","","","","","","","FSD2624CH","","","","","","","34 in","","","","","","34 in","","","","","","","","","","","","","","","","","","","","",
"265735711411","RNCY377","","Regency","","Black","Maple","Desk","","","","","","34 in","34 in","","","","","","","","FSD2624PL","","","","","","","34 in","","","","","","34 in","","","","","","","","","","","","","","","","","","","","",
"265735682742","RNCY389","","Regency","","Black","Chrome","Desk","","","","","","34 in","34 in","","","","","","","","FSDBX2624PL","","","","","","","34 in","","","","","","34 in","","","","","","","","","","","","","","","","","","","","",
