Item Id,SKU,Type,Material,Brand,Features,Number of Bowls,Life Stage,Color,Personalize,Dog Breed,Personalized,Smart Home Protocol,Smart Home Compatibility,Custom Bundle,Model,Bundle Description,MPN,Modified Item,Modification Description,Country/Region of Manufacture,California Prop 65 Warning,Personalization Instructions,
"255461995916","PTE6176","Pet Feeding Supplies","","Petedge","","","","","","","","","","","","","ZW6149 08 16","","","","","",
"255461982531","ZX9QTDG009","Pet Feeding Supplies","","PetPride","","3","","","","","","","","","","","PE473388","","","","","",
"255461987493","BCI1510015","Pet Feeding Supplies","","ALLIED PRECISION","","","","","","","","","","","","","HB130","","","","","",
"265620548086","BCI11143","Pet Feeding Supplies","","ALLIED PRECISION","","5","","","","","","","","","","","002216","","","","","",
"265620537724","JNSN40170","Pet Feeding Supplies","","Allied Precision Ind","","","","","","","","","","","","","10N","","","","","",
"255461974039","ZX9WLLCH19405","Pet Feeding Supplies","","Beloved","","","","Purple","","","","","","","","","BE2033068","","","","","",
"255461993626","ZX9BCI11143","Pet Feeding Supplies","","Beloved","","5","","","","","","","","","","","BE44491","","","","","",
"265619663422","BC013774","Pet Feeding Supplies","","Miller Mfg Co Inc","","","","Green","","","","","","","","","957427","","","","","",
"255439554375","BC013774","Pet Feeding Supplies","","Miller Mfg Co Inc","","","","Green","","","","","","","","","957427","","","","","",
"265620555728","QTDG075","Pet Feeding Supplies","Stainless Steel","QT Dog","","","","","","","","","","","","","SS0146","","","","","",
