Item Id,SKU,Type,Material,Decade,Color,Original/Reproduction,Shape,Features,Maker,California Prop 65 Warning,
"255488835589","ZX9DWT304","Furniture & Decor","","","","","","","","",
"255483854288","ZX9KLT1909","Furniture & Decor","","","","","","","","",
"255483923860","ZX9RVNI1584","Furniture & Decor","","","Black","","","","","",
"265639669705","ZX9RVNI1582","Furniture & Decor","","","Blue","","","","","",
"265644476654","ZX9RVNI1581","Furniture & Decor","","","Green","","","","","",
"265634279721","ZX9RVNI1589","Furniture & Decor","","","Black","","","","","",
"255483823856","ZX9RVNI1587","Furniture & Decor","","","Blue","","","","","",
"255488845436","ZX9RVNI1588","Furniture & Decor","","","Brown","","","","","",
"265639803828","ZX9RVNI1585","Furniture & Decor","","","","","","","","",
"265634270724","ZX9DWT366","Furniture & Decor","","","","","","","","",
"265639763996","ZX9DWT309","Furniture & Decor","","","Black","","","","","",
"265644592109","ZX9RVNI1634","Furniture & Decor","","","Black","","","","","",
"265639717770","ZX9RVNI1631","Furniture & Decor","","","Green","","","","","",
"255483696121","ZX9RVNI1630","Furniture & Decor","","","","","","","","",
"265639592103","ZX9RVNI1639","Furniture & Decor","","","Black","","","","","",
"265639707170","ZX9RVNI1636","Furniture & Decor","","","Green","","","","","",
"255488798853","ZX9RVNI1629","Furniture & Decor","","","Black","","","","","",
"255483679129","ZX9RVNI1628","Furniture & Decor","","","Brown","","","","","",
"255483938760","ZX9RVNI1626","Furniture & Decor","","","Green","","","","","",
"255483770451","ZX9RVNI1625","Furniture & Decor","","","","","","","","",
"265634309927","MSTT1004","Furniture & Decor","Copper","","","","","","","",
"255476996208","MSTT1007","Furniture & Decor","Copper","","","","","","","",
"255488748526","RTL267313","Furniture & Decor","","","","","","","","",
"265639542054","ZX9IWD7848","Furniture & Decor","Cast Iron","","","","","","","",
"255483654067","DWT304","Furniture & Decor","","","","","","","","",
"255488747245","DWT277","Furniture & Decor","","","Green","","","","","",
"265639816308","DWT366","Furniture & Decor","","","","","","","","",
"265639679779","DWT309","Furniture & Decor","","","Black","","","","","",
"255483682328","ZX9RVNI179","Furniture & Decor","","","","","","","","",
"265634296246","ZX9RVNI181","Furniture & Decor","","","","","","","","",
"255483720227","RVNI1894","Furniture & Decor","","","","","","","","",
"255488831034","RVNI1893","Furniture & Decor","","","","","","","","",
"255476931066","ZX9DH20333MAXSA","Furniture & Decor","","","","","","","","",
"265644497628","HDSRBR44390","Furniture & Decor","","","White","","","","","",
"255483751517","IWD7848","Furniture & Decor","Cast Iron","","","","","","","",
"265634279998","ZX9ORGL101979","Furniture & Decor","","","","","","","","",
"255483858914","DH20333MAXSA","Furniture & Decor","","","","","","","","",
"255488744472","POLYTX107","Furniture & Decor","","","","","","","","",
"255483871009","TRVAL129908","Furniture & Decor","","","","","","","","",
"265639506460","TRVAL129909","Furniture & Decor","","","","","","","","",
"255488726727","ZX9POLYTX107","Furniture & Decor","","","","","","","","",
"265644609368","RVNI179","Furniture & Decor","","","","","","","","",
"265644608303","RVNI178","Furniture & Decor","","","","","","","","",
"265644471829","RVNI181","Furniture & Decor","","","","","","","","",
"265639800200","RVNI1584","Furniture & Decor","","","Black","","","","","",
"265639682961","RVNI1582","Furniture & Decor","","","Blue","","","","","",
"255483721146","RVNI1583","Furniture & Decor","","","Brown","","","","","",
"265639788838","RVNI1581","Furniture & Decor","","","Green","","","","","",
"255483890099","RVNI1580","Furniture & Decor","","","","","","","","",
"255483815999","RVNI1589","Furniture & Decor","","","Black","","","","","",
"265639691123","RVNI1587","Furniture & Decor","","","Blue","","","","","",
"265644503106","RVNI1588","Furniture & Decor","","","Brown","","","","","",
"265639669932","RVNI1586","Furniture & Decor","","","Green","","","","","",
"255483873119","RVNI1585","Furniture & Decor","","","","","","","","",
"255483771222","RVNI1579","Furniture & Decor","","","Black","","","","","",
"265639578107","RVNI1577","Furniture & Decor","","","Blue","","","","","",
"265644645699","RVNI1578","Furniture & Decor","","","Brown","","","","","",
"265634293531","RVNI1576","Furniture & Decor","","","Green","","","","","",
"255483806479","RVNI1575","Furniture & Decor","","","","","","","","",
"255488786448","RVNI1634","Furniture & Decor","","","Black","","","","","",
"265639666658","RVNI1632","Furniture & Decor","","","Blue","","","","","",
"255488695871","RVNI1633","Furniture & Decor","","","Brown","","","","","",
"265639809290","RVNI1631","Furniture & Decor","","","Green","","","","","",
"255483769903","RVNI1630","Furniture & Decor","","","","","","","","",
"255488801955","RVNI1639","Furniture & Decor","","","Black","","","","","",
"255483806328","RVNI1637","Furniture & Decor","","","Blue","","","","","",
"255483749686","RVNI1638","Furniture & Decor","","","Brown","","","","","",
"265639534665","RVNI1636","Furniture & Decor","","","Green","","","","","",
"255488762798","RVNI1635","Furniture & Decor","","","","","","","","",
"265639547424","RVNI1614","Furniture & Decor","","","Black","","","","","",
"265634276136","RVNI1613","Furniture & Decor","","","Brown","","","","","",
"255488770264","RVNI1611","Furniture & Decor","","","Green","","","","","",
"255483727463","RVNI1610","Furniture & Decor","","","","","","","","",
"265639693444","RVNI1619","Furniture & Decor","","","Black","","","","","",
"255476954905","RVNI1617","Furniture & Decor","","","Blue","","","","","",
"265639765639","RVNI1618","Furniture & Decor","","","Brown","","","","","",
"265634256330","RVNI1616","Furniture & Decor","","","Green","","","","","",
