Item Id,SKU,Type,Brand,Color,Material,Suitable For,Features,Finish,Style,Items included,Number in Pack,Shape,Door Handing,Fixings Supplied,Item Height,Country/Region of Manufacture,Knob Diameter,Item Width,Item Depth,Item Length,Model,MPN,California Prop 65 Warning,Custom Bundle,Bundle Description,Item Weight,Manufacturer Warranty,
"265639717490","ZX9TPNTD235280","Furniture & Decor","PatioPlus","","Nickel","Pocket Door","","Satin","","","","","","","","","","","","","","PA2177961","","","","","",
"255488798637","ZX9TPNTD235277","Furniture & Decor","PatioPlus","","Chrome","Pocket Door","","","","","","","","","","","","","","","","PA1634155","","","","","",
"265639683377","ZX9TPNTD235272","Furniture & Decor","PatioPlus","","Nickel","Pocket Door","","Satin","","","","","","","","","","","","","","PA2006791","","","","","",
"265634310373","ZX9TPNTD235276","Furniture & Decor","PatioPlus","","Chrome","Pocket Door","","","","","","","","","","","","","","","","PA2046370","","","","","",
"265639720806","TPNTD241843","Furniture & Decor","Baldwin Estate","","","","","","","","","","","","","","","","","","","5000003PASS","","","","","",
"265639692309","TPNTD241847","Furniture & Decor","Baldwin Estate","","","","","","","","","Round","","","","","","","","","","5000031PRIV","","","","","",
"255488829131","TPNTD243636","Furniture & Decor","Baldwin Estate","","","","","","","","","Round","","","","","","","","","","5000102PASS","","","","","",
"265644501070","TPNTD241854","Furniture & Decor","Baldwin Estate","","","","","","","","","","","","","","","","","","","5030003PRIV","","","","","",
"265644545356","TPNTD241856","Furniture & Decor","Baldwin Estate","","","","","","","","","","","","","","","","","","","5030031PASS","","","","","",
"255483807599","TPNTD241859","Furniture & Decor","Baldwin Estate","","","","","","","","","","","","","","","","","","","5030102PASS","","","","","",
"255483860813","TPNTD241860","Furniture & Decor","Baldwin Estate","","","","","","","","","","","","","","","","","","","5030102PRIV","","","","","",
"265639506665","TPNTD241861","Furniture & Decor","Baldwin Estate","","","","","","","","","","","","","","","","","","","5054044MR","","","","","",
"265634260287","TPNTD241862","Furniture & Decor","Baldwin Estate","","","","","","","","","","","","","","","","","","","5054055MR","","","","","",
"265644478837","TPNTD241865","Furniture & Decor","Baldwin Estate","","","","","","","","","","","","","","","","","","","5054190MR","","","","","",
"255483919340","TPNTD243638","Furniture & Decor","Baldwin Estate","","","","","","","","","","","","","","","","","","","5054260MR","","","","","",
"255488694786","TPNTD241873","Furniture & Decor","Baldwin Estate","","","","","","","","","","","","","","","","","","","5055190PASS","","","","","",
"265634286262","TPNTD241874","Furniture & Decor","Baldwin Estate","","","","","","","","","","","","","","","","","","","5055190PRIV","","","","","",
"265639793832","TPNTD241880","Furniture & Decor","Baldwin Estate","","","","","","","","","","","","","","","","","","","5068031PASS","","","","","",
"255483854677","TPNTD241884","Furniture & Decor","Baldwin Estate","","","","","","","","","Round","","","","","","","","","","5068056PRIV","","","","","",
"265639700517","TPNTD241888","Furniture & Decor","Baldwin Estate","","","","","","","","","","","","","","","","","","","5068112PRIV","","","","","",
"265639782976","TPNTD241893","Furniture & Decor","Baldwin Estate","","","","","","","","","","","","","","","","","","","5069031PASS","","","","","",
"255483807349","TPNTD241894","Furniture & Decor","Baldwin Estate","","","","","","","","","","","","","","","","","","","5069031PRIV","","","","","",
"255483803595","TPNTD243645","Furniture & Decor","Baldwin Estate","","","","","","","","","","","","","","","","","","","5116031PRIV","","","","","",
"265644512505","TPNTD243648","Furniture & Decor","Baldwin Estate","","","","","","","","","","","","","","","","","","","5125102PASS","","","","","",
"255483704131","TPNTD243652","Furniture & Decor","Baldwin Estate","","","","","","","","","","","","","","","","","","","5162190PRIV","","","","","",
"255483819562","TPNTD243656","Furniture & Decor","Baldwin Estate","","","","","","","","","","","","","","","","","","","5190102PRIV","","","","","",
"255476939530","TPNTD243013","Furniture & Decor","Baldwin Estate","","","","","","","","2","","","","","","","","","","","K007033MR","","","","","",
"255483689321","TPNTD243014","Furniture & Decor","Baldwin Estate","","","","","","","","2","","","","","","","","","","","K007044MR","","","","","Lifetime",
"265644503867","TPNTD243015","Furniture & Decor","Baldwin Estate","","","","","","","","2","","","","","","","","","","","K007102MR","","","","","",
"265644624097","TPNTD243021","Furniture & Decor","Baldwin Estate","","","","","","","","","","","","","","","","","","","K008260MR","","","","","",
"255488788629","TPNTD243026","Furniture & Decor","Baldwin Estate","","","","","","","","","","","","","","","","","","","K009150PASS","","","","","",
"265639570463","TPNTD243032","Furniture & Decor","Baldwin Estate","","","","","","","","","","","","","","","","","","","K009260PASS","","","","","",
"255483830032","TPNTD243033","Furniture & Decor","Baldwin Estate","","","","","","","","","","","","","","","","","","","K009260PRIV","","","","","",
"265639587342","TPNTD243034","Furniture & Decor","Baldwin Estate","","","","","","","","","","","","","","","","","","","K012003MR","","","","","",
"265644590620","TPNTD243541","Furniture & Decor","Baldwin Estate","","","","","","","","","","","","","","","","","","","K012031MR","","","","","",
"255488819814","TPNTD243035","Furniture & Decor","Baldwin Estate","","","","","","","","","","","","","","","","","","","K012044MR","","","","","",
