Item Id,SKU,Room,Features,Color,Material,Brand,Pattern,Shape,Size,Style,Theme,Pile Height,Personalize,Country/Region of Manufacture,Personalized,Regional Design,Type,Item Width,Item Length,Weave,Department,Pile Type,Model,MPN,Bundle Description,California Prop 65 Warning,Custom Bundle,Era,Personalization Instructions,
"265697857733","ZX9ITDR102","","","","","Micasa","","","","","","","","","","","Rugs","","","","","","","MI80642","","","","","",
"255725005329","ZX9SPRCH87065","","","Clear","","StandAlone","","Rectangle","","","","","","","","","Rugs","","","","","","","ST1914409","","","","","",
"265887858899","ZX9DRBL1289","","","","","Esteras Tikar","","","","","","","","","","","Rugs","","","","","","","ES2566439","","","","","",
"255524140954","ZX9KSAO420328","","","Gold","","Solid Storage Supplies","","","","","","","","","","","Rugs","","","","","","","SO362250","","","","","",
"265690550981","ZX9KSAO420356","","","Green","","Solid Storage Supplies","","","","","","","","","","","Rugs","","","","","","","SO355247","","","","","",
"255509829918","ZX9AZCROWCB0310BR","","","Brown","Nylon","H2H","","","","","","","","","","Berber","Rugs","","","","","","","H2187197","","","","","",
"265697800017","ZX9AZCROWCS-0046GY","","","Gray","","H2H","","","","","","","","","","","Rugs","","","","","","","H2187199","","","","","",
"255523949689","AZCROWCB0310BR","","","Brown","Nylon","Crown","","","","","","","","","","Berber","Rugs","","","","","","","CB0310BR","","","","","",
"255539097040","AZCROWCS-0046GY","","","","","Crown","","","","","","","","","","","Rugs","","","","","","","CS-0046GY","","","","","",
"265697785802","AZCROWCU3660BK","","","Black","","Crown","","","","","","","","","","","Rugs","","","","","","","CU3660BK","","","","","",
"255539196638","AZCROWCU3672GY","","","Gray","","Crown","","","","","","","","","","","Rugs","","","","","","","CU3672GY","","","","","",
"265680172812","AZCROWMAFG62BK","","","Black","","Crown","","","","","","","","","","","Rugs","","","","","","","MAFG62BK","","","","","",
"265884111329","ESSEN0679","","","","","Crown Mats & Matting","","","","","","","","","","","Rugs","","","","","","","NR0046CH","","","","","",
"265884156293","AZTY03859","","","","","Crown Mats & Matting","","","","","","","","","","","Rugs","","","","","","","WSTF35BK","","","","","",
"255728865267","AZTY03860","","","","","Crown Mats & Matting","","","","","","","","","","","Rugs","","","","","","","WSTF35TC","","","","","",
"265887569687","AZCROWNR0046GY","","","Gray","","Crown","","","","","","","","","","","Rugs","","","","","","","NR0046GY","","","","","",
"265690584994","AZCROWNR0310BR","","","Brown","","Crown","","","","","","","","","","","Rugs","","","","","","","NR0310BR","","","","","",
"255489055275","AZCROWNR0310GY","","","Gray","","Crown","","","","","","","","","","","Rugs","","","","","","","NR0310GY","","","","","",
"255541624814","AZRCWNSSR310DB","","","","","Crown","","","","","","","","","","","Rugs","","","","","","","SSR310DB","","","","","",
"265669362681","AZCROWWSCT35TC","","","","","Crown","","","","","","","","","","","Rugs","","","","","","","WSCT35TC","","","","","",
"255489042120","ZX9AZCROWCU3660BK","","","Black","","H2H","","","","","","","","","","","Rugs","","","","","","","H2192648","","","","","",
"255524053655","ZX9AZCROWCU3672GY","","","Gray","","H2H","","","","","","","","","","","Rugs","","","","","","","H2734296","","","","","",
"265884166114","SPRCH81843","","","Black","","Deflecto","","","","","","","","","","","Rugs","","","","","","","DEFAF1824PU","","","","","",
"255534572729","SPRCH79346","","","Black","","Deflecto","","","","","","","","","","","Rugs","","","","","","","DEFAF2436PU","","","","","",
