Item Id,SKU,Material,Design,Type,Brand,Features,Finish,Color,Style,Number in Pack,Country/Region of Manufacture,Installation,Compatible Brand,Item Length,Item Weight,Item Width,Item Diameter,MPN,Item Depth,Model,Custom Bundle,California Prop 65 Warning,Compatible Model,Bundle Description,Manufacturer Warranty,
"255483703954","ZX9TPNTD239633","","","Furniture & Decor","OpenSkies","","","","","","","","","","","","","OP2056346","","","","","","","",
"265639720462","TPNTD237460","","","Furniture & Decor","Glynn Johnson","","Satin","","","","","","","","","","","104S32D","","","","","","","",
"265644495579","TPNTD237468","","","Furniture & Decor","Glynn Johnson","","Satin","","","","","","","","","","","452S32D","","","","","","","",
"265634283003","TPNTD237470","","","Furniture & Decor","Glynn Johnson","","Satin","","","","","","","","","","","453S32D","","","","","","","",
"255483654743","TPNTD237473","Bronze","","Furniture & Decor","Glynn Johnson","","Bronze","","","","","","","","","","","454S10B","","","","","","","",
"255488808341","TPNTD237475","","","Furniture & Decor","Glynn Johnson","","Satin","","","","","","","","","","","454S32D","","","","","","","",
"265639591029","TPNTD237480","","","Furniture & Decor","Glynn Johnson","","Satin","","","","","","","","","","","904S32D","","","","","","","",
"255483875861","ZX9TPNTD239640","Cast Iron","","Furniture & Decor","OpenSkies","","","","","","","","","","","","","OP2001756","","","","","","","",
"255476942539","ZX9TPNTD239646","","","Furniture & Decor","OpenSkies","","","","","","","","","","","","","OP2056130","","","","","","","",
"265644603188","ZX9TPNTD239520","","","Furniture & Decor","OpenSkies","","","","","","","","","","","","","OP1621551","","","","","","","",
"265639662755","ZX9TPNTD239650","","","Furniture & Decor","OpenSkies","","","","","","","","","","","","","OP2155583","","","","","","","",
"265639536266","ZX9TPNTD239647","","","Furniture & Decor","OpenSkies","","","","","","","","","","","","","OP2056347","","","","","","","",
"255483814877","ZX9TPNTD239354","","","Furniture & Decor","OpenSkies","","","","","","","","","","","","","OP2155562","","","","","","","",
"265639561015","ZX9TPNTD239364","","","Furniture & Decor","OpenSkies","","","","","","","","","","","","","OP2030600","","","","","","","",
"255483757110","ZX9TPNTD237460","Stainless Steel","","Furniture & Decor","PG Perfect","","Satin","","","4","","","","","","","","PG1647300","","","","","","","",
"255476984842","ZX9TPNTD237480","Stainless Steel","","Furniture & Decor","PG Perfect","","Satin","","","4","","","","","","","","PG1628031","","","","","","","",
"255530019351","ZX9TPNTD237482","Stainless Steel","","Furniture & Decor","PG Perfect","","Satin","","","6","","","","","","","","PG1628032","","","","","","","",
"255476931673","ZX9TPNTD237473","Bronze","","Furniture & Decor","PG Perfect","","Bronze","","","4","","","","","","","","PG1634253","","","","","","","",
"255476919033","ZX9TPNTD237468","Stainless Steel","","Furniture & Decor","PG Perfect","","Satin","","","2","","","","","","","","PG1633616","","","","","","","",
"255483857242","ZX9TPNTD237470","Stainless Steel","","Furniture & Decor","PG Perfect","","Satin","","","3","","","","","","","","PG1647301","","","","","","","",
"255483878739","ZX9TPNTD237475","Stainless Steel","","Furniture & Decor","PG Perfect","","Satin","","","4","","","","","","","","PG1635195","","","","","","","",
"255483838279","ZX9TPNTD239643","Cast Iron","","Furniture & Decor","OpenSkies","","","","","","","","","","","","","OP2005185","","","","","","","",
"255483732611","ZX9TPNTD239651","","","Furniture & Decor","OpenSkies","","","","","","","","","","","","","OP2063973","","","","","","","",
"255483939509","TPNTD239354","","","Furniture & Decor","Sargent","","","","","","","","","","","","","25CPSEN","","","","","","","",
"255488828822","TPNTD239364","","","Furniture & Decor","Sargent","","","","","","","","","","","","","25PSEN","","","","","","","",
"255483760664","TPNTD239520","","","Furniture & Decor","Sargent","","","","","","","","","","","","","351CPSEN","","","","","","","",
"255483968771","TPNTD239633","","","Furniture & Decor","Sargent","","","","","","","","","","","","","TB1431CPSEN","","","","","","","",
"265639672476","TPNTD239640","Cast Iron","","Furniture & Decor","Sargent","","","","","","","","","","","","","TB281CPSEN","","","","","","","",
"265639752442","TPNTD239643","Cast Iron","","Furniture & Decor","Sargent","","","","","","","","","","","","","TB281PSEN","","","","","","","",
"265644593267","TPNTD239646","","","Furniture & Decor","Sargent","","","","","","","","","","","","","TB351CPSEN","","","","","","","",
"265639795159","TPNTD239647","","","Furniture & Decor","Sargent","","","","","","","","","","","","","TB351CPSHEN","","","","","","","",
"265634271467","TPNTD239650","","","Furniture & Decor","Sargent","","","","","","","","","","","","","TB351PSEN","","","","","","","",
"265634297416","TPNTD239651","","","Furniture & Decor","Sargent","","","","","","","","","","","","","TB351PSHEN","","","","","","","",
"265639681586","TPNTD239652","","","Furniture & Decor","Sargent","","","","","","","","","","","","","TB351UHEN","","","","","","","",
"255476945074","ZX9TPNTD239652","","","Furniture & Decor","OpenSkies","","","","","","","","","","","","","OP2030610","","","","","","","",
