Item Id,SKU,Size,Brand,Style,Size Type,Dress Length,Sleeve Length,Color,Occasion,Pattern,Material,Fabric Type,Neckline,Accents,Theme,Character,Vintage,Department,Sleeve Type,Features,Season,Closure,Country/Region of Manufacture,Personalize,Garment Care,Handmade,California Prop 65 Warning,MPN,Personalization Instructions,
"254742616766","304505","Size 0","Badgley Mischka","Belle Badgley Mischka Black Gold Fringe Hem Party Dress""","Size 0","Midi","Sleeveless","Black & Gold","Party/Cocktail","Geometric","","","Round Neck","Tasseled","Metal","Belle","No","Women","sleeveless","","","Zip","","","","","","Belle-Black-&-Gold-Party-Dress","",
"265218554550","",,"Unbranded","Bodycon,Mini,Slip Dress","Regular","Short","Sleeveless",,"Casual,Formal,Party/Cocktail","Solid","Nylon","Knit","Round Neck","Strap","Party Cocktail Semi Formal","Ladies","No","Women","sleeveless","Backless,Stretch","Fall,Spring,Summer,Winter","Pullover","","","","","","","",
"265218554550","","S/M",,,,,,"Midnight Navy",,,,,,,,,,,,,,,,,,,,,,
"265218554550","","S/M",,,,,,"Coffee",,,,,,,,,,,,,,,,,,,,,,
"265218554550","","S/M",,,,,,"Dark Mauve",,,,,,,,,,,,,,,,,,,,,,
"265218554550","","L/XL",,,,,,"Midnight Navy",,,,,,,,,,,,,,,,,,,,,,
"265218554550","","L/XL",,,,,,"Coffee",,,,,,,,,,,,,,,,,,,,,,
"265218554550","","L/XL",,,,,,"Dark Mauve",,,,,,,,,,,,,,,,,,,,,,
"265622004175","308068",,"Unbranded","A-Line,Ball Gown,Maxi","Regular","Long","Sleeveless","Blue","Formal,Party/Cocktail,Wedding","Solid","Blended Fabric","Satin","V-Neck","Pleated","Bridesmaid","Bridesmaid","No","Women","Sleeveless","Side Slit","Fall,Spring,Summer,Winter","Zip","","","","","","","",
"265622004175","308069","M",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265622004175","308070","L",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255469655778","308079","L","Unbranded","Bodycon","Regular","Short","Sleeveless","Tan","Party/Cocktail,Wedding","Solid, Glitter,","Polyester Cotton Blend","Stretchy Fabric","Off the Shoulder","Ruched","Sexy,Party,nightclub","Party Dress","No","Women","Strapless","Backless,Ruched,Stretch","Fall,Spring,Summer,Winter","Zip","","","","","","","",
"265417569395","307955",,"Unbranded","Micro Mini","Regular","Short","Sleeveless","Green","Casual,Party/Cocktail","Striped","Polyester Blend","Satin","Halter","Bodycon short mini","night-out dress","clubwear party dress","","Women","sleeveless","Backless,Collarless,Stretch","Fall,Spring,Summer,Winter","","","","","","","","",
"265417569395","307956","S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265417569395","307957","M",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265417569395","307958","L",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255472158178","308083","One Size","Unbranded","A-Line,Kaftan,Maxi,Sundress","Regular","Long","Sleeveless","Green","Casual,Travel","Floral","Polyester Blend","Chiffon","O-Neck","Florel","Summer","Beach","No","Women","sleeveless","Lined","Spring,Summer","Pullover","","","","","","","",
"265630295529","308084","One Size","Unbranded","A-Line,Kaftan,Maxi,Sundress","Regular","Long","Sleeveless","White","Casual,Travel","Floral","Polyester Blend","Chiffon","O-Neck","Florel","Summer","Beach","No","Women","sleeveless","Elastic Waist","Spring,Summer","Pullover","","","","","","","",
"264838564169","299055",,"Interloper","Vintage Bohemian Maxi Long Dress","Regular","Long","Short Sleeve","Blue White Yellow","Casual,Formal,Holy Communion,Party/Cocktail,Travel","Floral","Polyester","polyester","V-Neck","Floral Maxi","BOHO Summer Dress","BOHO","No","Women","Short","Wrap","Fall,Spring,Summer","Button & Draw Cord","","","","","","BOHO-Floral-Maxi-Summer-Beach-Dress","",
"264838564169","301890","S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264838564169","301889","M",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264838564169","301888","L",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264838564169","301887","XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264838564169","301886","2XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265622185553","308071",,"Unbranded","Ball Gown","Regular","Long","Sleeveless","Gold","Business,Formal,Party/Cocktail,Wedding","sequined","Polyester Blend","Microfiber","V-Neck","Sequin","Wedding","Bridesmaid","No","Women","sleeveless","Pleated","Fall,Spring,Summer,Winter","Zip","","","","","","","",
"265622185553","308072","M",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265622185553","308073","L",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265622185553","308074","XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265619953406","308065",,"Unbranded","Ball Gown","Regular","Hi-Low","Sleeveless","Blue","Formal,Party/Cocktail,Wedding","Sequin","Polyester Blend","Knit","Off the Shoulder","Glitter,Layered,Sequin,Zipper","Wedding","Prom","No","Women","Off the Shoulder","Lined","Fall,Spring,Summer,Winter","Zip","","","","","","","",
"265619953406","308066","M",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265619953406","308067","L",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255241100942","307950",,"Unbranded","Maxi","Regular","Long","Sleeveless","Maroon","Formal,Party/Cocktail,Wedding","Lace","Polyester Blend","Lace","O Neck","Layered","Designer","Modern Fashion","","Women","sleeveless","","Fall,Spring,Summer,Winter","","","","","","","","",
"255241100942","307951","S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255241100942","307952","M",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255241100942","307953","L",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255241100942","307954","XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265629986090","308080",,"Unbranded","A-Line,Ball Gown,Maxi","Regular","Long","Sleeveless","Gold","Business,Formal,Party/Cocktail,Wedding","sequined","Sequin","Microfiber","V-Neck","Sequin","Formal Events","Bridesmaid","No","Women","sleeveless","Floor Length","Fall,Spring,Summer,Winter","Zip","Unknown","No","Dry Clean Only","No","","","",
"265629986090","308081","M",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265629986090","308082","L",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255797288095","308446","M","Coach","Midi","Regular","Knee Length","Half Sleeve","Pink Neutral","Cocktail","sequin","Mixed","Chiffon","Round Neck","Sequin","formal dress sequined","classic dress","No","Women","","sequin","All Seasons","Slip On","","No","Dry Clean Only","No","","","",
"264876977412","302056",,"Generic","Round neck ruffle hem long dress","Regular","Long","3/4 Sleeve","Black","Business,Casual,Formal,Holy Communion,Travel,Workwear","Solid","Viscose Polyester Blend","Microfiber","Round Neck","3/4 sleeve","Long Sleeve Maxi","Black NAP Dress","Yes","Women","3/4 sleeve","NAP Dress","Fall,Spring,Summer,Winter","Pullover","","","","","","Women's-3/4-sleeve-long-Black-Maxi-dres","",
"264876977412","302060","XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264876977412","302059","L",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264876977412","302058","M",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264876977412","302057","S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255474806988","308085",,"Unbranded","A-Line,Ball Gown,Fit & Flare","Plus","Long","Short Sleeve","Yellow","Casual,Formal,Holy Communion,Party/Cocktail,Travel","Floral","Polyester","Chiffon","O-Neck","Pleated","Summer, Beach, Vacation,","Plus Size Women","No","Women","Asymmetrical Sleeve","Asymmetric,Lightweight","Spring,Summer","Pullover","","","","","","","",
"255474806988","308086","L",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255474806988","308087","XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255474806988","308088","2XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
