Item Id,SKU,Connector A,Type,Connector B,Brand,Cable Length,Connection Split/Duplication,Features,Color,Country/Region of Manufacture,Compatible Brand,Compatible Model,Output Voltage,MPN,Custom Bundle,Bundle Description,California Prop 65 Warning,Item Height,Item Length,Item Width,Manufacturer Warranty,
"254093318797","113337","40 Pin","Flat IDE Cable","","Generic","16 in","1:2","Flat Cable","","","","","","2-Device-IDE-cable","No","","","","","","",
"254093337912","115662","","IDE Cable","","Interloper","","1:2","Flat Cable","","","","","","Two-Device-IDE-Flat-Ribbon-Cables-(80)","","","","","","","",
"254093293592","107111","","Flat Cable","","Generic","","1:2","Flat Cable","","","","","","18""-80-wire-40-pin-flat-ribbon-cable--","","","","","","","",
"264663536692","115652","40 Pin","flat cable","","Interloper","","","Flat Cable","","","","","","Two-Device-IDE-Flat-Ribbon-Cables-(40)","","","","","","","",
"254093318705","113301","","Flat IDE Cable","","Generic","","1:2","Flat Cable","","","Universal","40 wire","","18""-Dual-Drive-Ultra-IDE","","","","","","","",
"254093280449","103335","","Does Not Apply","","Generic","","","","","","","","","Does Not Apply","","","","","","","",
"265655789173","","IDC40","Cable","IDC40","Vaster","2 ft","1:2","Round Cable","Black","","","40-Pin 80-Wire","","ATA133-324C","","","","","","","",
"264161262453","107207","","Floppy Cable","","Generic","22 in","1:3","Flat Cable","","","","","","3-Device-Floppy-Cable","","","","","","","",
"265655793234","","IDC40","Cable","IDC40","Vantec","2 ft","1:2","Round Cable","Blue","","","40-Pin 80-Wire","","ATA133-324C","","","","","","","",
"254093292540","106919","","Does Not Apply","DB25","Generic","","","","","","","","","Does Not Apply","","","","","","","",
"254093292743","106933","","Does Not Apply","","Generic","","","","","","","","","Does Not Apply","","","","","","","",
"264161261904","107104","","Floppy Cable","","Generic","","1:4","Flat Cable","","","","","","Does Not Apply","No","","","","","","",
"254093292948","106953","","Does Not Apply","","Generic","","","","","","","","","Does Not Apply","","","","","","","",
"254093288846","106003","","Does Not Apply","","Generic","","","","","","","","","Does Not Apply","","","","","","","",
"254093292378","106912","","Does Not Apply","","Generic","","","","","","","","","7-Drive-Ribbon-Cable","","","","","","","",
"264161261168","106964","","Does Not Apply","","Generic","","","","","","","","","Does Not Apply","","","","","","","",
"264161260644","106921","","Does Not Apply","","Generic","","","","","","","","","Does Not Apply","","","","","","","",
"254093284461","104327","","Does Not Apply","","Generic","","","","","","","","","50Pin-Male-80Pin-(SCA)-to-68Pin-Female","","","","","","","",
"254925287919","126878","","All-Purpose","","Adaptec","","","","","","","","","2282800-R","","","","","","","",
"264161257556","106120","Floppy Drive","Does Not Apply","Floppy Drive","Generic","","","","","","","","","Does Not Apply","","","","","","","",
"264656899101","100482","","Does Not Apply","","Generic","","","","","","","","","Gender-Changer","","","","","","","",
"254093288378","105295","","Does Not Apply","","Generic","","","","","","","","","Does Not Apply","","","","","","","",
"264161259865","106728","","Does Not Apply","","Generic","","","","","","","","","LVD/SE","","","","","","","",
"254528489305","106726","","Does Not Apply","","Generic","","","","","","","","","Does Not Apply","","","","","","","",
"254528489347","106782","","Does Not Apply","","Generic","","","","","","","","","Does Not Apply","","","","","","","",
"254528488896","105274","","Does Not Apply","","Generic","","","","","","","","","Does Not Apply","","","","","","","",
"254634411327","106196","","Does Not Apply","","Generic","","","","","","","","","Does Not Apply","","","","","","","",
"264161249168","103752","","Does Not Apply","","Generic","","","","","","","","","Dual-68pin-VHDCI-to-68pin-HD(Female)","","","","","","","",
"254093291210","106651","","Does Not Apply","","Generic","","","","","","","","","(VHDCI-SCSI-4)-Active/LVD-Terminator-w/","","","","","","","",
"254093288979","106100","","Does Not Apply","","Generic","","","","","","","","","Does Not Apply","","","","","","","",
"264663536615","115641","","Does Not Apply","","Interloper","","","","","","","","","Bracket-Mounted-Dual-Serial-Ports","","","","","","","",
"254093320590","114848","","Does Not Apply","","Interloper","","","","","","","","","Molex-4-Pin-to-SATA","","","","","","","",
"254537551362","115661","","Does Not Apply","","Interloper","","","","","","","","","Single-Device-Flat-Floppy-Cables","","","","","","","",
"264663536638","115646","","Does Not Apply","","Interloper","","","","","","","","","Three-Device-Flat-Floppy-Cables","","","","","","","",
"254537551226","115651","","Does Not Apply","","Interloper","","","","","","","","","Two-Device-IDE-Cables","","","","","","","",
"254093292246","106900","","Does Not Apply","","Generic","","","","","","","","","6-Drive-Ribbon-Cable","","","","","","","",
"254528489286","106637","","Does Not Apply","","Generic","","","","","","","","","Does Not Apply","","","","","","","",
"264161260482","106915","","Does Not Apply","","Generic","","","","","","","","","Does Not Apply","","","","","","","",
"254093292298","106911","","Does Not Apply","","Generic","","","","","","","","","50-Pin-SCSI","","","","","","","",
"264653291259","106910","","Does Not Apply","","Generic","","","","","","","","","50-Pin-SCSI","","","","","","","",
"264653291241","106898","","Does Not Apply","","Generic","","","","","","","","","50-Pin-SCSI","","","","","","","",
"254537551702","115710","","Does Not Apply","","Generic","","","","","","","","","68-Pin-SCSI","","","","","","","",
"264410481080","106961","","Does Not Apply","","Generic","","","","","","","","","to-Centronics-50-Female","","","","","","","",
"264662519888","103331","","Does Not Apply","","Generic","","","","","","","","","Slim-FDD-Adapter-Mitsumi","","","","","","","",
"254093318056","112972","Floppy Drive","Does Not Apply","Floppy Drive","Generic","","","","","","","","","Single-Device-Flat-Floppy-Cable","","","","","","","",
"254093319122","113396","","Does Not Apply","","Generic","","","","","","","","","Single-Device-IDE-cable","","","","","","","",
"264161249465","103932","","Does Not Apply","","Startech","","","","","","","","","Does Not Apply","","","","","","","",
"254376146748","126504","","Does Not Apply","","Super Micro Computer","","","","","","","","","MCP-410-00005-0N","","","","","","","",
"264523133574","154602","","Does Not Apply","","Supermicro","","","","Brown","","","","","CBL-PWEX-1040","","","","","","","",
