Item Id,SKU,Contact Material,Brand,Connector Style,Material,Color,Type,Country/Region of Manufacture,MPN,Custom Bundle,Bundle Description,California Prop 65 Warning,Item Length,
"255453145783","ZX9HWRDL1561","","BrightBoom","","","White","Outdoor Lighting","","BR748501","","","","",
"255444407126","TRVAL106158","","Alpine","","","","Outdoor Lighting","","215329","","","","",
"255453145647","ACHR147013","","Alpine","","","","Outdoor Lighting","","8015847","","","","",
"265603580623","ESMG021","","EE Systems Group","","","","Outdoor Lighting","","EE810W-SH10","","","","",
"255453130837","ESMG023","","EE Systems Group","","","","Outdoor Lighting","","EE820W-SH20","","","","",
"265612032159","ESMG012","","EE Systems Group","","","","Outdoor Lighting","","EE850W-SHRC30","","","","",
"255444458338","ESMG1048","","eLEDing","","","","Outdoor Lighting","","EE803WLL","","","","",
"265634134595","ESMG1055","","eLEDing","","","Gray","Outdoor Lighting","","EE820W4F","","","","",
"255453127772","ESMG1068","","eLEDing","","","Brown","Outdoor Lighting","","EE820W-AI20","","","","",
"255444428535","ZX9TRVAL85034","","VividLighting","","","","Outdoor Lighting","","VI138438","","","","",
"255444421684","TRVAL114738","","Headwind Consumer Products","","","","Outdoor Lighting","","241584","","","","",
"255453139086","HWRDL1567","","Howard Lighting","","","","Outdoor Lighting","","L401L40W40KT510GRM","","","","",
"255453131303","HWRDL1568","","Howard Lighting","","","","Outdoor Lighting","","L401L65W40KT310GRM","","","","",
"265612025035","HWRDL1597","","Howard Lighting","","","","Outdoor Lighting","","L401L65W40KT510GRM","","","","",
"255453121346","HWRDL1561","","Howard Lighting","","","","Outdoor Lighting","","L402L100W40KT310GRM","","","","",
"255453134553","HWRDL1562","","Howard Lighting","","","","Outdoor Lighting","","L402L80W40KT310GRM","","","","",
"255453115049","HWRDL1572","","Howard Lighting","","","","Outdoor Lighting","","XAL-5220-LED-MV","","","","",
"265597097709","TRVAL112773","","RING","Ring","","Black","Outdoor Lighting","","235671","","","","",
"255444363206","ZX9FLG006","Bronze","Brillantina","","Bronze","Black","Outdoor Lighting","","BR1661297","","","","",
"265634150294","ZX9ESMG1055","","VividLighting","","","Gray","Outdoor Lighting","","VI1729075","","","","",
"265743124664","EXSL1069","","Spartan Camera","","","","Outdoor Lighting","","SC-SP-KIT-10","","","","",
