Item Id,SKU,Number of Drawers,Features,Material,Type,Brand,MPN,Model,Custom Bundle,Bundle Description,Modified Item,Modification Description,California Prop 65 Warning,Country/Region of Manufacture,
"265735830695","ZX9SPRCH87295","1","","","Storage Cabinets","Chesterfield","CH1623406","","","","","","","",
"255580980250","ZX9SSN16650","","","Laminate","Storage Cabinets","SeatSolutions","SE524421","","","","","","","",
"255581106731","ZX9SPRCH83369","","","","Storage Cabinets","Made4Mattress","MA1625155","","","","","","","",
"255581143428","ZX9SPRCH26219","","","","Storage Cabinets","NewestEdition","NE127424","","","","","","","",
"255581075578","ZX9SPRCH26221","","","","Storage Cabinets","NewestEdition","NE127425","","","","","","","",
"255580958976","ZX9SPRCH40037","","Rolling","","Storage Cabinets","NewestEdition","NE686833","","","","","","","",
"265735895916","ZX9SPRCH87915","5","","","Storage Cabinets","FixturesFirst","FI1646479","","","","","","","",
"265735940943","ZX9SPRCH87544","","","","Storage Cabinets","FixturesFirst","FI1620618","","","","","","","",
"265735830791","SSN50651","","","","Storage Cabinets","Ability One","1328973","","","","","","","",
"265735911101","SSN42876","","","","Storage Cabinets","Advantus","VF96033","","","","","","","",
"265735707188","ALBA1124","","","","Storage Cabinets","Alba","DDPURM","","","","","","","",
"255581190634","ALBA1125","4","","","Storage Cabinets","Alba","DDPURS","","","","","","","",
"255581188768","ESSEN11141","2","Lockable","Wood","Vertical","Alera","VABFES","Alera Valencia Series Mobile Box","","","","","","",
"255581243917","AZALERSW543018BA","","Rolling","","Storage Cabinets","Alera","SW543018BA","","","","","","","",
"265735887524","SSN44259","","","","Storage Cabinets","Alera","VA582816MC","","","","","","","",
"265735803192","SSN44260","","","","Storage Cabinets","Alera","VA582816MY","","","","","","","",
"255581126776","AMFN1558","","","","Storage Cabinets","American Furniture Classics","22112","","","","","","","",
"265735617711","AMFN1687","","","","Storage Cabinets","American Furniture Classics","25512","","","","","","","",
"265735687628","AMFN1690","","","","Storage Cabinets","American Furniture Classics","25515","","","","","","","",
"255581108273","AMFN1672","","","","Storage Cabinets","American Furniture Classics","33242","","","","","","","",
"255581112203","AMFN1636","","","","Storage Cabinets","American Furniture Classics","41000","","","","","","","",
"255581089760","AMFN1655","6","","","Storage Cabinets","American Furniture Classics","51001","","","","","","","",
"265735859235","AMFN1656","6","","","Storage Cabinets","American Furniture Classics","52001","","","","","","","",
"265735604491","BMBOO126","","","","Storage Cabinets","Bamboo54","5837","","","","","","","",
"255581113378","AZBANK00648","4","","","Storage Cabinets","Bankers Box","00648","","","","","","","",
"265735952127","GRN60619","","","","Storage Cabinets","Barska Optics","CB13256","","","","","","","",
"265735664908","QKWY1439","5","","","Storage Cabinets","Basicwise","QI003677W","","","","","","","",
"265735610500","QKWY1225","","","","Storage Cabinets","Basicwise","QI003951.WT","","","","","","","",
"265735802351","AZBUSHWC24453SU","","","","Storage Cabinets","Bush","WC24453SU","","","","","","","",
"255581009517","AZBUSHWC72453SU","8","","","Storage Cabinets","Bush","WC72453SU","","","","","","","",
"265735926988","ZX9SPRCH69193","","","","Storage Cabinets","SeatSolutions","SE687154","","","","","","","",
"265735866848","ZX9SPRCH69178","","","","Storage Cabinets","SeatSolutions","SE521688","","","","","","","",
"255580941591","CNGR2340","1","","","Storage Cabinets","Cheungs","4564","","","","","","","",
"265735834147","ZX9SPRCH27079","","","","Storage Cabinets","BetterBeds","BE939897","","","","","","","",
"255581032418","MYRD123264","2","","","Storage Cabinets","CREATIVE PRODUCTS","CPGKEY-GLCABINET2-5K","","","","","","","",
"265735952787","ZX9AZBANK00648","4","","","Storage Cabinets","ComfortCreator","CO706620","","","","","","","",
"265735870212","SPRCH28080","6","","","Storage Cabinets","Deflect-O Corporation","DEF693104","","","","","","","",
"255581175090","ZX9SFC1031","","","","Storage Cabinets","BetterBeds","BE810814","","","","","","","",
"265735842801","SPRCH29198","","","","Storage Cabinets","Fellowes Mfg. Co.","FEL40912","","","","","","","",
"265735680416","SSN64430","","","","Storage Cabinets","Gen","GEN7110CT","","","","","","","",
"255580959919","SSN64677","","","","Storage Cabinets","Gen","GEN7112CT","","","","","","","",
"265735853299","SSN64577","","","","Storage Cabinets","Gen","GEN7116CT","","","","","","","",
"265735829293","SPRCH87842","","","","Storage Cabinets","Genuine Joe","GJO11576CT","","","","","","","",
"255581228240","SPRCH88182","1","","","Storage Cabinets","Genuine Joe","GJO11577CT","","","","","","","",
"265735809944","SPRCH87295","1","","","Storage Cabinets","Genuine Joe","GJO11579CT","","","","","","","",
"255581108515","ZX9SFC687","8","","","Storage Cabinets","BetterBeds","BE124634","","","","","","","",
"265735727804","ZX9SPRCH69170","","","","Storage Cabinets","SeatSolutions","SE521687","","","","","","","",
"255581000644","HOST2246","","","","Storage Cabinets","Homestyles","5079-01","","","","","","","",
"265735709280","HOST2617","","","","Storage Cabinets","Homestyles","5149-01","","","","","","","",
"265735693085","HOST2612","","","","Storage Cabinets","Homestyles","5450-01","","","","","","","",
"265735742307","CLDST31355","3","","","Storage Cabinets","Hon","HBMP2BP","","","","","","","",
"265735730260","SSN16650","","","Laminate","Storage Cabinets","Hon","H1522.COGN","","","","","","","",
"255581204093","SPRCH105240","","","","Storage Cabinets","Hon","HONUFO15NLOFT","","","","","","","",
"265735733509","SPRCH105237","","","","Storage Cabinets","Hon","HONUFO15NP02","","","","","","","",
"255581004390","ZX9SPRCH69153","","","","Storage Cabinets","SeatSolutions","SE513458","","","","","","","",
"265735860907","IFD2587","","","Wood","Storage Cabinets","KB","CU1442","","","","","","","",
"255581069146","IFD2588","","","Wood","Storage Cabinets","KB","CU1443","","","","","","","",
"265735691721","IFD2082","","","Wood","Storage Cabinets","KB","K06","","","","","","","",
"255581092624","IFD2597","","","Wood","Storage Cabinets","KB","K110","","","","","","","",
"265735744958","IFD2581","","","Wood","Storage Cabinets","KB","WR1348","","","","","","","",
"265735599100","IFD2584","","","Wood","Storage Cabinets","KB","WR1352","","","","","","","",
"265735732225","IFD2585","","","Wood","Storage Cabinets","KB","WR1355","","","","","","","",
"255581128843","SDSS1391","","","","Storage Cabinets","Kings Furniture","K544","","","","","","","",
"265735850849","ZX9HDIP1776","","","","Storage Cabinets","Made-to-Order","MA1624693","","","","","","","",
"255581027140","SPRCH86855","","","","Storage Cabinets","Lorell","LLR00013","","","","","","","",
"255581188542","SPRCH86864","","","","Storage Cabinets","Lorell","LLR00025","","","","","","","",
"255581162448","SPRCH86865","","","","Storage Cabinets","Lorell","LLR00026","","","","","","","",
"265735871774","SPRCH91928","3","","","Storage Cabinets","Lorell","LLR00060NY","","","","","","","",
"265735754224","SPRCH91927","3","","","Storage Cabinets","Lorell","LLR00060RD","","","","","","","",
"255581215665","SPRCH100687","","","","Storage Cabinets","Lorell","LLR00060TL","","","","","","","",
"265735778971","SPRCH91926","3","","","Storage Cabinets","Lorell","LLR00060WE","","","","","","","",
"265735641007","SPRCH85569","","","","Storage Cabinets","Lorell","LLR01930","","","","","","","",
"255581199414","SPRCH91932","","","","Storage Cabinets","Lorell","LLR03097BK","","","","","","","",
"255581136550","SPRCH91935","","","","Storage Cabinets","Lorell","LLR03097NY","","","","","","","",
"255581074229","SPRCH91934","","","","Storage Cabinets","Lorell","LLR03097SR","","","","","","","",
"255580972839","SPRCH91933","","","","Storage Cabinets","Lorell","LLR03097WE","","","","","","","",
"265735834922","SPRCH39548","","","","Storage Cabinets","Lorell","LLR42290","","","","","","","",
"265735712109","SPRCH39549","","","","Storage Cabinets","Lorell","LLR42291","","","","","","","",
"255581165677","SPRCH39550","","","","Storage Cabinets","Lorell","LLR42292","","","","","","","",
"265735751775","SPRCH102879","3","","","Storage Cabinets","Lorell","LLR42296","","","","","","","",
