Item Id,SKU,Type,Fuel Type,Indoor/Outdoor,Items included,Shape,Brand,Material,Size,Color,Cooking Area Width,Finish,Cooking Area Length,Item Height,Mounting,Item Width,Item Diameter,Item Depth,Style,Features,Country/Region of Manufacture,Year Manufactured,Required Tools,Assembly Required,Item Weight,Manufacturer Warranty,MPN,Model,California Prop 65 Warning,Custom Bundle,Bundle Description,Power,
"255483949834","ZX9PTPR004","Firepits & Outdoor Fireplaces","","","","","PatioPlus","","","","","","","","","","","","","","","","","","","","PA939736","","","","","",
"255476981275","ZX9RTL12CR027","Firepits & Outdoor Fireplaces","","","","","GrillTown","","","","","Bronze","","","","","","","","","","","","","","","GR121796","","","","","",
"265644563776","ZX9AMFGS1179","Firepits & Outdoor Fireplaces","Propane","","","","Piazza","","","","","","","","","","","","","","","","","","","","PI171205","","","","","",
"255483750422","ZX9AMFGS1677","Firepits & Outdoor Fireplaces","","","Cover","","Piazza","Stainless Steel","","","","","","","","","","","","","","","","","","","PI4444","","","","","",
"255488743761","ZX9AMFGS1310","Firepits & Outdoor Fireplaces","","","","","Piazza","Stainless Steel","","","","","","","","","","","","","","","","","","","PI614886","","","","","",
"255476930636","ZX9AMFGS1311","Firepits & Outdoor Fireplaces","","","","","Piazza","Stainless Steel","","","","","","","","","","","","","","","","","","","PI36717","","","","","",
"255488698496","ZX9AMFGS1678","Firepits & Outdoor Fireplaces","","","Cover","","Piazza","Stainless Steel","","","","","","","","","","","","","","","","","","","PI4445","","","","","",
"255483797120","ZX9AMFGS1295","Firepits & Outdoor Fireplaces","","","","","Piazza","Stainless Steel","","","","","","","","","","","","","","","","","","","PI166865","","","","","",
"265644481408","ZX9AMFGS1698","Firepits & Outdoor Fireplaces","","","","","Piazza","","","","","","","","","","","","","","","","","","","","PI4447","","","","","",
"265639583619","ZX9AMFGS1229","Firepits & Outdoor Fireplaces","","","","","Piazza","Stainless Steel","","","","","","","","","","","","","","","","","","","PI36715","","","","","",
"265639766095","ZX9AMFGS1699","Firepits & Outdoor Fireplaces","","","","","Piazza","","","","","","","","","","","","","","","","","","","","PI614888","","","","","",
"255483742592","CGP1396791","Firepits & Outdoor Fireplaces","","","","","American Fire Glass","Stainless Steel","","","","","","","","","","","","","","","","","","","SS-AFPP-30","","","","","",
