Item Id,SKU,Type,Brand,Interface,Compatible With,Cache,Features,Color,Form Factor,Write Speed,Product Line,Drive Type(s) Supported,Storage Capacity,Readable Format,Writable Format,Country/Region of Manufacture,Model,MPN,Custom Bundle,Bundle Description,California Prop 65 Warning,Item Height,Item Length,Item Width,Manufacturer Warranty,Read Speed,Storage Format,Transfer Rate,
"264662520567","104365","External Drive","Canon","","Laptop","","","","","","","","","","","","","MD3661","","","","","","","","","","",
"254536743040","104395","External Drive","Gateway","","","","","","","","","","","","","","","Does Not Apply","","","","","","","","","","",
"254536743002","104393","External Drive","Gateway","","","","","","","","","","","","","","","5500676","","","","","","","","","","",
"264161250362","104384","External Drive","Gateway","","Laptop","","","","","","","","","","","","","Does Not Apply","","","","","","","","","","",
"264653290162","104492","External Floppy Drive enclosure","IBM","","","","","","","","","","","","","","","05K5907","","","","","","","","","","",
"264662520549","104341","External Drive","IBM","","Laptop","","","","","","","","","","","","","Does Not Apply","","","","","","","","","","",
"254524668504","104425","Internal Desktop Drive","Mitsubishi","","","","","","","","","","","","","","","Does Not Apply","","","","","","","","","","",
"264662520627","104423","Internal (Desktop)","Mitsubishi","","","","","","","","","","","","","","","Does Not Apply","","","","","","","","","","",
"254093285062","104420","Internal Desktop Drive","Mitsubishi","","","","","","","","","","","","","","","MF355H-348MN","","","","","","","","","","",
"264161250550","104412","Internal Desktop Drive","Mitsubishi","","","","","","","","","","","","","","","Does Not Apply","","","","","","","","","","",
"254093285210","104426","Internal Laptop Drive","Mitsubishi","","","","","","","","","","","","","","","Does Not Apply","","","","","","","","","","",
"264662520534","104333","Internal (Laptop)","Mitsumi","","Laptop","","","","","","","","","","","","","Does Not Apply","","","","","","","","","","",
"264161250978","104434","Internal Laptop Drive","Panasonic","","Laptop","","","","","","","","","","","","","Does Not Apply","","","","","","","","","","",
"264161247784","103474","Laptop floppy drive","Panasonic","","Laptop","","","","","","","","","","","","","Does Not Apply","","","","","","","","","","",
"254537435360","104436","Internal Laptop Drive","Panasonic","","","","","","","","","","","","","","","JU-226A03F","","","","","","","","","","",
"254539538711","104435","Internal Laptop Drive","Panasonic","","Laptop","","","","","","","","","","","","","JU-226A06F","","","","","","","","","","",
"254539538693","104433","Internal Laptop Drive","Panasonic","","Laptop","","","","","","","","","","","","","Does Not Apply","","","","","","","","","","",
"254539538674","104432","Internal Laptop Drive","Panasonic","","Laptop","","","","","","","","","","","","","Does Not Apply","","","","","","","","","","",
"254539538652","104431","Internal Laptop Drive","Panasonic","","Laptop","","","","","","","","","","","","","Does Not Apply","","","","","","","","","","",
"264665858422","104430","Internal Laptop Drive","Panasonic","","Laptop","","","","","","","","","","","","","Does Not Apply","","","","","","","","","","",
"254093285458","104437","Internal Laptop Drive","Panasonic","","Laptop","","","","","","","","","","","","","Does Not Apply","","","","","","","","","","",
"264663536811","115671","Does Not Apply","Panasonic","","Laptop","","","","","","","","","","","","","JU-226A243FC","No","","","","","","","","","",
"254093287815","105095","Internal Desktop Drive","Panasonic","","PC","","","","3.5 in","","","","","","","","","Does Not Apply","No","","","","","","","","","",
"255467065884","104935-3","3½ in Floppy Drive","Samsung","PATA/IDE/EIDE","PC","","","Gray","3.5 in","","","","","","","","","","","","","","","","","","","",
"265625380184","104935-3","3½ in Floppy Drive","Samsung","PATA/IDE/EIDE","PC","","","Gray","3.5 in","","","","","","","","","","","","","","","","","","","",
"265625364563","104935-2","3½ in Floppy Drive","Samsung","PATA/IDE/EIDE","PC","","","Gray","3.5 in","","","","","","","","","","","","","","","","","","","",
