Item Id,SKU,Material,Brand,Color,Handmade,MPN,Custom Bundle,Bundle Description,Modified Item,Modification Description,Country/Region of Manufacture,California Prop 65 Warning,
"255437777086","EDRE9103","","CHENILLE KRAFT COMPANY","","","CK-711601","","","","","","",
"265735729873","GC42552","Metal","Gift Essentials","","","GE410","","","","","","",
"265735884782","ZX9CGP1396146","","Easy-to-Organize","","","EA1522685","","","","","","",
"265735605945","ZX9CGP1396154","","Easy-to-Organize","","","EA1520656","","","","","","",
"255581144874","ZX9CGP1396259","","Easy-to-Organize","","","EA1321080","","","","","","",
"265735660597","ZX9CGP1396203","","Easy-to-Organize","","","EA1321056","","","","","","",
"265735599470","ZX9CGP1396205","","Easy-to-Organize","","","EA1321057","","","","","","",
"265735951967","ZX9CGP1396158","","Easy-to-Organize","Black","","EA1321042","","","","","","",
"265735705345","ZX9CGP1396166","","Easy-to-Organize","Blue","","EA1321045","","","","","","",
"265735794627","ZX9CGP1396254","","Easy-to-Organize","","","EA1321079","","","","","","",
"265735873342","CGP1396289","","Cunningham Gas Products","","","APK17","","","","","","",
"265735736516","CGP1396146","","Cunningham Gas Products","","","GL-10J-FR","","","","","","",
"255581006606","CGP1396149","","Cunningham Gas Products","Blue","","GL-10J-NR","","","","","","",
"255581213797","CGP1396150","","Cunningham Gas Products","","","GL-10J-QR","","","","","","",
"255581027711","CGP1396154","","Cunningham Gas Products","","","GL-10J-ZR","","","","","","",
"265735937670","CGP1396158","","Cunningham Gas Products","Black","","GL-40-B","","","","","","",
"265735732733","CGP1396159","","Cunningham Gas Products","Black","","GL-40-BR","","","","","","",
"265735936702","CGP1396166","","Cunningham Gas Products","Blue","","GL-40-N","","","","","","",
"265735842229","CGP1396259","","Cunningham Gas Products","","","GLG-40-C","","","","","","",
"265735944864","CGP1396203","","Cunningham Gas Products","","","GLG-40-M","","","","","","",
"255581152415","CGP1396205","","Cunningham Gas Products","","","GLG-40-S","","","","","","",
"255580983321","CGP1396254","","Cunningham Gas Products","","","SPK26P","","","","","","",
