Item Id,SKU,Brand,Pest Type,Type,Color,Indoor/Outdoor,Certification Required,Control Method,Area of Use,Model,Item Weight,Prevention,Tank Capacity,Features,Material,Power Source,MPN,Weed Type,Country/Region of Manufacture,Custom Bundle,California Prop 65 Warning,Bundle Description,Cable Length,Power,Voltage,
"265639788539","ZX9TRVAL88741_1","Piazza","","Lawn & Landscaping","","","","","","","","","","","","","PI604290","","","","","","","","",
"255483732522","ZX9BCI1003525","Piazza","","Lawn & Landscaping","","","","","","","","","","","","","PI198694","","","","","","","","",
"255488760995","SPRCH98704","LuxDisinfect","","Lawn & Landscaping","","","","","","","","","","","","","LUXBKPKEXT","","","","","","","","",
"255476984095","SPRCH98703","LuxDisinfect","","Lawn & Landscaping","","","","","","","","","","","","","LUXBKPKSTD","","","","","","","","",
"265644600910","SPRCH98706","LuxDisinfect","","Lawn & Landscaping","","","","","","","","","","","","","LUXHANDH","","","","","","","","",
"265639653568","BCI1003525","Miller Mfg Co Inc P","","Lawn & Landscaping","","","","","","","","","","","","","EXT2SS","","","","","","","","",
"255483908044","ACHR148966","Ortho","","Lawn & Landscaping","","","","","","","","","","Adjustable","","Battery","7006230","","","","","","","","",
"255483752696","TRVAL88741_1","Plumb Shop Div Brasscraft","","Lawn & Landscaping","","","","","","","","","","","","","210460","","","","","","","","",
"265623500272","TRVAL86579","Solo Inc","","Lawn & Landscaping","","","","","","","","","","","","","356741","","","","","","","","",
"265644499599","PETRA35310","Xpower","","Lawn & Landscaping","","","","","","","","","","","","","F-16","","","","","","","","",
"255483842380","XPRM4383","Xpower","","Lawn & Landscaping","","","","","","XPower F-16B","","","","","","Battery","F-16B","","","","","","","","",
"265639677410","PETRA35309","Xpower","","Lawn & Landscaping","","","","","","","","","","","","","F-8","","","","","","","","",
"255483956379","PETRA35311","Xpower","","Lawn & Landscaping","","","","","","","","","","","","Battery","F-8B","","","","","","","","",
