Item Id,SKU,Suitable For,Material,Type,Brand,Color,Room,Features,Item Height,Item Width,Style,Item Length,Personalize,Theme,Finish,Pattern,Personalized,Country/Region of Manufacture,Compatible Brand,Shape,Department,Original/Reproduction,Compatible Model,Item Weight,Model,MPN,Product Line,Bundle Description,California Prop 65 Warning,Care Instructions,Custom Bundle,Era,Manufacturer Warranty,Personalization Instructions,Upholstery Fabric,
"255462004042","ZX9BFFT3203","","Stainless Steel","Kitchen Furniture","FineFabrics","","","","","","","","","","","","","","","","","","","","","FI197216","","","","","","","","","",
"255462012003","ZX9ALMO10003","Chaise Lounge","Aluminum","Living Room","Highkey","Gray","Living Room","Adjustable","","","","","","","","","","","","","","","","","","LR164691","","","","","","","","","",
"265731297330","ALMO10743","","Steel","Seating","Hanover","","","","","","","","","","","","","","","","","","","","","ACCENT3PC-NVY","","","","","","","","","",
"255576592330","ALMO10744","","Steel","Seating","Hanover","","","","","","","","","","","","","","","","","","","","","ACCENT3PC-WHT","","","","","","","","","",
"255462010559","ALMO10003","Chaise Lounge","Aluminum","Living Room","Hanover","Gray","Living Room","Adjustable","","","","","","","","","","","","","","","","","","NAPLESCHS-GRY","","","","","","","","","",
"265731365567","ALMO10770","","Steel","Seating","Hanover","","","","","","","","","","","","","","","","","","","","","NAYA3PC-NVY","","","","","","","","","",
"255576573628","ALMO10769","","Steel","Seating","Hanover","","","","","","","","","","","","","","","","","","","","","NAYA3PC-WHT","","","","","","","","","",
"265731273785","SR4225","Ottoman","Fur","Seating","SARO Lifestyle","","","","","","","","","","","","","","","","","","","","","PU356.FG","","","","","","","","","",
"255576586465","SR5377","","Faux Fur","Seating","SARO Lifestyle","Brown","","","","","","","","","","","","","","","","","","","","PU471.BR","","","","","","","","","",
"255462031426","BFFT3203","","Stainless Steel","Kitchen Furniture","Sportsman Series","","","","","","","","","","","","","","","","","","","","","SSWT48","","","","","","","","","",
"265620576807","BFFT3199","","Stainless Steel","Kitchen Furniture","Sportsman Series","","","","","","","","","","","","","","","","","","","","","SSWTWC72","","","","","","","","","",
