Item Id,SKU,Type,Roof Material,Frame Material,Features,Brand,Shape,Number of Pieces,Item Width,Color,Installation,Item Depth,Style,Finish,Country/Region of Manufacture,Assembly Required,MPN,Fixings Supplied,Item Height,Custom Bundle,Bundle Description,California Prop 65 Warning,Item Weight,Manufacturer Warranty,
"265639791529","ZX9SHLTL211","Furniture & Decor","","","","PatioPlus","","","","White","","","","","","","PA125024","","","","","","","",
"255483734565","ZX9SHLTL082","Furniture & Decor","","","Pop-up","PatioPlus","","","","Black","","","","","","","PA17848","","","","","","","",
"265639695550","ZX9SHLTL056","Furniture & Decor","","","Pop-up","PatioPlus","","","","Black","","","","","","","PA685777","","","","","","","",
"265639720305","ZX9SHLTL243","Furniture & Decor","","","Pop-up","PatioPlus","","","","Black","","","","","","","PA514065","","","","","","","",
"265639816177","ZX9SHLTL246","Furniture & Decor","","","Pop-up","PatioPlus","","","","Black","","","","","","","PA512985","","","","","","","",
"255483925531","ZX9SHLTL064","Furniture & Decor","","","Pop-up","PatioPlus","","","","Black","","","","","","","PA512974","","","","","","","",
"255476903317","ZX9SHLTL060","Furniture & Decor","","","Pop-up","PatioPlus","","","","Black","","","","","","","PA523124","","","","","","","",
"255488777972","ZX9SHLTL262","Furniture & Decor","","","Pop-up","PatioPlus","","","","Black","","","","","","","PA505903","","","","","","","",
"265639642953","ZX9SHLTL265","Furniture & Decor","","","Pop-up","PatioPlus","","","","Black","","","","","","","PA523137","","","","","","","",
"265644589239","ZX9SHLTL003","Furniture & Decor","","","","PatioPlus","","2","","White","","","","","","","PA512973","","","","","","","",
"255476909442","ZX9SHLTL254","Furniture & Decor","","","Pop-up","PatioPlus","","","","Black","","","","","","","PA505902","","","","","","","",
"265634250061","ZX9SHLTL257","Furniture & Decor","","","Pop-up","PatioPlus","","","","Black","","","","","","","PA518205","","","","","","","",
"255476987029","ZX9ALKO4662","Furniture & Decor","Aluminum","Aluminum","Retractable","TePee Supplies","","10","","","","","","","","","TE1496695","","","","","","","",
"265639562741","RVNI1913","Furniture & Decor","","","","Acacia","","","","","","","","","","","AGKRC12-SD ADMIRAL NAVY","","","","","","","",
"255483890822","RVNI1904","Furniture & Decor","","","","Acacia","","","","Black","","","","","","","AGKRC12-SD BLACK","","","","","","","",
"255476906191","RVNI1909","Furniture & Decor","","","","Acacia","","","","Blue","","","","","","","AGKRC12-SD COBALT BLUE","","","","","","","",
"255476945463","RVNI1910","Furniture & Decor","","","","Acacia","","","","Green","","","","","","","AGKRC12-SD GREEN","","","","","","","",
"265639573678","RVNI1911","Furniture & Decor","","","","Acacia","","","","","","","","","","","AGKRC12-SD KHAKI","","","","","","","",
"255488726903","RVNI1907","Furniture & Decor","","","","Acacia","","","","","","","","","","","AGKRC12-SD MAROON","","","","","","","",
"265639628846","RVNI1908","Furniture & Decor","","","","Acacia","","","","Gray","","","","","","","AGKRC12-SD MIST GRAY","","","","","","","",
"265639584764","RVNI1906","Furniture & Decor","","","","Acacia","","","","Red","","","","","","","AGKRC12-SD RED","","","","","","","",
"255488744185","RVNI1903","Furniture & Decor","","","","Acacia","","","","Gray","","","","","","","AGKRC12-SD STORM GRAY","","","","","","","",
"265639504605","RVNI1924","Furniture & Decor","","","","Acacia","","","","","","","","","","","AGKRC14-SD ADMIRAL NAVY","","","","","","","",
"255483952935","RVNI1915","Furniture & Decor","","","","Acacia","","","","Black","","","","","","","AGKRC14-SD BLACK","","","","","","","",
"265644591586","RVNI1920","Furniture & Decor","","","","Acacia","","","","Blue","","","","","","","AGKRC14-SD COBALT BLUE","","","","","","","",
"255476971175","RVNI1921","Furniture & Decor","","","","Acacia","","","","Green","","","","","","","AGKRC14-SD GREEN","","","","","","","",
"255483886020","RVNI1918","Furniture & Decor","","","","Acacia","","","","","","","","","","","AGKRC14-SD MAROON","","","","","","","",
"255488766960","RVNI1919","Furniture & Decor","","","","Acacia","","","","Gray","","","","","","","AGKRC14-SD MIST GRAY","","","","","","","",
"265639712503","RVNI1917","Furniture & Decor","","","","Acacia","","","","Red","","","","","","","AGKRC14-SD RED","","","","","","","",
"255483765406","RVNI1914","Furniture & Decor","","","","Acacia","","","","Gray","","","","","","","AGKRC14-SD STORM GRAY","","","","","","","",
"255483783360","RVNI1916","Furniture & Decor","","","","Acacia","","","","","","","","","","","AGKRC14-SD TEAL","","","","","","","",
"255483723729","RVNI1926","Furniture & Decor","","","","Acacia","","","","Black","","","","","","","STCK12-SD BLACK","","","","","","","",
"255483801713","RVNI1931","Furniture & Decor","","","","Acacia","","","","Blue","","","","","","","STCK12-SD COBALT BLUE","","","","","","","",
"255488766230","RVNI1933","Furniture & Decor","","","","Acacia","","","","","","","","","","","STCK12-SD KHAKI","","","","","","","",
"265639566616","RVNI1930","Furniture & Decor","","","","Acacia","","","","Gray","","","","","","","STCK12-SD MIST GRAY","","","","","","","",
"265639590169","RVNI1928","Furniture & Decor","","","","Acacia","","","","Red","","","","","","","STCK12-SD RED","","","","","","","",
"255483787422","RVNI1925","Furniture & Decor","","","","Acacia","","","","Gray","","","","","","","STCK12-SD STORM GRAY","","","","","","","",
"255483875231","ALKO4711","Furniture & Decor","Aluminum","Aluminum","Retractable","ALEKO","","10","","","","","","","","","PERG10X13LBG-UNB","","","","","","","",
"265639683793","ALKO4710","Furniture & Decor","Aluminum","Aluminum","Retractable","ALEKO","","10","","","","","","","","","PERG10X13LSD-UNB","","","","","","","",
"255488698345","ALKO4662","Furniture & Decor","Aluminum","Aluminum","Retractable","ALEKO","","10","","","","","","","","","PERGBURG10X13-UNB","","","","","","","",
"255483812998","ALKO4664","Furniture & Decor","Aluminum","Aluminum","Retractable","ALEKO","","10","","","","","","","","","PERGSAND10X13-UNB","","","","","","","",
"255483931352","ALKO5841","Furniture & Decor","","","","ALEKO","Octagonal","","","","","","","","","","PWT22X16-UNB","","","","","","","",
"265644492652","CRVN278","Furniture & Decor","","","","Caravan Canopy","","10","","White","","","","","","","21006906011","","","","","","","",
"255488831326","JECO7669","Furniture & Decor","Metal","Metal","","Jeco","","10","","","","","","","","","GZ1","","","","","","","",
"255488763096","JECO7720","Furniture & Decor","","","","Jeco","","","","","","","","","","","GZ3","","","","","","","",
"265644607266","PLYTX106","Furniture & Decor","","","","Palram","","4","","Gray","","","","","","","HG1055","","","","","","","",
"265639533679","PLYTX1465","Furniture & Decor","Steel","Steel","","Palram","","","","","","","","","","","HG9586","","","","","","","",
"265639724400","PLYTX1470","Furniture & Decor","","","","Palram","","","","","","","","","","","HG9587","","","","","","","",
"265634301498","SHLTL049","Furniture & Decor","","","Pop-up","ShelterLogic","","","","Black","","","","","","","22549","","","","","","","",
"255483908603","SHLTL060","Furniture & Decor","","","Pop-up","ShelterLogic","","","","Black","","","","","","","22561","","","","","","","",
"265639660083","SHLTL064","Furniture & Decor","","","Pop-up","ShelterLogic","","","","Black","","","","","","","22565","","","","","","","",
"265644478153","SHLTL262","Furniture & Decor","","","Pop-up","ShelterLogic","","","","Black","","","","","","","22703","","","","","","","",
"265639513048","SHLTL254","Furniture & Decor","","","Pop-up","ShelterLogic","","","","Black","","","","","","","22706","","","","","","","",
"255488836911","SHLTL246","Furniture & Decor","","","Pop-up","ShelterLogic","","","","Black","","","","","","","22737","","","","","","","",
"255476952656","SHLTL265","Furniture & Decor","","","Pop-up","ShelterLogic","","","","Black","","","","","","","22738","","","","","","","",
"255483766406","SHLTL257","Furniture & Decor","","","Pop-up","ShelterLogic","","","","Black","","","","","","","22741","","","","","","","",
"255483845094","SHLTL082","Furniture & Decor","","","Pop-up","ShelterLogic","","","","Black","","","","","","","22776","","","","","","","",
"255483723861","SHLTL1767","Furniture & Decor","","","","ShelterLogic","Square","","","Brown","","","","","","","24010","","","","","","","",
"255476983563","SHLTL1769","Furniture & Decor","","","","ShelterLogic","","4","","","","","","","","","70208","","","","","","","",
"255488761512","ZX9CRVN278","Furniture & Decor","","","","Piper\'sPit","","10","","White","","","","","","","PI56070","","","","","","","",
