Item Id,SKU,Brand,Color,Gender,MPN,Custom Bundle,Model,Bundle Description,Modified Item,Modification Description,Country/Region of Manufacture,California Prop 65 Warning,
"255461895267","GFT563","GBDS","Blue","","890352-B","","","","","","","",
"255461936225","GFT509","GBDS","Pink","","890633-Pink","","","","","","","",
"265620481123","GFT541","GBDS","","","890711","","","","","","","",
"265620533515","GFT546","GBDS","Blue","","890752-B","","","","","","","",
"265620534889","GFT547","GBDS","Pink","","890752-P","","","","","","","",
"255461946602","GFT550","GBDS","Pink","","890792-P","","","","","","","",
"255461946541","GFT557","GBDS","Yellow","","890832-Y","","","","","","","",
"265620523336","GBSDS03309","Gift Basket Drop Shipping","Blue","","890172-B","","","","","","","",
"265620526579","GBSDS03301","Gift Basket Drop Shipping","Pink","","89091-P","","","","","","","",
"255461900376","GBSDS03298","Gift Basket Drop Shipping","Blue","","89092-B","","","","","","","",
"265620511081","GBSDS03300","Gift Basket Drop Shipping","Pink","","89092-P","","","","","","","",
