Item Id,SKU,Type,Set Includes,Brand,Material,Glassware Type,Color,Features,Service For,Theme,Occasion,Character Family,Character,Country/Region of Manufacture,Pattern,Style,Shape,Capacity,Design,Number of Items in Set,Personalize,Department,Item Height,Item Width,Manufacturer Warranty,MPN,Item Weight,California Prop 65 Warning,Model,Bundle Description,Custom Bundle,Personalization Instructions,
"254238952243","116597","Tumbler","Tumbler","Maxam","Silver","","Silver","","","","","","","","","","","","","","","","","","","16oz-Stainless-Steel-Tumbler","","","","","","",
"264708909851","192009","Bottle","Bottle","Maxam","Glass","","Black","","","Bottle","","","","","","","","","","","","","","","","18oz-Glass-Bottle-with-Silicone-Wrap","","","","","","",
"254559995226","116507","Bottle","Bottle","Maxam","Silver","","Silver","","2","Bottle","","","","","","","","","","","","","","","","2oz-Stainless-Steel-Flask-with-2-Cigar-","","","","","","",
"254577194628","198077","Does Not Apply","","Maxam","Gold","","Gold","","","","","","","","","","","","","","","","","","","3.5oz-Gold-Tone-Stainless-Steel-Bracele","","","","","","",
"264331814337","191998","Bottle","Bottle","Maxam","Silver","","Silver","","","Bottle","","","","","","","","","","","","","","","","3-24OZ-Stainless-Steel-Flasks-W/PU-Pouc","","","","","","",
"264331779642","116475","Bottle","Bottle","Maxam","Silver","","Silver","","","Bottle","","","","","","","","","","","","","","","","3oz-Stainless-Steel-Belt-Buckle-Flask","","","","","","",
"254238950115","116532","Bottle","Bottle","Maxam","Stainless Steel","","Black","","","Bottle","","","","","","","","","","","","","","","","8oz-Stainless-Steel-Flask","","","","","","",
"254238948442","116474","Bottle","Bottle","Maxam","Silver","","Silver","","","Bottle","","","","","","","","","","","","","","","","8oz-Stainless-Steel-Flask-and-Funnel-in","","","","","","",
"264331779707","116481","Bottle","flask","Maxam","Stainless Steel","hip flask","Black","leather wrap","1","Bottle","","","","","","","","8 oz","","","","","","","","8oz-Stainless-Steel-Flask-with-Solid-Ge","","","","","","",
"264689227681","116525","Bottle","Bottle","Arctic","Silver","","Silver","","","Bottle","","","","","","","","","","","","","","","","3oz-Pipe-Shaped-Stainless-Steel-Flask","","","","","","",
"254870967312","116431","Mug","Beer Mug","Wyndham House","Acrylic","Mug","Clear","freezing gel","1","Sports","All Occasions","Sports","","","","","","","","","","Home","","","","14oz-Beer-Mug-with-Freezing-Gel","","","","","","",
"254559994815","116398","Does Not Apply","5 piece bar set","Wyndham House","Stainless Steel","Drink Mixing Set","Silver","Bar Mixing Set","No limit","","All Occasions","","","","","","","","","","","","","","","5pc-Stainless-Steel-Bar-Set","","","","","","",
