Item Id,SKU,Brand,Chipset Manufacturer,Chipset/GPU Model,Memory Size,Memory Type,Compatible Slot,Connectors,Power Cable Requirement,APIs,Features,Cooling Component Included,Country/Region of Manufacture,MPN,Custom Bundle,Bundle Description,California Prop 65 Warning,Item Height,Item Length,Item Width,Manufacturer Warranty,
"254093295798","107572","AOpen","S3","S3 Virge/DX","","","PCI","","","","","","","PT75","","","","","","","",
"254537468910","107589","ATI","ATI","ATI Rage IIc","","","","D-Sub","","","","","","109-52800-01","","","","","","","",
"264653293338","107971","ATI","ATI","Does Not Apply","","","","","","","","","","Does Not Apply","","","","","","","",
"254086552937","100272","ATI","ATI","ATI 3D Rage pro","8 MB","SDRAM","AGP 3.3V","D-Sub","","","","","","Does Not Apply","","","","","","","",
"254593783464","107988","ATI","ATI","Does Not Apply","","","","S-Video","","","","","","Does Not Apply","","","","","","","",
"254093304900","109641","ATI","ATI","ATI Rage","","","","","","","","","","Xpert-98-Rage-Mobility-L","","","","","","","",
"254581278782","107664","Compaq","Does Not Apply","Does Not Apply","","","","","","","","","","MGA-2164WA-B","","","","","","","",
"254542365572","110509","Diamond Multimedia","Does Not Apply","Does Not Apply","","","","","","","","","","Does Not Apply","","","","","","","",
"264728641840","156441","Nvidia","NVIDIA","Does Not Apply","","","","","","","","","","8852-140","","","","","","","",
"254537470857","110026","Generic","Does Not Apply","CL-GD5430","","","PCI","","","","","","","Does Not Apply","","","","","","","",
"255118891709","238396","PNY","NVIDIA","NVIDIA Quadro 4000","8GB","GDDR6","PCI Express 3.0 x16","DisplayPort,USB-C","","","","","","VCQRTX4000-PB,VCQRTX4000PB","","","","","","","",
"264161265799","107748","S3","S3","Does Not Apply","","","","","","","","","","STB-Powergraph-32","","","","","","","",
"254528488729","105189","S3","S3","S3 Virge","","","PCI","","","","","","","Virge-86C325","","","","","","","",
"264161264343","107628","SIIG","Does Not Apply","Does Not Apply","","","PCI","","","","","","","Aurora","","","","","","","",
"254093297867","107743","Trident","Does Not Apply","Does Not Apply","","","PCI","","","","","","","TGUI9440","","","","","","","",
"254537470999","110463","Generic","Does Not Apply","Does Not Apply","","","","","","","","","","Does Not Apply","","","","","","","",
