Item Id,SKU,Type,Brand,Material,Frame Material,Color,Number of Vents,Item Width,Number of Pieces,Features,Item Depth,Country/Region of Manufacture,Item Height,Shape,Style,Door Width,Base Included,Fixings Supplied,Manufacturer Warranty,Door Height,MPN,Assembly Required,Custom Bundle,Bundle Description,California Prop 65 Warning,Item Weight,
"265644516722","ZX9SHLTL288","Furniture & Decor","PatioPlus","","","","3","","3","","","","","","","","","","","","PA523140","","","","","",
"255476968390","ZX9SHLTL318","Furniture & Decor","PatioPlus","","","","5","","5","","","","","","","","","","","","PA523141","","","","","",
"255539006372","UTRMST3200","Wall Art","212 Main","","Metal","Gold","","","","","","","","","","","","","","","04195","","","","","",
"265690584395","UTRMST3202","Wall Art","212 Main","","","Gold","2","","2","","","","","","","","","","","","04200","","","","","",
"265697807316","UTRMST3461","Wall Art","212 Main","","","Gold","","","","","","","","","","","","","","","04201","","","","","",
"255534565666","UTRMST3961","Wall Art","212 Main","","","","","","6","","","","","","","","","","","","04258","","","","","",
"265690560180","UTRMST3962","Wall Art","212 Main","","Metal","","4","","4","","","","","","","","","","","","04259","","","","","",
"255541702029","UTRMST3963","Wall Art","212 Main","","Metal","","","","6","","","","","","Modern","","","","","","04261","","","","","",
"255534569009","UTRMST3965","Wall Art","212 Main","","Wood","","","","","","","","","","","","","","","","04265","","","","","",
"265690754903","UTRMST3970","Wall Art","212 Main","","Metal","","2","","2","","","","","","","","","","","","04283","","","","","",
"255541870576","UTTRMST03646","Wall Art","212 Main","","Metal","","2","","2","","","","","","","","","","","","07071","","","","","",
"255737660537","ZX9EPAD2548","Wall Art","Solid Storage Supplies","","Metal","","","","","","","","","","","","","","","","SO2573452","","","","","",
"255488849894","ZX9POLYTX103","Furniture & Decor","GardenGear","","","Clear","","","","","","","","","","","","","","","GA115646","","","","","",
"265644593931","ZX9POLYTX104","Furniture & Decor","GardenGear","","","Gray","","","","","","","","","","","","","","","GA115647","","","","","",
"265644506069","ZX9POLYTX106","Furniture & Decor","GardenGear","","","Gray","","","","","","","","","","","","","","","GA872703","","","","","",
"255724989643","ZX9EPAD2576","Wall Art","Solid Storage Supplies","","Metal","","","","","","","","","","","","","","","","SO2573458","","","","","",
"255488666627","ZX9POLYTX276","Furniture & Decor","GrillTown","","","","2","","2","","","","","","","","","","","","GR448909","","","","","",
"255483666588","ZX9POLYTX274","Furniture & Decor","GrillTown","","","","2","","2","","","","","","","","","","","","GR456436","","","","","",
"265639799892","RVNI2022","Furniture & Decor","Eden","","","","","","","","","","","","","","","","","","RGT-23","","","","","",
"265644766510","EPAD2580","Wall Art","Empire Art Direct","","Metal","","1","","1","","","","","","","","","","","","PMO-130147-2272","","","","","",
"255524191283","EPAD2631","Wall Art","Empire Art Direct","","","","2","","2","","","","","","","","","","","","PMO-130314B-2264","","","","","",
