Item Id,SKU,Type,Features,Brand,Material,Indoor/Outdoor,Color,Frame Material,Seating Capacity,Department,Weight Capacity,Country/Region of Manufacture,Character,Pattern,Assembly Required,Manufacturer Warranty,Theme,Character Family,Finish,Required Tools,Year Manufactured,Item Length,Item Width,MPN,Assembly Status,Item Height,Item Weight,Model,Custom Bundle,California Prop 65 Warning,Bundle Description,
"265639574284","ZX9JNSN75383","Furniture & Decor","","LAWNITATOR","Wood","","","Wood","","","","","","","","","","","","","","","","LA5259","","","","","","","",
"255087866348","117225","Camping Hammock","","Maxam","Nylon","","Green","","","","","","","","","","","","","","","","","SPHAMM","","","","SPHAMM","","","",
"255483901995","ALKO1822","Furniture & Decor","","ALEKO","","Outdoor","Brown","","","","","","","","","","","","","","","","","SWC03BR-UNB","","","","","","","",
"265639674538","ATA41-6290W98SPB","Furniture & Decor","","Algoma","Fabric","","","Steel","","","","","","","","","","","","","","","","A41 6290W98SPB","","","","","","","",
"265639507881","ARTSLRL3207","Furniture & Decor","Quilted","Algoma","","","","","","","","","","","","","","","","","","","","A41 2790202203","","","","","","","",
"255476967371","ATA41-8911E","Furniture & Decor","","Algoma","Rope","","","","","","","","","","","","","","","","","","","A41 8911E","","","","","","","",
"255476981423","ALGN202","Furniture & Decor","Quilted","Algoma Net","","","","","","","","","","","","","","","","","","","","2930DL","","","","","","","",
"255483904356","ZX9ARTSLRL3205","Furniture & Decor","","GrillsGoneWild","","","","","","","","","","","","","","","","","","","","GR1687810","","","","","","","",
"255483852530","ZX9LKDM049","Furniture & Decor","","OpenSkies","","","","","","","","","","","","","","","","","","","","OP92849","","","","","","","",
"265639660963","FLHSRL1375","Furniture & Decor","","Flowerhouse","","","","","","","","","","","","","","","","","","","","FHFSSVR","","","","","","","",
"255488771869","FLHSRL1363","Furniture & Decor","","Flowerhouse","","","","","","","","","","","","","","","","","","","","FHTDBK","","","","","","","",
"255488846605","FLHSRL1367","Furniture & Decor","","Flowerhouse","","","Blue","","","","","","Blue","","","","","","","","","","","FHTDDKB","","","","","","","",
"255483776756","FLHSRL1371","Furniture & Decor","","Flowerhouse","","","Red","","","","","","","","","","","","","","","","","FHTDRD","","","","","","","",
"255488818946","ZX9KNGPND077","Furniture & Decor","","OpenSkies","","","Black","","","","","","","","","","","","","","","","","OP88290","","","","","","","",
"255483789519","LBMT15713","Furniture & Decor","","Hammock Bliss","","","","","","","","","","","","","","","","","","","","371853","","","","","","","",
"255488799423","JNSN75383","Furniture & Decor","","Jack Post Corporation","Wood","","","Wood","","","","","","","","","","","","","","","","CG-05Z","","","","","","","",
"265644513215","JECO1406","Furniture & Decor","","Jeco","Wicker","","Brown","","","","","","","","","","","","","","","","","W00202S-A-FS007","","","","","","","",
"255488717471","JECO1407","Furniture & Decor","","Jeco","Wicker","","Blue","","","","","","Blue","","","","","","","","","","","W00202S-A-FS011","","","","","","","",
"265644604361","JECO1409","Furniture & Decor","","Jeco","Wicker","","Black","","","","","","","","","","","","","","","","","W00202S-A-FS017","","","","","","","",
"255488789472","JECO1410","Furniture & Decor","","Jeco","Wicker","","Red","","","","","","","","","","","","","","","","","W00202S-A-FS018","","","","","","","",
"255488781095","JECO1411","Furniture & Decor","","Jeco","Wicker","","Green","","","","","","","","","","","","","","","","","W00202S-A-FS029","","","","","","","",
"255488645715","JECO7993","Furniture & Decor","","Jeco","Wicker","","Red","","","","","","","","","","","","","","","","","W00202S-A-FS030","","","","","","","",
"255500298138","JECO1416","Furniture & Decor","","Jeco","Wicker","","Black","","","","","","","","","","","","","","","","","W00205S-C-FS017","","","","","","","",
"265655979082","JECO1418","Furniture & Decor","","Jeco","Wicker","","Green","","","","","","","","","","","","","","","","","W00205S-C-FS029","","","","","","","",
"265639697345","JECO1420","Furniture & Decor","","Jeco","Wicker","","Brown","","","","","","","","","","","","","","","","","W00206S-B-FS007","","","","","","","",
"255488830576","JECO1427","Furniture & Decor","","Jeco","Wicker","","Black","","","","","","","","","","","","","","","","","W00207S-D-FS007","","","","","","","",
"265644583801","JECO1428","Furniture & Decor","","Jeco","Wicker","","Black","","","","","","Blue","","","","","","","","","","","W00207S-D-FS011","","","","","","","",
"265644504288","JECO1430","Furniture & Decor","","Jeco","Wicker","","Black","","","","","","","","","","","","","","","","","W00207S-D-FS017","","","","","","","",
"265644571574","JECO1431","Furniture & Decor","","Jeco","Wicker","","Black","","","","","","","","","","","","","","","","","W00207S-D-FS018","","","","","","","",
"265644618056","JECO1432","Furniture & Decor","","Jeco","Wicker","","Black","","","","","","","","","","","","","","","","","W00207S-D-FS029","","","","","","","",
"265639667551","KNGPND077","Furniture & Decor","","King Pond","","","Black","","","","","","","","","","","","","","","","","10307-KP","","","","","","","",
"255488736204","ZX9KNGPND061","Furniture & Decor","","GrillTown","","","Green","","","","","","","","","","","","","","","","","GR88287","","","","","","","",
"255488697179","ZX9KNGPND060","Furniture & Decor","","GrillTown","","","Blue","","","","","","Blue","","","","","","","","","","","GR1642534","","","","","","","",
"265644494606","KNGPND028","Furniture & Decor","","Kings Pond","","","","Aluminum","","","","","","","","","","","","","","","","10302-KP","","","","","","","",
"255488699421","KNGPND031","Furniture & Decor","","Kings Pond","","","","Metal","","","","","","","","","","","","","","","","10310-KP","","","","","","","",
"255480639696","KNGPND043","Furniture & Decor","","Kings Pond","","","Blue","","","","","","Blue","","","","","","","","","","","40001-KP","","","","","","","",
"255480640190","KNGPND044","Furniture & Decor","","Kings Pond","","","Green","","","","","","","","","","","","","","","","","40002-KP","","","","","","","",
"265639712155","KNGPND045","Furniture & Decor","","Kings Pond","","","","","","","","","","","","","","","","","","","","40003-KP","","","","","","","",
"265639697161","KNGPND046","Furniture & Decor","","Kings Pond","","","Black","","","","","","","","","","","","","","","","","40008-KP","","","","","","","",
"265644599612","KNGPND052","Furniture & Decor","","Kings Pond","","","Green","","","","","","","","","","","","","","","","","40032-KP","","","","","","","",
"255480640732","KNGPND053","Furniture & Decor","","Kings Pond","","","","","","","","","","","","","","","","","","","","40051-KP","","","","","","","",
