Item Id,SKU,Type,Brand,Size,Size Type,Features,Color,Closure,Style,Theme,Fabric Type,Product Line,Department,Accents,Performance/Activity,Pattern,Character,Neckline,Country/Region of Manufacture,Vintage,Fit,Material,Sleeve Length,Graphic Print,Season,Personalize,Garment Care,California Prop 65 Warning,MPN,Personalization Instructions,
"255230327304","307901","Sweatshirt","Unbranded",,,"All Seasons,Collarless","Red","crewneck","Pullover","Colorful,Young Adult Fashionwear,Urban Fashion,sweatshirt","Fleece","Basic Sweatshirts","Men","color block,Red and Black","Daily Wear,Baseball,Basketball,Cycling,Golf","ColorBlock","Young Men,pullover","Crew Neck","China","No","Regular","Polyester","Long Sleeve","No","Fall,Spring,Winter","No","Machine Washable","","sweatshirts","",
"255230327304","307902",,,"S","Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"255230327304","307903",,,"M","Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"255230327304","307904",,,"L","Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"255230327304","307905",,,"XL","Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"265506363741","307896","Sweatshirt","Unbranded",,,"All Seasons,Collarless","Yellow","Pullover","Pullover","Young Adult Fashionwear,Urban Fashion","Fleece","Young Adult Fashion Wear","Men","Yellow and Black,Color Block","Daily Wear,Golf","Solid","Young Men","Crew Neck","China","No","","Cotton","Long Sleeve","","","","","","","",
"265506363741","307897",,,"S","Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"265506363741","307898",,,"M","Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"265506363741","307899",,,"L","Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"265506363741","307900",,,"XL","Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"264859213557","301999","Sweatshirt","Gildan",,"Regular","Heavyweight","Black","pullover","Pullover","winter","Fleece","Gildan Heavy Blend","Men","Thick","Casual","Solid","","Crew Neck","","No","Regular","Cotton Blend","Long Sleeve","No","Fall,Spring,Winter","No","Machine Washable","","Heavy-Blend-Men's-Crewneck-Sweatshirt","",
"264859213557","302003",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,
"264859213557","302002",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,
"264859213557","302001",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,
"264859213557","302000",,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,
"254706372665","301956","Hoodie","Gildan",,"Regular","Full Zip,Hooded","Black","Zip","Full Zip","Classic","Fleece","","Men","Zipper","Football,Golf,Gym & Training","Solid","Thick Heavy Weight Hoodie","V-Neck","","No","Classic","Cotton,Cotton Blend","Long Sleeve","No","","","","","Full-Zip-Heavy-Hoodie-for-men","",
"254706372665","301964",,,"5XL",,,,,,,,,,,,,,,,,,,,,,,,,,,
"254706372665","301963",,,"4XL",,,,,,,,,,,,,,,,,,,,,,,,,,,
"254706372665","301962",,,"3XL",,,,,,,,,,,,,,,,,,,,,,,,,,,
"254706372665","301961",,,"2XL",,,,,,,,,,,,,,,,,,,,,,,,,,,
"254706372665","301960",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,
"254706372665","301959",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,
"254706372665","301958",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,
"254706372665","301957",,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,
"265314696574","306906","Hoodie","Anvil",,,"Hooded,Pockets","Gray","Pullover","Pullover","Winter Hoodie","Fleece","Hooded Sweatshirt","Men","Hoodie with Pull Cord","Casual - Everyday use","Solid","Pullover Hoodie","Crew Neck","","No","Regular","Cotton","Long Sleeve","No","Fall,Spring,Winter","No","Machine Washable","","","",
"265314696574","306907",,,"S","Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"265314696574","306908",,,"M","Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"265314696574","306909",,,"L","Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"265314696574","306910",,,"XL","Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"265314696574","306911",,,"2XL","Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"265314696574","306912",,,"3XL","Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"255230505268","307906","Hoodie","Unbranded",,"Regular","Full Zip,Hooded,Pockets","Black","Zip","Full Zip","Classic","Fleece","Fleece Jackets","Men","Zipper","CrossFit,Cross Training,Cycling,Football,Golf,Gym & Training","Solid","Thick Heavy Weight Hoodie,Fleece Jacket for men,hoodie","V-Neck","","No","Classic","Polyester","Long Sleeve","No","","No","Machine Washable","","Full-Zip-Heavy-Hoodie-for-men","",
"255230505268","307914",,,"5XL",,,,,,,,,,,,,,,,,,,,,,,,,,,
"255230505268","307913",,,"4XL",,,,,,,,,,,,,,,,,,,,,,,,,,,
"255230505268","307912",,,"3XL",,,,,,,,,,,,,,,,,,,,,,,,,,,
"255230505268","307911",,,"2XL",,,,,,,,,,,,,,,,,,,,,,,,,,,
"255230505268","307910",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,
"255230505268","307909",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,
"255230505268","307908",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,
"255230505268","307907",,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,
"264978155566","306906","Hoodie","Anvil",,,"Hooded,Pockets","Gray","","Pullover","Winter Hoodie","Fleece","Hooded Sweatshirt","Men","Hoodie with Pull Cord","Casual - Everyday use","Solid","Pullover Hoodie","Crew Neck","","No","Regular","Cotton","Long Sleeve","","Fall,Spring,Winter","","","","","",
"264978155566","306907",,,"S","Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"264978155566","306908",,,"M","Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"264978155566","306909",,,"L","Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"264978155566","306910",,,"XL","Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"264978155566","306911",,,"2XL","Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"264978155566","306912",,,"3XL","Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"265591117490","308023","Hoodie","Unbranded","3XL","Regular","Pockets","Black","Drawstring","Pullover","Outdoor","Fleece","Hoodies","Men","Kangaroo Pockets","Gym & Training,Hiking,Running & Jogging","Solid","","Crew Neck","","No","Relaxed","Polyester","","","","","","","","",
