Item Id,SKU,Type,Brand,Size,Style,Closure,Theme,Color,Size Type,Features,Product Line,Department,Fabric Type,Character,Accents,Pattern,Sleeve Length,Material,Neckline,Character Family,Fit,Performance/Activity,Lining Material,Season,Occasion,Personalize,Country/Region of Manufacture,Vintage,Sleeve Type,Chest Size,Garment Care,MPN,California Prop 65 Warning,Personalization Instructions,
"265244553824","301965","Hoodie","Jerzees",,"Pullover","Pullover","Outdoor","Red Gray","Regular","All Seasons,Pockets","Pullover Hoodie","Women","Fleece","Oxford Red and Gray","Fleece Hoodie","Solid","Long Sleeve","Polyester Cotton Blend","Round Neck","Fleece Jacket","Classic","Cross Training","","Fall,Spring,Winter","Activewear,Casual,Travel,Workwear","No","","No","Raglan Sleeve","variants","Machine Washable","Full-Sleeves-Hoodie","","",
"265244553824","301971",,,"3XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265244553824","301970",,,"2XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265244553824","301969",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265244553824","301968",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265244553824","301967",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265244553824","301966",,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254923668033","304871","tracksuit set","Unbranded",,"streetwear crop top hoodie","Pullover","Hip Hop streetwear","Gray","Regular","All Seasons","Streetwear for Girls","Women","Fleece","Hip Hop Apparel for Young Women","crop top hoodie","Solid","Long Sleeve","Polyester Blend","Cowl Neck","Streetwear for women","Athletic","party","","","Activewear,Casual,Party/Cocktail,Travel","","","No","","","","","","",
"254923668033","304872",,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254923668033","304873",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254923668033","304874",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254923668033","304875",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264974604454","301965","Sweatshirt","Jerzees",,"Pullover","Pullover","Outdoor","NuBlend Color-block","S,M,L,XL,2XL,3XL","All Seasons,Pockets","Pullover Hoodie","Women","Fleece","Oxford Red and Gray","","Solid","Long Sleeve","Polyester Cotton Blend","","","Classic","","","","Activewear","","","No","","","","Full-Sleeves-Hoodie","","",
"264974604454","301971",,,"3XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264974604454","301970",,,"2XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264974604454","301969",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264974604454","301968",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264974604454","301967",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264974604454","301966",,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264850400240","301965","Pullover Hoodie","Jerzees",,"Pullover","Pullover","Girls Warm Hoodie","Oxford Red and Gray","S,M,L,XL,2XL,3XL","All Seasons,Pockets","Girls Hoodie","Women","Fleece","Oxford Red and Gray","hood","Solid","Long Sleeve","Polyester Cotton Blend","High Neck","Girls Hoodie","Classic","Baseball,Basketball,Cross Training,Driving","Polyester","","Activewear,Casual,Travel,Workwear","No","","No","","","Machine Washable","Full-Sleeves-Hoodie","","",
"264850400240","301971",,,"3XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264850400240","301970",,,"2XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264850400240","301969",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264850400240","301968",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264850400240","301967",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264850400240","301966",,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
