Item Id,SKU,Type,Features,Theme,Brand,Room,Material,Power Source,Lighting Technology,Color,Style,Size,Finish,Energy Star,Mounting,Shape,Item Height,Country/Region of Manufacture,Item Width,Item Length,MPN,EC Range,Model,Custom Bundle,Item Weight,Additional Parts Required,Customized,Product Line,Care Instructions,Battery Type,Bundle Description,California Prop 65 Warning,
"265897120968","ZX9TRDMR324390","Decor","Electric","","StandAlone","","Clay","","","","Modern","","","","","","","","","","ST2178107","","","","","","","","","","","",
"265884036367","ZX9TRDMR324389","Decor","Electric","","StandAlone","","Metal","","","","Modern","","","","","","","","","","ST2056403","","","","","","","","","","","",
"265668970902","ZX9TRDMR324391","Decor","Electric","Garden","StandAlone","","Concrete","","","","Modern","","","","","","","","","","ST2008672","","","","","","","","","","","",
"255509913715","ZX9TRDMR324392","Decor","Electric","","StandAlone","","","","","","Modern","","","","","","","","","","ST2046535","","","","","","","","","","","",
"255737942116","ZX9CNRY1256","Decor","LED","","Escenario","","","","LED","Black","Modern","","","","","","","","","","ES2547184","","","","","","","","","","","",
"265897218608","ZX9CNRY1257","Decor","Indoor","","Escenario","Indoor","","","LED","White","Modern","","","","","","","","","","ES2547185","","","","","","","","","","","",
"265897050285","ZX9CNRY1254","Decor","LED","","Escenario","","","","LED","","Modern","","","","","Round","","","","","ES2212225","","","","","","","","","","","",
"265896909569","ZX9CNRY1267","Decor","LED","","Escenario","","Stone","","LED","Green","Modern","","Stone","","","Round","","","","","ES2547188","","","","","","","","","","","",
"255728631195","ZX9CNRY1252","Decor","Indoor","Zen","Escenario","Indoor","","","","","","","Natural","","","Sphere","","","","","ES2547183","","","","","","","","","","","",
"255737825759","ZX9JECO8690","Decor","LED","","Vaser Designs","","","","LED","","","","","","","","","","","","VA2593766","","","","","","","","","","","",
"255737910833","ZX9CNRY1259","Decor","","","Escenario","","Slate","","","Black","","","Slate","","Free Standing","Pedestal","","","","","ES2547186","","","","","","","","","","","",
"255737696329","ZX9ORE2414","Decor","","","ComfyCushions","","","","","","","","","","","","","","","","CO2629440","","","","","","","","","","","",
"255534496599","ZX9JECO754","Decor","Outdoor","Pineapple","First Floor Designs","","","","","","","","","","","","","","","","FI953381","","","","","","","","","","","",
"265644504563","AQSCP1101","Furniture & Decor","","","AquascapePRO","","Stainless Steel","","","","","","Stainless Steel","","","","","","","","58066","","","","","","","","","","","",
"265996153735","ATLWG271","Furniture & Decor","","","Atlantic Water Gardens","","","","","","","","","","","","","","","","FTN CCVX3","","","","","","","","","","","",
"265887849304","ZX9JECO8683","Decor","","","Vaser Designs","","","","","","","","","","","","","","","","VA2593762","","","","","","","","","","","",
"255523981991","ZX9TRDMR57925","Decor","Outdoor","","StandAlone","","","","","","","","","","","","","","","","ST2056431","","","","","","","","","","","",
"255518019833","ZX9KLT189","Decor","","","JaggedDesigns","","","Solar","","","","","","","","","","","","","JA88151","","","","","","","","","","","",
"265887819954","JECO752","Decor","LED","","Fountain Cellar","","","","LED","","","","","","","","","","","","FCL004","","","","","","","","","","","",
"265684828143","JECO754","Decor","Outdoor","Pineapple","Fountain Cellar","","","","","","","","","","","","","","","","FCL006","","","","","","","","","","","",
"255728712726","JECO756","Decor","","","Fountain Cellar","","","","","","","","","","","","","","","","FCL008","","","","","","","","","","","",
"265896947926","JECO758","Decor","Outdoor","","Fountain Cellar","","","","","","","","","","","Bird","","","","","FCL010","","","","","","","","","","","",
"255737900150","JECO761","Decor","","","Fountain Cellar","","","","","","","","","","","","","","","","FCL013","","","","","","","","","","","",
"265697866123","JECO770","Decor","","","Fountain Cellar","","","","","","","","","","","","","","","","FCL022","","","","","","","","","","","",
"255725325560","JECO784","Decor","","","Fountain Cellar","","Copper","","","","","","","","","","","","","","FCL036","","","","","","","","","","","",
"255737858815","ZX9JECO8666","Decor","","","Vaser Designs","","","","","","","","","","","","","","","","VA2593760","","","","","","","","","","","",
"255737776504","ZX9JECO756","Decor","","","First Floor Designs","","","","","","","","","","","","","","","","FI2593724","","","","","","","","","","","",
"265669314505","JECO911","Decor","LED","","Jeco","","","","LED","","","","","","","","","","","","FCL037","","","","","","","","","","","",
"255513236845","JECO8648","Decor","","","Jeco","","Wood","","","","","","","","","Tiered","","","","","FCL141","","","","","","","","","","","",
"255728928008","JECO8649","Decor","","","Jeco","","","","","","","","","","","","","","","","FCL142","","","","","","","","","","","",
"255489038263","JECO8651","Decor","","","Jeco","","","","","","","","","","","","","","","","FCL144","","","","","","","","","","","",
"255489062495","JECO8652","Decor","","","Jeco","","","","","","","","","","","","","","","","FCL145","","","","","","","","","","","",
"265884131772","JECO8656","Decor","","","Jeco","","","Solar","","","","","","","","","","","","","FCL149","","","","","","","","","","","",
"265887863019","JECO8657","Decor","","","Jeco","","","","","","","","","","","","","","","","FCL150","","","","","","","","","","","",
"255513377419","JECO8658","Decor","LED","","Jeco","","","","LED","","","","","","","","","","","","FCL151","","","","","","","","","","","",
"265883959133","JECO8659","Decor","LED","","Jeco","","Stone","","LED","","","","Stone","","","","","","","","FCL152","","","","","","","","","","","",
"265674175329","JECO8660","Decor","","","Jeco","","","","","","","","","","","","","","","","FCL154","","","","","","","","","","","",
"255513224177","JECO8663","Decor","","","Jeco","","","","","","","","","","","","","","","","FCL157","","","","","","","","","","","",
"255541715148","JECO8665","Decor","Illuminated","","Jeco","","","","","","","","","","","","","","","","FCL159","","","","","","","","","","","",
"255513280540","JECO8666","Decor","","","Jeco","","","","","","","","","","","","","","","","FCL160","","","","","","","","","","","",
"265887519166","JECO8667","Decor","","","Jeco","","","","","","Classic","","","","","","","","","","FCL162","","","","","","","","","","","",
"255524121469","JECO8668","Decor","LED","","Jeco","","","","LED","","","","","","","","","","","","FCL163","","","","","","","","","","","",
"255513235327","JECO8670","Decor","","","Jeco","","","","","","","","","","","","","","","","FCL165","","","","","","","","","","","",
"255737774357","JECO8672","Decor","","","Jeco","","","","","","","","","","","","","","","","FCL167","","","","","","","","","","","",
"265887817757","JECO8673","Decor","","","Jeco","","","","","","","","","","","","","","","","FCL168","","","","","","","","","","","",
"255513485744","JECO8674","Decor","LED","","Jeco","","","","LED","","Contemporary","","","","","","","","","","FCL169","","","","","","","","","","","",
"265897004646","JECO8675","Decor","Outdoor","","Jeco","","","","","","","","","","","","","","","","FCL170","","","","","","","","","","","",
"265896924523","JECO8676","Decor","","","Jeco","","Wood","","","","","","","","","","","","","","FCL171","","","","","","","","","","","",
"255728646121","JECO8677","Decor","LED","","Jeco","","","","LED","","","","","","","","","","","","FCL172","","","","","","","","","","","",
"255489091962","JECO8681","Decor","","","Jeco","","","","","","","","","","","Flower","","","","","FCL174","","","","","","","","","","","",
"265674071991","JECO8679","Decor","","","Jeco","","","","","","","","","","","","","","","","FCL176","","","","","","","","","","","",
"265697792634","JECO8678","Decor","LED","","Jeco","","","","LED","","","","","","","","","","","","FCL177","","","","","","","","","","","",
"255725085853","JECO8683","Decor","","","Jeco","","","","","","","","","","","","","","","","FCL178","","","","","","","","","","","",
"255725077019","JECO8684","Decor","Outdoor","","Jeco","","","","","","","","","","","","","","","","FCL179","","","","","","","","","","","",
"265669432811","JECO8685","Decor","Outdoor","","Jeco","","","","","","","","","","","","","","","","FCL180","","","","","","","","","","","",
"255541842790","JECO8686","Decor","LED","","Jeco","","","","LED","","","","","","","","","","","","FCL181","","","","","","","","","","","",
"265729916781","JECO8687","Decor","LED","","Jeco","","","","LED","","","","","","","","","","","","FCL182","","","","","","","","","","","",
"255488981811","JECO8688","Decor","","","Jeco","","","","","","","","","","Hanging","","","","","","FCL183","","","","","","","","","","","",
"265669409409","JECO8689","Decor","","","Jeco","","","","","","Contemporary","","","","","","","","","","FCL184","","","","","","","","","","","",
"255725205441","JECO8690","Decor","LED","","Jeco","","","","LED","","","","","","","","","","","","FCL185","","","","","","","","","","","",
"255523917792","JECO8691","Decor","LED","","Jeco","","","","LED","","Contemporary","","","","","","","","","","FCL186","","","","","","","","","","","",
"265669447813","JECO8692","Decor","LED","","Jeco","","","","LED","","","","","","","Bird","","","","","FCL187","","","","","","","","","","","",
"265897118876","JECO8693","Decor","LED","","Jeco","","","","LED","","","","","","","","","","","","FCL188","","","","","","","","","","","",
"265644841666","JECO8695","Decor","LED","","Jeco","","","","LED","","","","","","","","","","","","FCL190","","","","","","","","","","","",
"255728635298","JECO8696","Decor","LED","","Jeco","","","","LED","","Contemporary","","","","","","","","","","FCL191","","","","","","","","","","","",
"265897174453","JECO8697","Decor","LED","","Jeco","","","","LED","","","","","","","","","","","","FCL192","","","","","","","","","","","",
"255728627931","JECO8698","Decor","LED","","Jeco","","Wood","","LED","","","","","","","","","","","","FCL193","","","","","","","","","","","",
"255513297871","JECO8699","Decor","LED","Yoga","Jeco","","","","LED","","","","","","","","","","","","FCL194","","","","","","","","","","","",
"255476904659","MDCO128502","Furniture & Decor","","","Killer Tools","","","","","","","","","","","","","","","","KIL-ART66CF","","","","","","","","","","","",
"255539204886","KLT189","Decor","","","Koolatron","","","Solar","","","","","","","","","","","","","CSFK-5","","","","","","","","","","","",
"265639508701","BCI1012786","Furniture & Decor","","","LAGUNA WATER GARDEN","","","","","","","","","","","","","","","","PT8204","","","","","","","","","","","",
"265897253236","ZX9JECO761","Decor","","","First Floor Designs","","","","","","","","","","","","","","","","FI2593727","","","","","","","","","","","",
"265883870283","MLRS7185","Decor","","","Melrose International","","Metal","","","","","","","","","","","","","","66665","","","","","","","","","","","",
"255513482665","ZX9TRDMR324393","Decor","Electric","","StandAlone","","Concrete","","","","Modern","","","","","","","","","","ST2030654","","","","","","","","","","","",
"265884216058","ZX9JECO784","Decor","","","First Floor Designs","","Copper","","","","","","","","","","","","","","FI2593734","","","","","","","","","","","",
"265887530693","ZX9JECO752","Decor","LED","","First Floor Designs","","","","LED","","","","","","","","","","","","FI2593722","","","","","","","","","","","",
"265695174274","ORE2414","Decor","","","Ore Furniture","","","","","","","","","","","","","","","","K336","","","","","","","","","","","",
"265884191030","ZX9JECO8684","Decor","Outdoor","","Vaser Designs","","","","","","","","","","","","","","","","VA2593763","","","","","","","","","","","",
"255737896537","ZX9JECO8675","Decor","Outdoor","","Vaser Designs","","","","","","","","","","","","","","","","VA2593761","","","","","","","","","","","",
"265883968779","ZX9JECO8685","Decor","Outdoor","","Vaser Designs","","","","","","","","","","","","","","","","VA2593764","","","","","","","","","","","",
"265884015921","ZX9JECO8657","Decor","","","Vaser Designs","","","","","","","","","","","","","","","","VA2593758","","","","","","","","","","","",
"265896955947","ZX9JECO911","Decor","LED","","Vaser Designs","","","","LED","","","","","","","","","","","","VA2593767","","","","","","","","","","","",
"255724934811","TRDMR324389","Decor","Electric","Garden","Pure Garden","","Metal","","","","Modern","","","","","","","","","","50-LG1179","","","","","","","","","","","",
"255738060606","TRDMR324390","Decor","Electric","Garden","Pure Garden","","Clay","","","","Modern","","","","","","","","","","50-LG1180","","","","","","","","","","","",
"255539098187","TRDMR324391","Decor","Electric","Garden","Pure Garden","","Concrete","","","","Modern","","","","","","","","","","50-LG1181","","","","","","","","","","","",
"265684654809","TRDMR324392","Decor","Electric","Garden","Pure Garden","","","","","","Modern","","","F","","","","","","","50-LG1182","","","","","","","","","","","",
"255488852253","TRDMR324393","Decor","Electric","Garden","Pure Garden","","Concrete","","","","Modern","","","F","","","","","","","50-LG1183","","","","","","","","","","","",
"265697929676","ZX9JECO776","Decor","","","First Floor Designs","","","","","","","","","","","","","","","","FI333909","","","","","","","","","","","",
"265897211330","ZX9JECO8652","Decor","","","Vaser Designs","","","","","","","","","","","","","","","","VA2593756","","","","","","","","","","","",
"265887644727","ZX9JECO8656","Decor","","","Vaser Designs","","","Solar","","","","","","","","","","","","","VA2593757","","","","","","","","","","","",
"255509707343","ZX9JECO770","Decor","","","First Floor Designs","","","","","","","","","","","","","","","","FI899703","","","","","","","","","","","",
"265896993269","ZX9JECO758","Decor","Outdoor","","First Floor Designs","","","","","","","","","","","Bird","","","","","FI2593725","","","","","","","","","","","",
"255483681531","ZX9AQSCP1101","Furniture & Decor","","","BBQPlus","","Stainless Steel","","","","","","Stainless Steel","","","","","","","","BB883580","","","","","","","","","","","",
"255728650256","ZX9JECO8676","Decor","","","Vaser Designs","","Wood","","","","","","","","","","","","","","VA2434118","","","","","","","","","","","",
"265697790011","ZX9JECO763","Decor","","","First Floor Designs","","Wood","","","","","","","","","","","","","","FI899702","","","","","","","","","","","",
"255513372946","CNRY1254","Decor","","","XBrand","","","","","","Modern","","","","","Round","","","","","CR2515FTTUR","","","","","","","","","","","",
