Item Id,SKU,Brand,Handmade,Model,MPN,Custom Bundle,Bundle Description,Modified Item,Modification Description,Country/Region of Manufacture,California Prop 65 Warning,
"255580993955","NYGL1674","Eros Wholesale","","","MG8002","","","","","","",
"255581259141","NYGL1677","Eros Wholesale","","","MG8006","","","","","","",
"265735914612","NYGL1679","Eros Wholesale","","","MG8008","","","","","","",
"255580944997","NYGL1680","Eros Wholesale","","","MG8009","","","","","","",
"255581113905","NYGL1681","Eros Wholesale","","","MG8010","","","","","","",
"255581016263","NYGL1686","Eros Wholesale","","","MG8016","","","","","","",
"265735840369","NYGL1693","Eros Wholesale","","","MG8017","","","","","","",
"265735814829","NYGL1696","Eros Wholesale","","","MG8038","","","","","","",
"265735616116","NYGL1713","Eros Wholesale","","","MG8041","","","","","","",
"255581181780","NYGL1701","Eros Wholesale","","","MG8045","","","","","","",
"265735817167","NYGL1702","Eros Wholesale","","","MG8046","","","","","","",
"255581255005","NYGL1703","Eros Wholesale","","","MG8047","","","","","","",
"255581175255","NYGL1704","Eros Wholesale","","","MG8048","","","","","","",
"265735860614","NYGL1705","Eros Wholesale","","","MG8049","","","","","","",
"255580972702","NYGL1707","Eros Wholesale","","","MG8051","","","","","","",
"255581015159","NYGL1708","Eros Wholesale","","","MG8052","","","","","","",
"255581206896","NYGL1709","Eros Wholesale","","","MG8053","","","","","","",
"255580973966","NYGL1710","Eros Wholesale","","","MG8054","","","","","","",
"265735702479","NYGL1711","Eros Wholesale","","","MG8056","","","","","","",
"265735784238","NYGL1715","Eros Wholesale","","","MG8058","","","","","","",
"265735684986","NYGL1716","Eros Wholesale","","","MG8059","","","","","","",
"255581274425","NYGL1706","FLOMO","","","MG8050","","","","","","",
