Item Id,SKU,Pest Type,Brand,Type,Form,Number in Pack,Indoor/Outdoor,Certification Required,Color,Control Method,Country/Region of Manufacture,Features,Material,Item Weight,Size,Item Length,Power Source,Item Width,Model,MPN,Custom Bundle,Bundle Description,California Prop 65 Warning,Item Height,Power,Voltage,EPA Registration Number,
"255463097286","ZX9JNSN56321","","Dormo","Insect & Pest Control","","","","","","","","","","","","","","","","DO84487","","","","","","","",
"265621739486","ZX9ATW75-1079","","MAKEITHAPPEN","Insect & Pest Control","","10","","","","","","","","","","","","","","MA38614","","","","","","","",
"265621746513","ZX9HSW3006","","MAKEITHAPPEN","Insect & Pest Control","","2","","","","","","","Plastic","","","","","","","MA2134339","","","","","","","",
"265621737121","HSW3006","","Atlant","Insect & Pest Control","","2","","","","","","","Plastic","","","","","","","605R      2PK","","","","","","","",
"255463086845","HSTZCS7590","","Atlantic Paste & Glue","Insect & Pest Control","Glue","2","","","","","","","","","","","","","","029049004022","","","","","","","",
"255463072604","ZX9ACHR148449","","Clean All","Insect & Pest Control","","","","","","","","","","","","","","","","CL1680285","","","","","","","",
"255463079562","ACHR148449","","GOODNATURE","Insect & Pest Control","","","","","","","","","","","","","","","","7006540","","","","","","","",
"265621740750","ZX9WLCDI009","","Keen","Insect & Pest Control","","","","","","","","","","","","","","","","KE832685","","","","","","","",
"255463083937","CCRP1872","","Woodstream","Insect & Pest Control","","","","","","","","","","","","","","","","WOD1025","","","","","","","",
"265621731658","ZX9CCRP1871","","Dormo","Insect & Pest Control","","8","","","","","","","","","","","","","","DO2099582","","","","","","","",
"255463089888","CCRP1871","","Woodstream","Insect & Pest Control","","8","","","","","","","","","","","","","","WOD0745","","","","","","","",
"265621732743","CCRP1878","","Woodstream","Insect & Pest Control","","","","","","","","","","","","","","","","WOD1079","","","","","","","",
"265621749503","ZX9CCRP1878","","Dormo","Insect & Pest Control","","","","","","","","","","","","","","","","DO2099583","","","","","","","",
"255463079624","ZX9KO139","","MAKEITHAPPEN","Insect & Pest Control","","","Indoor","","","","","","","","","","","","","MA88387","","","","","","","",
"255463079953","ACHR123241","","JT Eaton","Insect & Pest Control","Glue","24","","","","","","","","","Small","","","","","7567233","","","","","","","",
"255463086197","ACHR123238","","JT Eaton","Insect & Pest Control","Glue","","","","","","","","","","Small","","","","","7567241","","","","","","","",
"255463071208","ACHR123240","","JT Eaton","Insect & Pest Control","Glue","","","","","","","","","","Small","","","","","7567258","","","","","","","",
"265621744204","ACHR123235","","JT Eaton","Insect & Pest Control","Glue","","","","","","","","","","Small","","","","","7567316","","","","","","","",
"265621737615","ACHR123236","","JT Eaton","Insect & Pest Control","Glue","24","","","","","","","","","Small","","","","","7567324","","","","","","","",
"265621739094","KO139","","Koolatron","Insect & Pest Control","","","Indoor","","","","","","","","","","","","","MK20","","","","","","","",
"265621745330","ACHR161509","","Macabee Gopher","Insect & Pest Control","","","","","","","","","","","","","","","","72159","","","","","","","",
"265621740880","TRVAL118503","Fly","Method Sourcing","Insect & Pest Control","","","","","","","","","","","","","","","","240857","","","","","","","",
"265621743875","PRCPS1028","Fly","Paraclipse","Insect & Pest Control","","","","","Black","","","","","","","","","","","350708","","","","","","","",
"265621746085","ORGL82522","Fly","Sterling","Insect & Pest Control","","12","","","","","","","","","","","","","","9034117","","","","","","","",
"255463097183","ACHR110768","Spider","TERRO","Insect & Pest Control","","4","","","","","","","","","","","","","","T3206","","","","","","","",
"255463088822","WLCDI1015","","Wilco","Insect & Pest Control","","","","","","","","","","","Small","","","","","70205","","","","","","","",
"265621739898","WLCDI1016","","Wilco","Insect & Pest Control","","","","","","","","","","","Medium","","","","","70206","","","","","","","",
"265621733617","WLCDI1017","","Wilco","Insect & Pest Control","","","","","","","","","","","Large","","","","","70207","","","","","","","",
"265621748641","TRVAL60901","","Woodstream","Insect & Pest Control","","2","","","","","","","Metal","","","","","","","287128","","","","","","","",
"265621749173","CCRP1881","","Woodstream","Insect & Pest Control","","","","","","","","","","","","","","","","WOD1085","","","","","","","",
"265621741563","JNSN56321","","Woodstream/victor","Insect & Pest Control","","","","","","","","","","","","","","","","1045","","","","","","","",
"265621742900","JNSN40464","","Woodstream/victor","Insect & Pest Control","","","","","","","","","","","","","","","","1078","","","","","","","",
