Item Id,SKU,Form Factor,Interface,Storage Capacity,Drive Type(s) Supported,Brand,Rotation Speed,Features,Product Line,Compatible With,Color,Cache,Type,Storage Format,Transfer Rate,Country/Region of Manufacture,Read Speed,Model,MPN,Custom Bundle,Bundle Description,California Prop 65 Warning,Item Height,Item Length,Item Width,Manufacturer Warranty,
"254536742554","103981","","","","","Texas Instruments","","Removable","","","","","Internal Desktop Drive","","","","","","9804442-0001","","","","","","","",
"264662518800","100955","","","","","Compaq","","","","","","","Internal Desktop Drive","","","","","","Does Not Apply","","","","","","","",
"254641820060","123108","3.5 in","SATA III,SATA I","500 GB","HDD","Toshiba","7200 RPM","RoHS Compliant","DT01ACA Series","PC","Silver","32 MB","Internal Desktop Drive","HDD Only","6000 Mbps","","","DT01ACA050","DT01ACA050","","","","5.8 in.","1 in.","4 in.","",
"254536741463","101300","3.5 in","","","","Fujitsu","5400 RPM","","","","","","Internal Desktop Drive","","","","","MPD3084AT","MPD3084AT","","","","","","","",
"255139766767","267072","3.5 in","SAS","600GB","HDD","HPE","15000RPM","","","","","","Rev Drive","","","","","","P04695B21","","","","","","","",
"254528489036","106024","","IDE","","","IBM","4200 RPM","","","Laptop","","","Does Not Apply","","","","","","08K9533","","","","","","","",
"264662520464","104144","","","","","IBM","","","","","","","Does Not Apply","","","","","","Does Not Apply","","","","","","","",
"264161249998","104177","","","","","IBM","","","","","","","Does Not Apply","","","","","","Does Not Apply","","","","","","","",
"254539538623","104187","","","","","IBM","","","","","","","Does Not Apply","","","","","","06G6567","","","","","","","",
"264161249806","104126","","","","","IBM","","","Travelstar","","","","Does Not Apply","","","","","","07N8362","","","","","","","",
"264161250065","104189","","","","","IBM","","","","","","","Does Not Apply","","","","","","Does Not Apply","","","","","","","",
"254536742571","103984","","","","","Maxtor","","","","","","","Does Not Apply","","","","","","251340AT","","","","","","","",
"264662518921","101488","","","","","Maxtor","","","DiamondMax","","","","Does Not Apply","","","","","","83249D3","","","","","","","",
"254531797939","103310","","SCSI","","","Micropolis","","","","","","","Does Not Apply","","","","","","2112","","","","","","","",
"254537550504","115049","","SCSI","","","Quantum","","","","","","","Does Not Apply","","","","","","Atlas-II","","","","","","","",
"264662519416","102939","","SCSI","","","Quantum","","","","","","","Does Not Apply","","","","","","2275j","","","","","","","",
"265317918097","305328","3.5 in","SAS-3","18 TB","","Seagate","7200 RPM","Secure Encryption","Exos","","","","Internal Enterprise Drive","","","","","Seagate Exos X18","ST18000NM004J","","","","1.03 in","5.79 in","4.01 in","",
"254389672568","155212","","","64 MB","","Seagate","5900 RPM","","IronWolf","","","64 MB","Does Not Apply","","","","","","ST4000VN008","","","","","","","",
"254536741587","102304","3.5 in","","","","Seagate","","","","","","","Internal Desktop Drive","","","","","Medalist 17242","ST317242A","","","","","","","",
"264161249667","104045","","","","","Seagate","","","","","","","Does Not Apply","","","","","","76W4610","","","","","","","",
"254536742603","104041","","","","","Seagate","","","","","","","Does Not Apply","","","","","","Does Not Apply","","","","","","","",
"254581278767","105975","","","","","Western Digital","","","","Laptop","","","Does Not Apply","","","","","","WD-Scorpio-WD1600BEVS-00UST0","","","","","","","",
"264721646005","111450","","SATA II","","","Western Digital","","","","","","","Does Not Apply","","","","","","WD1600JS-00SGB0","","","","","","","",
"264721646101","282892","3.5 in","","","","Western Digital","","","","","","","Internal Desktop Drive","","","","","Caviar SE","WD1600JS","","","","","","","",
"264161282456","110849","","SATA II","160 GB","","Western Digital","","","","","","","Does Not Apply","","","","","","WD1600JS-60MHB1","","","","","","","",
"264663535706","111621","","","250GB","","Western Digital","","","","","","","Does Not Apply","","","","","","WD2500AAJS-00VTA0","","","","","","","",
"254093320677","114870","","","250GB","","Western Digital","","","","","","","Does Not Apply","","","","","","WD2500AAJS-55B4A0","","","","","","","",
"254093330289","115554","","","320 GB","","Western Digital","7200 RPM","","Caviar Blue","","Blue","","Does Not Apply","","","","","","WD3200AAKS-00L6A0","","","","","","","",
"264721645986","110666","","","","","Western Digital","","","Caviar Blue","","Blue","","Does Not Apply","","","","","","WD5000AAKS-00D2B0","","","","","","","",
"254629849757","297864","","IDE","","HDD","Western Digital","","","","","","","Internal Desktop Drive","","","","","","WDAC280","","","","","","","",
