Item Id,SKU,Set Includes,Type,Theme,Brand,Suitable For,Material,Lining Material,Color,Features,Country/Region of Manufacture,Shape,Department,Vintage,Capacity,Handmade,Item Width,Personalize,Item Depth,Item Length,Customized,California Prop 65 Warning,MPN,Personalization Instructions,
"265884201428","BYBK4304","Jewelry Box","Decor","Box","Bey-Berk","","Leather","Leather","Black","","","","","","","","","","","","","","BB564BLK","",
"265897131662","BYBK4378","","Decor","","Bey-Berk","","Leather","Leather","Red","","","","","","","","","","","","","","BB589RED","",
"255725304469","BYBK4338","Jewelry Box","Decor","Box","Bey-Berk","","Wood","","","","","","","","","","","","","","","","BB594EBN","",
"255725242673","BYBK4401","Jewelry Box","Decor","Box","Bey-Berk","","Leather","Leather","Brown","","","","","","","","","","","","","","BB611IVR","",
"265884167620","BYBK4402","Jewelry Box","Decor","Box","Bey-Berk","","Wood","","","","","","","","","","","","","","","","BB621EBN","",
"255728668088","BYBK4464","Jewelry Box","Decor","Box","Bey-Berk International","","Leather","Leather","Black","","","","","","","","","","","","","","BB652BLK","",
"255725002407","BYBK4284","Jewelry Box","Decor","Box","Bey-Berk","","Wood","","","","","","","","","","","","","","","","BB658EBN","",
"255725063249","BYBK4173","","Decor","","Bey-Berk International","","Wood","","","","","","","","","","","","","","","","BB670BRL","",
"265887756091","BYBK4227","Jewelry Box","Decor","Box","Bey-Berk","","Wood","","","","","","","","","","","","","","","","BB670BRW","",
"255737863874","BYBK4408","","Decor","Box","Bey-Berk","","Wood","","Brown","","","","","","","","","","","","","","BB677EBN","",
"265884109618","BYBK4474","","Decor","Box","Bey-Berk International","","Wood","","","","","","","","","","","","","","","","BB677GRY","",
"255728614881","ZX9BYBK4173","Jewelry Box","Decor","Box","Stockage Supreme","","Wood","","Gold","","","","","","","","","","","","","","ST1701174","",
"255737674417","ZX9BYBK4464","Jewelry Box","Decor","Box","Stockage Supreme","","Leather","Leather","Black","","","","","","","","","","","","","","ST2537298","",
"255725025717","ZX9BYBK4304","Jewelry Box","Decor","Box","Stockage Supreme","","Leather","Leather","Black","","","","","","","","","","","","","","ST1529090","",
"255728926462","ZX9BYBK4401","Jewelry Box","Decor","Box","Stockage Supreme","","Leather","Leather","Brown","","","","","","","","","","","","","","ST2196663","",
"255725223911","ZX9BYBK4342","Jewelry Box","Decor","Box","Stockage Supreme","","Leather","Leather","","","","","","","","","","","","","","","ST2537266","",
"265887847338","ZX9BYBK4402","Jewelry Box","Decor","Box","Stockage Supreme","","Wood","","","","","","","","","","","","","","","","ST2537273","",
"255728595932","ZX9BYBK4284","Jewelry Box","Decor","Box","Stockage Supreme","","Wood","","","","","","","","","","","","","","","","ST1510659","",
"265883931545","ZX9BYBK4408","","Decor","Box","Stockage Supreme","","Wood","","Brown","","","","","","","","","","","","","","ST2537277","",
"265897183254","ZX9BYBK4378","","Decor","","Stockage Supreme","","Leather","Leather","Red","","","","","","","","","","","","","","ST1701668","",
"255737877145","ZX9BYBK4227","Jewelry Box","Decor","Box","Stockage Supreme","","Wood","","Gold","","","","","","","","","","","","","","ST1524320","",
"255737859320","ZX9BTDS2195","Jewelry Box","Decor","Box","Accesorios","","","","","","","","","","","","","","","","","","AC2207673","",
"265669361134","BTDS2195","Jewelry Box","Decor","Box","Jiallo","","","","","","","","","","","","","","","","","","20973","",
"255738034825","ZX9BYBK4474","","Decor","Box","Stockage Supreme","","Wood","","","","","","","","","","","","","","","","ST2537302","",
