Item Id,SKU,Style,Brand,Size,Size Type,Color,Fabric Type,Theme,Department,Material,Accents,Sleeve Length,Pattern,Occasion,Character Family,Leg Style,Set Includes,Character,Features,Neckline,Closure,Number of Pieces,Season,Type,Fit,Country/Region of Manufacture,Vintage,Sleeve Type,Inseam,Handmade,Garment Care,MPN,California Prop 65 Warning,
"265713562446","308202","Romper","Color Alien",,"Regular","Desert Mustard","Blended Fabric","Camo","Women","Rayon","Camo Print","Short Sleeve","Camouflage","Activewear,Casual,Christening,Party/Cocktail,Travel","Desert Camo","","Activewear,Casual Shirt,Shorts","","Adjustable,Adjustable Waist,All Seasons,Pockets","","Drawstring","1 Piece","Fall,Spring,Summer","One-Piece","Regular","","No","Asymmetrical Sleeve","4 in","","","","",
"265713562446","308205",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265713562446","308204",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265713562446","308203",,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265713562446","308206",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255570650775","307369","Romper","Unbranded",,"Regular","Mocha Pink Hues","Blended Fabric","Fun","Women","Polyester Blend","Elastic Waist","Short Sleeve","Floral","Activewear,Casual,Christening,Party/Cocktail,Travel","California Romper","","Activewear,Casual Shirt,Shorts","","Adjustable,Adjustable Waist,Belted","","Drawstring","1 Piece","Fall,Spring,Summer","One-Piece","Regular","","No","Asymmetrical Sleeve","","","","","",
"255570650775","307372",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255570650775","307371",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255570650775","307370",,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255570650775","307373",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255570650775","307374",,,"2XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254823044867","307161","Jumpsuit","Half Sleeve Jumpsuit",,"Regular","Navy Blue","Blended Fabric","Half Sleeve Jumpsuit","Women","Polyester Blend","Button","Half Sleeve","Solid","Activewear,Business,Casual,Formal,Party/Cocktail,Travel,Workwear","jumpsuit","Tapered","draw cord","romper","Adjustable Waist,All Seasons,Pockets,Slimming","","Button","1 Piece","Fall,Spring,Summer,Winter","One-Piece","Regular","","No","half sleeve","variable","","","","",
"254823044867","307162",,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254823044867","307163",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254823044867","307164",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254823044867","307165",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264998000808","307166","Jumpsuit","Half Sleeve Jumpsuit",,"Regular","Ash Mocha","Blended Fabric","Half Sleeve Jumpsuit","Women","Polyester Blend","jumpsuit","Half Sleeve","Solid","Activewear,Casual,Formal,Travel,Workwear","One Piece","Tapered","jumpsuit","romper","Adjustable Waist,All Seasons,Pockets,Slimming","","elastic waistband","1 Piece","Fall,Spring,Summer,Winter","One-Piece","Regular","","No","Half Sleeve","variable","","","","",
"264998000808","307167",,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264998000808","307168",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264998000808","307169",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264998000808","307170",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255143603463","304847","Jumpsuit","Unbranded",,"Regular","Gray White Red","Fleece","Christmas","Women","Cotton Polyester","Christmas Theme Pajamas","Long Sleeve","Fair Isle","Casual,Party/Cocktail","Christmas Family Pajamas","Skinny","Onesie Jumpsuit","Christmas Onesies Set","1/4 Zip","","","1 Piece","","One-Piece","Regular","","Yes","","","","","","",
"255143603463","304854",,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255143603463","304851",,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255143603463","",,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255143603463","304855",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255143603463","304852",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255143603463","304848",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255143603463","304856",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255143603463","304853",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255143603463","304849",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255143603463","324994",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255143603463","324993",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255143603463","304850",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255143603463","",,,"2XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255143603463","",,,"2XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255143603463","324992",,,"2XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264879832194","304481","Jumpsuit","Plus Size Jumpsuit",,"Plus","Mocha","Blended Fabric","Plus Size","Women","Polyester Blend","","Long Sleeve","Solid","Activewear,Casual,Travel,Workwear","Jumpsuit","","Activewear","","Adjustable Waist,All Seasons,Pockets","","","1 Piece","","One-Piece","","","No","","","","","","",
"264879832194","304484",,,"3X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264879832194","304483",,,"2X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264879832194","304482",,,"1X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
