Item Id,SKU,Type,Brand,Set Includes,Material,Number of Items in Set,Food Compatibility,Country/Region of Manufacture,Blade Edge,Handle Material,Color,Blade Length,Features,Personalize,Making Method,Manufacturer Warranty,MPN,Bundle Description,Model,California Prop 65 Warning,Custom Bundle,Personalization Instructions,
"255062436166","118608","","Maxam","","","","","","","","","","","","","","6pc-Fish-Filet-Set","","","","","",
"265612009578","GYWK009","Tableware","Ausonia","","","5","","","","","Blue","","","","","","A096425","","","","","",
"255453110623","ACHR14047","Tableware","DELTA INTERNATIONAL","","","","","","","","","","","","","","2053049","","","","","",
"265597104131","ACHR18309","Tableware","KYOCERA","Knife Set","Ceramic","2","","","","","","","","","","","6227565","","","","","",
"255461100970","ACHR18309","Tableware","KYOCERA","Knife Set","Ceramic","2","","","","","","","","","","","6227565","","","","","",
"265611998883","MSGR1106","Tableware","Master Grade","Bread Knife","","10","","","","","","","","","","","1027","","","","","",
"255453104832","MSGR1138","Tableware","Master Grade","Slicer","","","","","","","","","","","","","1036","","","","","",
"255453110675","MSGR1107","Tableware","Master Grade","","","","","","","","","","","","","","2024","","","","","",
"265611987518","MSGR1111","Tableware","Master Grade","Deba","","","","","","","","","","","","","3010","","","","","",
"265612003495","MSGR1112","Tableware","Master Grade","Cleaver","","","","","","","","","","","","","3021","","","","","",
"265611980243","MSGR1114","Tableware","Master Grade","","","","","","","","","","","","","","3024","","","","","",
"255453110961","MSGR1115","Tableware","Master Grade","Santoku Knife","","","","","","","","","","","","","3026","","","","","",
"265612011039","MSGR1116","Tableware","Master Grade","","","","","","","","","","","","","","3028","","","","","",
"265611979627","MSGR1117","Tableware","Master Grade","Sashimi Knife","","10","","","","","","","","","","","3033","","","","","",
"265612000007","MSGR1119","Tableware","Master Grade","","","10","","","","","","","","","","","3072","","","","","",
"255453111206","MSGR1120","Tableware","Master Grade","","","9","","","","","","","","","","","3073","","","","","",
"265611992313","MSGR1121","Tableware","Master Grade","","","8","","","","","","","","","","","3074","","","","","",
"265611974213","MSGR1131","Tableware","Master Grade","","","10","","","","","","","","","","","4024","","","","","",
"265611999060","MSGR1132","Tableware","Master Grade","Slicer","","5","","","","","","","","","","","4026","","","","","",
"255453104124","MSGR1133","Tableware","Master Grade","","","","","","","","","","","","","","4028","","","","","",
"265611990914","MSGR1137","Tableware","Master Grade","Slicer","","","","","","","","","","","","","4036","","","","","",
"255453106073","MSGR1134","Tableware","Master Grade","Boning Knife","","6","","","","","","","","","","","4130","","","","","",
"255453111132","MSGR1123","Tableware","Master Grade","","","2","","","","","","","","","","","5004","","","","","",
"265611978329","MSGR1124","Tableware","Master Grade","Deba","","2","","","","","","","","","","","5010","","","","","",
"265612001068","MSGR1125","Tableware","Master Grade","","","8","","","","","","","","","","","5020","","","","","",
"255453105415","MSGR1126","Tableware","Master Grade","","","9","","","","","","","","","","","5024","","","","","",
"255453110046","MSGR1127","Tableware","Master Grade","","","","","","","","","","","","","","5066","","","","","",
"255453107513","MSGR1128","Tableware","Master Grade","","","","","","","","","","","","","","5093","","","","","",
"265612001551","MSGR1088","Tableware","Master Grade","","","6","","","","","","","","","","","F-L3-0115-KR","","","","","",
"265611999747","MSGR1089","Tableware","Master Grade","","","7","","","","","","","","","","","F-L3-0117-KR","","","","","",
"255453103925","MSGR1090","Tableware","Master Grade","","","6","","","","","","","","","","","F-L3-0215-KR","","","","","",
"255453105609","MSGR1093","Tableware","Master Grade","","","","","","","","","","","","","","F-L3-0413-KR","","","","","",
"265611976404","MSGR1094","Tableware","Master Grade","","","6","","","","","","","","","","","F-L3-0415-KR","","","","","",
"265611991632","MSGR1096","Tableware","Master Grade","","","3","","","","","","","","","","","F-L3-0680-BR","","","","","",
"255453108019","MSGR1098","Tableware","Master Grade","","","7","","","","","White","","","","","","F-SL3-0117-KR","","","","","",
"265611982450","MSGR1099","Tableware","Master Grade","","","6","","","","","White","","","","","","F-SL3-0215-KR","","","","","",
"265611985031","MSGR1105","Tableware","Master Grade","","","3","","","","","White","","","","","","F-SL3-0680-BR","","","","","",
"265611979533","MSGR1074","Tableware","Master Grade","","","6","","","","","Red","","","","","","HM-01-15","","","","","",
"255453109478","MSGR1076","Tableware","Master Grade","","","6","","","","","Red","","","","","","HM-02-15","","","","","",
"265611980987","MSGR1079","Tableware","Master Grade","","","","","","","","Red","","","","","","HM-04-13","","","","","",
"255453105016","MSGR1122","Tableware","Master Grade","","","","","","","","","","","","","","K005","","","","","",
"265611977158","MSGR1068","Tableware","Master Grade","","","7","","","","","","","","","","","R - 603","","","","","",
"265611986678","MSGR1069","Tableware","Master Grade","","","7","","","","","","","","","","","R - 605","","","","","",
"265612009770","MSGR1070","Tableware","Master Grade","","","7","","","","","","","","","","","R - 657","","","","","",
"265612009996","MSGR1073","Tableware","Master Grade","Santoku Knife","","7","","","","","","","","","","","RJ - 210","","","","","",
"255461429950","MGG395","Tableware","Oster","","","","","","","","","","","","","","111913.14","","","","","",
"265597096305","MYR14675","Tableware","Rachael Ray","","Stainless Steel","6","","","","Stainless Steel","","","","","","","47570","","","","","",
"255453106179","SG152","Tableware","Sanelli","","","7","","","","","","","","","","","100618","","","","","",
"255453105900","SG155","Tableware","Sanelli","","","","","","","","","","","","","","100633","","","","","",
"255453111941","SG159","Tableware","Sanelli","","","","","","","","","","","","","","102633","","","","","",
"255453109681","SG160","Tableware","Sanelli","","","","","","","","","","","","","","102636","","","","","",
"255453110560","SG161","Tableware","Sanelli","","","","","","","","","","","","","","103633","","","","","",
"255453105806","SG164","Tableware","Sanelli","","","7","","","","","","","","","","","106618","","","","","",
"255453106334","SG251","Tableware","Sagetra","","","3","","","","","","","","","","","106622","","","","","",
"265611989101","SG172","Tableware","Sanelli","Boning Knife","","","","","","","","","","","","","110616","","","","","",
"265611984419","SG258","Tableware","Sagetra","Boning Knife","","","","","","","","","","","","","110618","","","","","",
"255453108679","SG289","Tableware","Sagetra","","Carbon Steel","3","","","","Bone","","","","","","","146250","","","","","",
"265612011696","SG180","Tableware","Sanelli","","","","","","","","","","","","","","300624","","","","","",
"255453108097","SG181","Tableware","Sanelli","Bread Knife","","","","","","","","","","","","","302624","","","","","",
"265619997878","SG183","Tableware","Sanelli","Bread Knife","","","","","","","","","","","","","302632","","","","","",
"255453106502","SG193","Tableware","Sanelli","","","","","","","","","","","","","","310633","","","","","",
"265611986293","SG194","Tableware","Sanelli","","","7","","","","","","","","","","","312618","","","","","",
"255453111301","SG195","Tableware","Sanelli","","","8","","","","","","","","","","","312620","","","","","",
"265612005455","SG205","Tableware","Sanelli","","","7","","","","","","","","","","","320618","","","","","",
"265611979946","SG213","Tableware","Sanelli","Opener","","","","","","","","","","","","","331609","","","","","",
"265611990473","SG417","Tableware","Sagetra","","","1","Cheese","","","","","","","","","","436314","","","","","",
"255453105505","SG418","Tableware","Sagetra","","","1","Cheese","","","","","","","","","","438314","","","","","",
"254238938737","115807","Knife Set","Maxam","Knife Set","Stainless Steel","8","","","","Stainless Steel","","","","","","","Steak-Knife-Set","","","","","",
"254238938595","115800","Steak Knife","Chef's Secret","Steak Knife Set","Stainless Steel","8","Meat","China","Serrated","polypropylene","Black","8.5 in","Dishwasher Safe","","","","8-piece-Steak-Knife-Set","","Steak Knives Gift Set","","","",
"255453106582","SSN42314","Tableware","WEG","","","","","","","","","","","","","","54101102","","","","","",
