Item Id,SKU,Brand,Type,Manufacturer,Room,Number of Faucet Holes,Material,Finish,Number of Faucet Handles,Color,Suitable For,Faucet Mounting Type,Product Line,Shape,Features,Handle Type,Installation,Style,Faucet Hole Spacing,Item Height,Country/Region of Manufacture,Spout Height,Item Width,Item Length,Assembly Required,Manufacturer Warranty,Items included,Item Weight,Labels & Certifications,Model,MPN,Bundle Description,California Prop 65 Warning,Custom Bundle,
"265620631268","ZX9JNSN93568","Templeton","Bath & Shower Fixtures","","Kitchen","","Stainless Steel","","","","","","","","","","","","","","","","","","","","","","","","TE778478","","","",
"255462011944","ZX9TRVAL102755","Templeton","Bath & Shower Fixtures","","","4","Nickel","Nickel","4","","","","","","","","","","","","","","","","","","","","","","TE134808","","","",
"255462021103","NRTHR53287","Faucet Utopia","Bath & Shower Fixtures","","","","Nickel","Nickel","","","","","","","","Lever","","","","","","","","","","","","","","","1207.1698","","","",
"255463136629","HMW097","Danze","Kitchen Faucet","","Kitchen","2","Stainless Steel","Stainless Steel","1","Silver","","Dual-Hole","Danze Opulence","","ADA Compliant","Lever","Deck Mounted","Modern & Contemporary","12 in","12.13 in","","12 in","5.63 in","","","","","6.6lbs.","","D401157SS","D401157SS","","","",
"255462040502","TRVAL119654","Kohler & Sterling","Bath & Shower Fixtures","Kohler","","2","Bronze","Bronze","2","Bronze","","","","","","","","","","","","","","","","","","","","","248025","","","",
"265620614077","TRVAL117293","Kohler","Bath & Shower Fixtures","Kohler","","","Chrome","Chrome","","","","","","","","","","","","","","","","","","","","","","","246349","","","",
"265620578855","ACHR158227","Kohler","Bath & Shower Fixtures","Kohler","","","Nickel","Nickel","","","","","","","","","","","","","","","","","","","","","","","4011443","","","",
"255462000111","ACHR157649","Kohler","Bath & Shower Fixtures","Kohler","","","Chrome","Chrome","","","","","","","","","","","","","","","","","","","","","","","4011449","","","",
"255462033353","ACHR157650","Kohler","Bath & Shower Fixtures","Kohler","","","Nickel","Nickel","","","","","","","","","","","","","","","","","","","","","","","4011451","","","",
"265620574425","ACHR126004","Kohler","Bath & Shower Fixtures","Kohler","","","Nickel","Nickel","","","","","","","","","","","","","","","","","","","","","","","4717823","","","",
"255462019566","JNSN93580","Kohler","Bath & Shower Fixtures","Kohler","Kitchen","","Stainless Steel","","","","","","","","","","","","","","","","","","","","","","","","R562-SD-VS","","","",
"265620575487","JNSN93583","Kohler","Bath & Shower Fixtures","Kohler","Kitchen","","Stainless Steel","","","","","","","","","","","","","","","","","","","","","","","","R72511-SD-VS","","","",
"255462021712","JNSN93596","Kohler","Bath & Shower Fixtures","Kohler","","","Nickel","Nickel","","","","","","","","","","","","","","","","","","","","","","","R99911-4D1-BN","","","",
"265620621802","KSAO693908","LIPPERT","Bath & Shower Fixtures","","","","","","","Black","","","","","","","","","","","","","","","","","","","","","M6V-2021090599","","","",
"255462000174","ACHR160238","Moen","Bath & Shower Fixtures","Moen","","","","","","","","","","","","","","","","","","","","","","","","","","","4315685","","","",
"265620620843","JNSN93568","Ultra Faucets","Bath & Shower Fixtures","","Kitchen","","Stainless Steel","","","","","","","","","","","","","","","","","","","","","","","","UF17103","","","",
"265620612113","JNSN93571","Ultra Faucets","Bath & Shower Fixtures","","Kitchen","","Stainless Steel","","","","","","","","","","","","","","","","","","","","","","","","UF17203","","","",
"265620631132","JNSN93572","Ultra Faucets","Bath & Shower Fixtures","","Kitchen","","Bronze","Bronze","","Bronze","","","","","","","","","","","","","","","","","","","","","UF17205","","","",
